Frame #,# Obj,X,Y,Z,Doppler,Intensity
1350,1,0.23047,7.3496,0.59961,0.33461,11
1354,4,0.23047,7.3672,0.30273,0.33461,19
1354,4,0.23242,7.4063,0.2832,0.33461,17
1354,4,0.46094,7.3555,-0.32031,-0.33461,20
1354,4,0.23242,7.3984,-0.44727,-0.33461,17
1356,4,0.23047,7.3496,0.60547,0.33461,18
1356,4,0,7.4004,0.47852,0.33461,16
1356,4,0.23047,7.3652,-0.35352,-0.33461,18
1356,4,0.23242,7.3887,-0.57422,-0.33461,17
1364,3,0,7.3594,0.52539,0.33461,14
1364,3,0.46094,7.3516,-0.42578,-0.33461,14
1364,3,0.46289,7.3809,-0.54492,-0.33461,13
1379,4,0.23047,7.3594,0.45508,0.33461,39
1379,4,0.23242,7.3887,0.57617,0.33461,35
1379,4,0.46094,7.3496,-0.44727,-0.33461,36
1379,4,0.23242,7.3984,-0.43555,-0.33461,32
1381,4,0,7.3691,0.35938,0.33461,14
1381,4,0,7.4141,0.18164,0.33461,12
1381,4,0.23047,7.3477,-0.62695,-0.33461,14
1381,4,0.23242,7.4023,-0.39063,-0.33461,13
1389,4,0.23047,7.3477,0.61133,0.33461,17
1389,4,0.23242,7.3809,0.67188,0.33461,16
1389,4,0.46094,7.3535,-0.38281,-0.33461,18
1389,4,0.46289,7.3809,-0.54883,-0.33461,17
1390,2,0.23047,7.3594,0.46094,0.33461,14
1390,2,0.23047,7.3691,-0.26172,-0.33461,14
1391,4,0.23047,7.3594,0.44922,0.33461,19
1391,4,0,7.4082,0.33398,0.33461,16
1391,4,0.46094,7.3477,-0.47266,-0.33461,19
1391,4,0.46289,7.3926,-0.35938,-0.33461,17
1423,4,0.23047,7.3418,0.69531,0.33461,20
1423,4,0.23242,7.377,0.71094,0.33461,18
1423,4,0.23047,7.3516,-0.57227,-0.33461,18
1423,4,0.23242,7.3926,-0.52148,-0.33461,17
1430,3,0.46094,7.3398,-0.58984,-0.33461,15
1430,3,0.23242,7.3848,-0.63086,-0.33461,13
1430,3,-2.3164,2.459,-6.6016,-0.33461,7
1443,4,0.23047,7.3535,0.53906,0.33461,25
1443,4,0.23242,7.3887,0.58984,0.33461,22
1443,4,0.23047,7.3438,-0.66602,-0.33461,23
1443,4,0.23242,7.3945,-0.5,-0.33461,21
1449,4,0.23047,7.3301,0.80078,0.33461,16
1449,4,0.23242,7.3848,0.63086,0.33461,15
1449,4,0.23047,7.3516,-0.58594,-0.33461,15
1449,4,0.23242,7.3945,-0.50391,-0.33461,12
1450,3,0,7.375,0.17969,0.33461,13
1450,3,0.23242,7.3945,0.51758,0.33461,12
1450,3,0.23047,7.3691,-0.26172,-0.33461,14
1453,4,0.23047,7.3652,0.34961,0.33461,27
1453,4,0,7.4082,0.33789,0.33461,23
1453,4,0.46094,7.3398,-0.58594,-0.33461,25
1453,4,0.23242,7.3887,-0.5918,-0.33461,23
1458,4,0.23047,7.3652,0.37695,0.33461,35
1458,4,0.23242,7.3965,0.46289,0.33461,32
1458,4,0.46094,7.3535,-0.38477,-0.33461,33
1458,4,0.23242,7.3945,-0.51172,-0.33461,29
1472,1,0.23047,7.3535,0.53711,0.33461,12
1473,2,0,7.3477,0.6543,0.33461,14
1473,2,0.46094,7.3457,-0.51172,-0.33461,13
1485,2,0.46094,7.3555,-0.35547,-0.33461,14
1485,2,0.23242,7.4063,-0.29688,-0.33461,12
1492,2,0.23047,7.3438,0.66797,0.33461,13
1492,2,0.23242,7.3848,0.62695,0.33461,12
1505,2,0.23047,7.373,0.12695,-0.33461,14
1505,2,0.23242,7.4063,-0.27148,-0.33461,14
1517,4,0.23047,7.3711,0.16992,0.33461,16
1517,4,0,7.3809,0.72461,0.33461,14
1517,4,0,7.3691,-0.33398,-0.33461,14
1517,4,0.23242,7.3984,-0.44922,-0.33461,13
1529,2,0.23047,7.373,-0.011719,-0.33461,13
1529,2,0.23242,7.4121,0.011719,-0.33461,12
178,15,0,1.8516,-0.074219,0,9
178,15,-0.11914,1.8867,-0.048828,0,21
178,15,0,1.9277,-0.0625,0,21
178,15,0,1.9668,-0.058594,0,10
178,15,-0.058594,1.8535,0,0.33461,11
178,15,-0.11914,1.8887,-0.0039063,0.33461,25
178,15,-0.060547,1.9277,-0.042969,0.33461,27
178,15,0,1.9668,-0.054688,0.33461,14
178,15,0,1.8574,-0.35938,-0.66921,22
178,15,0,1.8906,-0.38867,-0.66921,23
178,15,-0.060547,1.9219,-0.41406,-0.66921,12
178,15,0,1.8496,-0.13086,-0.33461,25
178,15,-0.058594,1.8789,-0.21484,-0.33461,60
178,15,0,1.918,-0.20898,-0.33461,62
178,15,0,1.9512,-0.25586,-0.33461,30
179,22,-0.056641,1.8105,0.12109,0,22
179,22,-0.058594,1.8516,0.064453,0,72
179,22,0,1.8906,0.054688,0,95
179,22,0,1.9297,0.013672,0,62
179,22,0,1.9668,-0.068359,0,19
179,22,0.056641,1.8125,-0.082031,0.33461,10
179,22,0.058594,1.8516,-0.082031,0.33461,27
179,22,0,1.8809,-0.20703,0.33461,25
179,22,0.060547,1.959,-0.16797,0.33461,12
179,22,0,1.834,-0.26563,-1.0038,24
179,22,0,1.8613,-0.33984,-1.0038,30
179,22,0.060547,1.9004,-0.32422,-1.0038,17
179,22,0,1.8145,-0.085938,-0.66921,34
179,22,0,1.8496,-0.13672,-0.66921,111
179,22,0,1.8848,-0.16406,-0.66921,150
179,22,0,1.918,-0.20508,-0.66921,96
179,22,0,1.9434,-0.30273,-0.66921,28
179,22,-0.056641,1.8145,0.0039063,-0.33461,41
179,22,-0.058594,1.8535,-0.015625,-0.33461,137
179,22,-0.058594,1.8906,-0.046875,-0.33461,192
179,22,0,1.9277,-0.080078,-0.33461,130
179,22,0,1.9551,-0.2207,-0.33461,43
180,38,-0.11133,1.7637,0.20508,0,14
180,38,-0.16992,1.8008,0.17188,0,19
180,38,-0.28906,1.8184,0.21289,0,10
180,38,0.11914,1.8867,-0.064453,0,12
180,38,0.12109,1.9238,-0.10156,0,16
180,38,0.12305,1.9434,-0.27539,0,10
180,38,0,1.8164,-0.027344,0.33461,11
180,38,0.17383,1.8438,0.060547,0.33461,37
180,38,0.11914,1.8887,0.029297,0.33461,61
180,38,0.12109,1.9258,0.027344,0.33461,57
180,38,0.18359,1.959,-0.027344,0.33461,34
180,38,0.125,2,0.039063,0.33461,15
180,38,0.058594,1.8477,0.15039,0.66921,12
180,38,0.11914,1.8828,0.13086,0.66921,21
