Frame #,# Obj,X,Y,Z,Doppler,Intensity
994,1,0.46875,7.4473,-0.66211,1.0038,12
995,1,0.23633,7.3613,-1.7344,-0.66921,17
998,1,0.23633,7.5176,-0.82813,0,8
1000,2,0.70313,7.418,-0.76953,1.0038,16
1000,2,0.46875,7.4648,-0.42578,1.3384,17
1002,1,0.4707,7.4609,-0.88477,2.3422,14
1003,2,0.69922,7.4141,-0.28711,1.0038,22
1003,2,0.46875,7.4551,-0.55273,1.0038,22
1004,1,0.70898,7.5332,-0.10742,0.33461,17
1005,4,0,7.4941,-0.73242,0,10
1005,4,0.23633,7.5117,-0.87305,0,13
1005,4,0.47461,7.5586,-0.68359,0,9
1005,4,0.47266,7.5078,-0.82031,-0.33461,19
1006,1,0.23633,7.5625,-0.12695,0,11
1007,2,1.4043,2.9043,6.7598,-2.3422,16
1007,2,-1.4043,7.3281,-0.67188,-2.3422,13
1012,6,0.4707,7.4707,-0.80078,0,13
1012,6,0.47266,7.5352,-0.5,0,13
1012,6,0.4707,7.4668,-0.8457,-0.66921,18
1012,6,0.47266,7.502,-0.87109,-0.66921,20
1012,6,0.4707,7.457,-0.92383,-0.33461,26
1012,6,0.70898,7.4844,-0.85742,-0.33461,25
1013,3,0.4707,7.5039,-0.40039,0,13
1013,3,0.47266,7.5449,-0.33789,0,13
1013,3,0.23242,7.4277,-0.55859,2.3422,17
1016,2,0.4707,7.4922,-0.56641,0,11
1016,2,0.23633,7.4512,-1.2949,0,12
1019,1,0.70898,7.498,-0.7207,-0.33461,22
1021,3,0.23438,7.3887,-1.2148,0,12
1021,3,0.4707,7.4316,-1.1133,0,14
1021,3,0.4707,7.4902,-0.59375,0.33461,23
1022,2,0.4707,7.5137,-0.0058594,-0.33461,16
1022,2,0.47266,7.541,-0.41992,-0.33461,16
1053,1,0.23242,7.4219,-0.65234,0,11
184,5,0,4.5781,0.0625,0.33461,23
184,5,0,4.6016,-0.35938,0.33461,24
184,5,0,4.6387,-0.37109,0.33461,13
184,5,0.14258,4.5215,-0.69727,-0.33461,19
184,5,0.14453,4.5391,-0.82031,-0.33461,21
185,2,0,4.5762,0.15039,0.33461,14
185,2,0.14453,4.6133,-0.035156,0.33461,14
186,1,0.14648,4.6875,0.095703,0.33461,13
187,21,-0.14453,4.6113,-0.14063,0,31
187,21,-0.14453,4.6426,-0.2832,0,79
187,21,0,4.6738,-0.40625,0,86
187,21,0,4.6953,-0.55859,0,43
187,21,0,4.7031,-0.77344,0,13
187,21,0,4.6484,-0.21875,0.33461,19
187,21,0,4.6875,-0.20508,0.33461,27
187,21,0.14844,4.7227,-0.20117,0.33461,28
187,21,0.14844,4.7559,-0.27539,0.33461,15
187,21,0,4.5586,-0.72266,-0.66921,22
187,21,0,4.5859,-0.78906,-0.66921,64
187,21,0,4.5977,-0.92969,-0.66921,74
187,21,0,4.6055,-1.0742,-0.66921,42
187,21,0,4.6133,-1.2012,-0.66921,16
187,21,-0.14453,4.5957,-0.39453,-0.33461,50
187,21,-0.14453,4.6191,-0.53906,-0.33461,144
187,21,0,4.6445,-0.66406,-0.33461,170
187,21,0,4.666,-0.76758,-0.33461,97
187,21,0,4.6992,-0.80273,-0.33461,33
187,21,-3.1289,0,4.9199,-0.33461,31
187,21,-0.34766,4.0664,3.7773,-0.33461,24
188,42,-0.14258,4.5684,-0.26758,0,20
188,42,-0.14453,4.6035,-0.29102,0,41
188,42,-0.14453,4.6465,-0.20898,0,36
188,42,0.14648,4.6816,-0.25781,0,29
188,42,0.14844,4.6992,-0.51367,0,22
188,42,-3.2793,0,-4.8906,0,19
188,42,-3.3027,0,-5.0723,0,26
