Frame #,# Obj,X,Y,Z,Doppler,Intensity
220,26,0.11328,3.584,-0.57422,0,16
220,26,0,3.5762,-0.82031,0,33
220,26,0.11523,3.6074,-0.85352,0,32
220,26,0.23633,3.7676,-0.24023,0,18
220,26,0.23828,3.8008,-0.32422,0,20
220,26,0.24023,3.832,-0.38281,0,11
220,26,0,3.6055,-0.43164,0.33461,34
220,26,0.11523,3.6387,-0.46875,0.33461,77
220,26,0.11523,3.6699,-0.50977,0.33461,80
220,26,0.11719,3.7188,-0.42969,0.33461,42
220,26,0.23633,3.7754,-0.056641,0.33461,17
220,26,0.23828,3.8066,-0.23242,0.33461,16
220,26,3.3809,0,4.8965,0.33461,9
220,26,0,3.627,-0.20703,0.66921,15
220,26,0,3.6582,-0.29297,0.66921,33
220,26,0,3.6875,-0.39258,0.66921,35
220,26,0,3.7324,-0.31445,0.66921,18
220,26,0.23633,3.668,-0.89648,-0.66921,16
220,26,0.11914,3.666,-1.0703,-0.66921,16
220,26,0.11523,3.5957,-0.72461,-0.33461,18
220,26,0.11523,3.6348,-0.72461,-0.33461,22
220,26,0.11719,3.6914,-0.61914,-0.33461,30
220,26,0.23633,3.7441,-0.48633,-0.33461,45
220,26,0.23828,3.7676,-0.5918,-0.33461,48
220,26,0.24023,3.7637,-0.82227,-0.33461,27
220,26,5.2402,0.71289,-1.1367,0.33461,9
221,22,0,3.4668,-1.2031,0,9
221,22,0.11523,3.5059,-1.2012,0,17
221,22,0.23438,3.6523,-0.80078,0,17
221,22,0.11914,3.7168,-0.69727,0,20
221,22,0,3.7695,-0.62305,0,19
221,22,0.11523,3.6426,-0.42578,0.33461,37
221,22,0.11523,3.6621,-0.5625,0.33461,56
221,22,0.23438,3.6875,-0.61719,0.33461,41
221,22,0.23633,3.7559,-0.39258,0.33461,46
221,22,0.11914,3.7988,-0.39063,0.33461,52
221,22,0.12109,3.8262,-0.49219,0.33461,25
221,22,0,3.6563,-0.3125,0.66921,15
221,22,0.11523,3.6895,-0.34766,0.66921,22
221,22,0.23438,3.7109,-0.45703,0.66921,17
221,22,0.11914,3.7773,-0.18164,0.66921,20
221,22,0,3.8184,-0.15234,0.66921,20
221,22,0.11523,3.6055,-0.67383,-0.33461,20
221,22,0.11523,3.6074,-0.8457,-0.33461,28
221,22,0.11719,3.5742,-1.1113,-0.33461,18
221,22,0.23633,3.6953,-0.77148,-0.33461,11
221,22,0.11914,3.748,-0.73438,-0.33461,18
221,22,0.34766,3.5371,-1.0586,0,17
222,18,0,3.5781,-0.9707,0,16
222,18,0,3.5137,-1.2988,0,16
222,18,0.23633,3.7363,-0.53906,0,12
222,18,0,3.7188,-0.88281,0,27
222,18,0,3.7305,-0.98828,0,16
222,18,0,3.6621,-0.22461,0.33461,33
222,18,0,3.6758,-0.49219,0.33461,56
222,18,0,3.666,-0.76367,0.33461,46
222,18,0.23633,3.6582,-0.93555,0.33461,26
222,18,0.11914,3.7656,-0.64063,0.33461,56
222,18,0.12109,3.791,-0.70898,0.33461,37
222,18,0,3.6875,-0.37891,0.66921,22
222,18,0,3.6914,-0.63086,0.66921,21
222,18,0,3.7988,-0.41602,0.66921,22
222,18,0,3.8398,-0.38086,0.66921,14
222,18,0,3.6094,-0.66406,-0.33461,22
222,18,0,3.6426,-0.69336,-0.33461,26
222,18,0.11719,3.6484,-0.83789,-0.33461,16
223,16,0.23242,3.5547,-1.0273,0,9
223,16,0,3.6895,-0.64453,0,13
223,16,-0.23633,3.5781,-1.209,0,26
223,16,-0.11914,3.5098,-1.5078,0,25
223,16,0.24023,3.7168,-1.0098,0,13
223,16,0.23242,3.5625,-1.0039,0.33461,14
223,16,0,3.7148,-0.48242,0.33461,27
223,16,-0.23633,3.625,-1.0586,0.33461,47
223,16,0,3.6133,-1.2441,0.33461,40
223,16,0.24023,3.791,-0.68359,0.33461,27
223,16,0.12109,3.834,-0.69141,0.33461,13
223,16,0,3.7305,-0.32422,0.66921,15
223,16,-0.23633,3.7031,-0.73828,0.66921,29
223,16,-0.11914,3.709,-0.91406,0.66921,28
223,16,0,3.793,-0.70703,0.66921,13
223,16,-0.23828,3.4727,-1.5762,0.33461,40
224,22,0,3.6172,-0.9707,0,24
224,22,0,3.6445,-1.0137,0,82
224,22,0,3.666,-1.0801,0,110
224,22,0,3.6816,-1.1563,0,70
224,22,0,3.6719,-1.3047,0,21
224,22,0,3.6816,-0.44531,0.33461,13
224,22,0.11719,3.6758,-0.71094,0.33461,54
224,22,0,3.7012,-0.78711,0.33461,163
224,22,0,3.7305,-0.82422,0.33461,219
224,22,0,3.748,-0.91602,0.33461,137
224,22,0,3.7578,-1.0332,0.33461,41
224,22,0,3.6855,-0.66406,0.66921,24
224,22,0,3.7383,-0.58203,0.66921,74
224,22,0,3.7715,-0.61914,0.66921,100
224,22,0,3.793,-0.71289,0.66921,63
224,22,0,3.7969,-0.87891,0.66921,19
224,22,0,3.5254,-1.0215,-0.33461,11
224,22,0,3.5625,-1.0254,-0.33461,16
224,22,0.11719,3.543,-1.209,-0.33461,12
224,22,0,3.5762,-1.2344,-0.33461,17
224,22,0,3.5859,-1.3203,-0.33461,22
224,22,0,3.5742,-1.4551,-0.33461,14
225,26,-0.23438,3.6992,-0.53906,0,17
225,26,-0.11914,3.7422,-0.54297,0,73
225,26,-0.11914,3.7676,-0.62695,0,114
225,26,-0.12109,3.7988,-0.67188,0,80
225,26,0,3.8086,-0.82422,0,22
225,26,0,3.6289,0.13281,0.33461,16
225,26,0,3.6699,0.054688,0.33461,22
225,26,0,3.7031,-0.17969,0.33461,14
225,26,0,3.7285,-0.35938,0.33461,12
225,26,0.11914,3.752,-0.4707,0.33461,22
225,26,0.11914,3.7813,-0.54102,0.33461,28
225,26,0.24023,3.8008,-0.61914,0.33461,21
225,26,3.2344,0,4.8418,0.33461,10
225,26,0,3.6074,-1.0059,-0.66921,16
225,26,-0.11914,3.6426,-1.0195,-0.66921,65
225,26,-0.11914,3.6582,-1.0957,-0.66921,108
225,26,-0.12109,3.6836,-1.1426,-0.66921,76
225,26,0,3.6914,-1.25,-0.66921,21
225,26,0,3.6523,-0.35156,-0.33461,17
225,26,0,3.6543,-0.625,-0.33461,15
225,26,0,3.6855,-0.66602,-0.33461,33
225,26,-0.11914,3.7051,-0.75195,-0.33461,129
225,26,-0.11914,3.7285,-0.82617,-0.33461,210
225,26,-0.12109,3.7578,-0.86914,-0.33461,147
225,26,-0.12109,3.7832,-0.92773,-0.33461,40
225,26,-0.33984,5.416,-0.48438,0.33461,9
226,38,0,3.6621,-0.24609,0,15
226,38,0,3.6953,-0.31445,0,26
226,38,-0.23438,3.7324,-0.20508,0,43
226,38,-0.23633,3.7656,-0.27344,0,42
226,38,-0.11914,3.7598,-0.67773,0,19
226,38,0,3.6309,0.068359,0.33461,25
226,38,0,3.668,-0.09375,0.33461,59
226,38,0,3.6973,-0.27539,0.33461,66
226,38,0,3.7129,-0.48828,0.33461,38
226,38,0,3.7383,-0.58789,0.33461,29
226,38,0,3.6992,-0.95508,0.33461,29
226,38,0,3.7207,-1.0273,0.33461,23
226,38,0,3.668,0.11719,0.66921,21
226,38,0,3.707,-0.085938,0.66921,23
226,38,0,3.7246,-0.39258,0.66921,14
226,38,0,3.7559,-0.45313,0.66921,14
226,38,0,3.7578,-0.69727,0.66921,22
226,38,0,3.8008,-0.66797,0.66921,22
226,38,0,3.5195,-1.168,-2.3422,16
226,38,0,3.5703,-1.1328,-2.3422,14
226,38,-0.22852,3.5332,-0.96289,-2.0076,16
226,38,0,3.5801,-0.9668,-2.0076,26
226,38,-0.11719,3.6133,-0.98047,-2.0076,22
226,38,-0.11523,3.6309,-0.74219,-1.673,14
226,38,-0.11523,3.6152,-0.81055,-1.0038,14
226,38,-0.11719,3.6699,-0.73438,-1.0038,33
226,38,0,3.6836,-0.86523,-1.0038,36
226,38,0,3.6953,-0.9707,-1.0038,20
226,38,-0.34766,3.6914,-0.0039063,-0.66921,23
226,38,-0.11719,3.7207,-0.40625,-0.66921,82
226,38,-0.11914,3.7363,-0.57813,-0.66921,94
226,38,-0.11914,3.752,-0.71875,-0.66921,41
226,38,0,3.6074,-0.41992,-0.33461,14
226,38,0,3.623,-0.58594,-0.33461,32
226,38,0.11523,3.625,-0.77148,-0.33461,27
226,38,-0.23438,3.7363,-0.11719,-0.33461,73
226,38,-0.23633,3.7637,-0.29297,-0.33461,84
226,38,-0.35742,3.7871,-0.36914,-0.33461,30
227,28,0,3.6699,0.064453,0,11
227,28,-0.23242,3.6953,0.19922,0,22
227,28,-0.23438,3.7383,0.039063,0,40
227,28,-0.23633,3.7754,-0.09375,0,41
227,28,-0.23828,3.7988,-0.3457,0,23
227,28,0,3.6191,0.30273,0.33461,17
227,28,0,3.666,0.16602,0.33461,35
227,28,0,3.6953,0.29883,0.33461,29
227,28,0,3.8203,-0.54297,0.33461,19
227,28,0,3.6504,0.38477,0.66921,13
227,28,0,3.7949,-0.44727,0.66921,14
227,28,0,3.8359,-0.42578,0.66921,18
227,28,-0.53125,2.1211,2.6094,2.3422,14
227,28,-0.53711,2.2715,2.5293,2.3422,29
227,28,-0.54297,2.4023,2.459,2.3422,25
227,28,0,3.3496,-0.61523,-2.6769,19
227,28,-0.21484,3.3672,-0.68555,-2.6769,37
227,28,-0.2168,3.4043,-0.69141,-2.6769,30
227,28,-0.21484,3.4219,-0.30859,-2.3422,14
227,28,-0.23242,3.6758,-0.43164,-0.66921,19
227,28,-0.23438,3.6992,-0.54297,-0.66921,38
227,28,-0.11914,3.7266,-0.64648,-0.66921,37
227,28,0,3.7637,-0.66211,-0.66921,17
227,28,0,3.6602,-0.26758,-0.33461,17
227,28,-0.11523,3.6992,-0.22656,-0.33461,34
227,28,-0.11719,3.7324,-0.29102,-0.33461,77
