Frame #,# Obj,X,Y,Z,Doppler,Intensity
148,1,0,4.8711,-0.30664,0.33461,15
149,3,0,4.8379,0.21875,0.33461,14
149,3,0,4.8809,0.054688,0.33461,17
149,3,0,4.8125,-0.80664,-0.33461,12
151,1,0,4.9512,-0.65234,0.33461,15
152,1,0,4.9551,-0.625,0.33461,14
163,12,0,4.8926,-0.50391,0,20
163,12,0,4.9336,-0.46484,0,43
163,12,0,4.9746,-0.43359,0,43
163,12,0,5.0039,-0.52734,0,19
163,12,0,4.8125,-1.0176,-0.66921,16
163,12,0,4.8398,-1.0664,-0.66921,37
163,12,0,4.8926,-1,-0.66921,37
163,12,0.1582,4.9551,-0.85547,-0.66921,18
163,12,0,4.8574,-0.76758,-0.33461,36
163,12,0,4.9023,-0.73438,-0.33461,77
163,12,0,4.9414,-0.71875,-0.33461,75
163,12,0,4.998,-0.58008,-0.33461,33
164,12,0,4.7852,-1.1348,0,19
164,12,0,4.832,-1.1035,0,42
164,12,0,4.8926,-1,0,43
164,12,0,4.8984,-1.1523,0,20
164,12,0,4.8496,-0.81836,0.33461,35
164,12,0,4.8926,-0.79102,0.33461,75
164,12,0,4.9355,-0.75781,0.33461,75
164,12,0,4.959,-0.84961,0.33461,34
164,12,0,4.834,-0.9043,0.66921,17
164,12,0,4.9121,-0.66406,0.66921,38
164,12,0,4.9551,-0.62891,0.66921,40
164,12,0,4.9766,-0.74219,0.66921,18
165,12,0,4.8457,-1.043,0,16
165,12,0,4.873,-1.0938,0,35
165,12,0,4.9414,-0.94922,0,34
165,12,0,4.9512,-1.0879,0,14
165,12,0,4.9141,-0.64453,0.33461,34
165,12,-0.15625,4.9414,-0.70117,0.33461,68
165,12,0,4.9863,-0.68164,0.33461,64
165,12,0,5.0273,-0.64844,0.33461,27
165,12,-0.1543,4.9414,-0.33984,0.66921,16
165,12,0,4.9766,-0.41797,0.66921,31
165,12,0,5.0137,-0.43359,0.66921,29
165,12,0,5.0605,-0.30859,0.66921,12
191,1,0,8.3691,1.5586,0.33461,20
192,3,0,4.9395,-0.73633,0.33461,14
192,3,0,4.9863,-0.67773,0.33461,20
192,3,0,5.0273,-0.6543,0.33461,16
198,13,0,4.9004,-0.41602,0,11
198,13,0,4.9414,-0.375,0,39
198,13,0,4.9824,-0.34375,0,53
198,13,0,5.0234,-0.27539,0,34
198,13,0,5.0371,-0.57031,0,9
198,13,0,4.832,-1.0977,-0.66921,40
198,13,0,4.8945,-0.99023,-0.66921,56
198,13,0,4.9297,-1.0059,-0.66921,35
198,13,0,4.8477,-0.83594,-0.33461,22
198,13,0,4.8965,-0.77148,-0.33461,77
198,13,0,4.9434,-0.71289,-0.33461,106
198,13,0,4.9844,-0.68359,-0.33461,66
198,13,0,5.0273,-0.64844,-0.33461,18
204,1,0,4.8945,-0.47461,0.33461,16
205,14,0,4.8965,-0.76172,0,16
205,14,0,4.9434,-0.70313,0,25
205,14,0,5.0039,-0.53906,0,19
205,14,-0.1543,4.8223,-1.1367,0.33461,23
205,14,0,4.9023,-0.95508,0.33461,30
205,14,0,4.8477,-1.0293,0.66921,14
205,14,0,4.918,-0.86523,0.66921,17
205,14,0,4.8047,-0.85547,1.673,13
205,14,0,4.8398,-0.88086,1.673,19
205,14,0,4.8965,-0.98633,-0.66921,17
205,14,0,4.9609,-0.84766,-0.66921,17
205,14,0,4.875,-0.89063,-0.33461,20
205,14,0,4.9395,-0.74219,-0.33461,46
205,14,0,4.9844,-0.68555,-0.33461,38
206,14,0,4.6035,-1.7324,0,14
206,14,0,4.7617,-1.375,0,32
206,14,0,4.8164,-1.3203,0,36
206,14,0,4.8867,-1.1992,0,21
206,14,0,4.7656,-1.2168,0.33461,23
206,14,-0.1543,4.8086,-1.1934,0.33461,52
