Frame #,# Obj,X,Y,Z,Doppler,Intensity
136,13,0,3.3477,-0.36719,0.33461,21
136,13,-0.10547,3.3926,-0.26172,0.33461,32
136,13,0,3.4395,-0.14453,0.33461,30
136,13,-0.10938,3.4707,-0.24414,0.33461,18
136,13,0.11133,3.5391,-0.32227,0.33461,13
136,13,0.11328,3.5723,-0.37305,0.33461,13
136,13,0,3.2793,-0.76367,-0.33461,29
136,13,0,3.3047,-0.82031,-0.33461,41
136,13,0,3.3418,-0.82617,-0.33461,36
136,13,0,3.291,-1.1348,-0.33461,22
136,13,0.10938,3.3301,-1.1309,-0.33461,14
136,13,0.22266,3.4922,-0.63867,-0.33461,22
136,13,0.22461,3.541,-0.57813,-0.33461,19
137,2,0,3.3027,-0.9707,-0.33461,13
137,2,0.10938,3.3301,-1.0098,-0.33461,12
140,6,-0.27734,2.9023,0.45117,0.33461,15
140,6,-0.2793,2.9375,0.4707,0.33461,20
140,6,-0.37891,2.9688,0.44727,0.33461,11
140,6,-0.27734,2.9336,0.16602,-0.33461,21
140,6,-0.1875,2.9824,0.095703,-0.33461,30
140,6,0,3.0254,0.10742,-0.33461,16
141,9,-0.18359,2.8965,0.53516,0.33461,19
141,9,-0.1875,2.9434,0.49023,0.33461,21
141,9,0,3.3887,-0.33008,0.33461,21
141,9,0,3.4277,-0.31836,0.33461,21
141,9,-0.18164,2.8926,0.30273,-0.33461,11
141,9,-0.091797,2.9453,0.16406,-0.33461,28
141,9,-0.09375,2.9863,0.074219,-0.33461,31
141,9,-0.18945,3.0215,-0.023438,-0.33461,14
141,9,0,3.3789,-0.66016,-0.33461,20
142,14,-0.091797,2.9355,0.29297,0,21
142,14,-0.1875,2.9785,0.1543,0,24
142,14,-0.18945,3.0215,-0.017578,0,12
142,14,0,2.8691,0.50195,0.33461,18
142,14,-0.18359,2.9102,0.45117,0.33461,51
142,14,-0.1875,2.9609,0.36719,0.33461,59
142,14,-0.18945,3.0059,0.29102,0.33461,30
142,14,0,3.3496,-0.3457,0.33461,22
142,14,0,3.4004,-0.19336,0.33461,25
142,14,-0.18359,2.8809,0.61523,0.66921,20
142,14,-0.1875,2.9414,0.49219,0.66921,23
142,14,-0.18359,2.9414,0.1543,-0.33461,15
142,14,-0.1875,2.9824,0.0058594,-0.33461,18
142,14,0,3.3359,-0.68164,-0.33461,19
143,23,-0.18359,2.9453,0.066406,0,11
143,23,-0.1875,2.9805,-0.11719,0,21
143,23,-0.18945,3.0195,-0.11328,0,15
143,23,0,3.4414,0.091797,0,16
143,23,0.10938,3.4785,-0.054688,0,13
143,23,-0.27734,2.9336,0.14453,0.33461,23
143,23,-0.2793,2.9746,0.080078,0.33461,36
143,23,-0.18945,3.0176,0.12109,0.33461,22
143,23,0,3.4004,0.16211,0.33461,50
143,23,0,3.4297,0.3125,0.33461,62
143,23,0,3.457,0.40625,0.33461,45
143,23,-0.18359,2.9414,0.15234,0.66921,18
143,23,-0.2793,2.9688,0.19531,0.66921,21
143,23,0,3.4023,0.52734,0.66921,21
143,23,0,3.3965,-0.25,-0.66921,21
143,23,0,3.4355,-0.23242,-0.66921,29
143,23,0,3.4707,-0.25781,-0.66921,22
143,23,0,3.3613,-0.18359,-0.33461,23
143,23,0,3.4023,-0.14258,-0.33461,61
143,23,0.10742,3.4395,-0.080078,-0.33461,85
143,23,0,3.4805,-0.076172,-0.33461,64
143,23,0,3.5156,-0.14258,-0.33461,18
143,23,0,3.584,-0.2793,-0.33461,15
144,29,0,3.4023,-0.125,0,24
144,29,-0.10742,3.4355,-0.19531,0,26
144,29,0,3.4766,-0.15625,0,10
144,29,0,3.3672,-0.0625,0.33461,17
144,29,0,3.4023,0.12305,0.33461,29
144,29,0,3.4316,0.26758,0.33461,22
144,29,0.33008,3.4238,-0.73828,0.33461,22
144,29,0.22266,3.502,-0.57422,0.33461,25
144,29,-4.5449,1.125,-0.29688,0.33461,18
144,29,-4.582,1.1094,-0.37891,0.33461,16
144,29,-0.095703,3.0371,-0.39648,0.66921,22
144,29,-0.19336,3.0625,-0.45117,0.66921,21
144,29,-0.18945,3.0215,-0.035156,1.0038,20
144,29,-0.19141,3.0527,-0.17969,1.0038,37
144,29,-0.097656,3.0859,-0.30078,1.0038,34
144,29,-0.19531,3.123,-0.25,1.0038,17
144,29,-0.095703,3.0605,-0.14453,1.3384,19
144,29,0,3.1016,-0.0625,1.3384,17
144,29,0.10547,3.3613,-0.53906,-0.66921,22
144,29,0,3.4004,-0.53906,-0.66921,20
144,29,0.10547,3.3574,-0.23242,-0.33461,27
144,29,0.10547,3.3926,-0.26172,-0.33461,64
144,29,0.10742,3.4316,-0.26758,-0.33461,60
144,29,0,3.4512,-0.45313,-0.33461,20
144,29,0.2207,3.375,-0.9668,-0.33461,20
144,29,0.11133,3.5137,-0.54102,-0.33461,35
144,29,0.11328,3.5684,-0.41797,-0.33461,24
144,29,-1.1719,1.4102,-4.3184,0.33461,13
144,29,-2.6602,0,4.1113,0.33461,10
145,33,-0.099609,3.1348,-0.51563,0,10
145,33,0,3.166,-0.56836,0,9
145,33,0,3.3906,0.30664,0,35
145,33,0,3.4414,0.10156,0,47
145,33,0,3.4766,-0.15625,0,36
145,33,0,3.5039,-0.31641,0,14
145,33,0,3.3633,0.1582,0.33461,39
145,33,0,3.3984,0.21289,0.33461,72
145,33,0,3.416,0.43555,0.33461,55
145,33,-0.43555,3.4336,-0.37109,0.33461,17
145,33,-0.2207,3.4707,-0.53711,0.33461,18
