Frame #,# Obj,X,Y,Z,Doppler,Intensity
822,2,0.13672,2.1816,0.19727,0.33461,10
822,2,0.13672,2.1895,-0.0078125,-0.33461,9
828,1,0.13672,2.1777,-0.23633,-0.33461,11
829,2,0.068359,2.1895,0.13672,0.33461,10
829,2,0.068359,2.1855,-0.1875,-0.33461,9
832,1,0.13672,2.1895,-0.066406,-0.33461,9
833,1,0.068359,2.1758,-0.27344,-0.33461,10
837,1,0.068359,2.1934,0.027344,-0.33461,9
838,3,0,2.1504,0.16797,0.33461,8
838,3,0.068359,2.1699,0.32227,0.33461,10
838,3,0.20508,2.1816,-0.097656,-0.33461,11
839,2,0.068359,2.1855,0.17578,0.33461,9
839,2,0.068359,2.1797,-0.25,-0.33461,11
840,5,0.068359,2.1523,0.12695,0.33461,14
840,5,0.13672,2.1895,0.082031,0.33461,19
840,5,0.13477,2.1523,-0.0039063,-0.33461,15
840,5,0.20508,2.1816,-0.12109,-0.33461,21
840,5,0.070313,2.2227,-0.18945,-0.33461,11
844,2,0.068359,2.1816,0.22461,0.33461,8
844,2,0.13672,2.1895,-0.0078125,-0.33461,10
845,2,0.068359,2.1855,0.18945,0.33461,11
845,2,0.068359,2.1816,-0.22656,-0.33461,11
846,1,0.068359,2.1895,-0.125,-0.33461,9
847,2,0.13672,2.1816,0.1875,0.33461,10
847,2,0.13672,2.1895,-0.066406,-0.33461,9
848,1,0.20508,2.1758,-0.19141,-0.33461,9
849,2,0.068359,2.1836,0.20703,0.33461,10
849,2,0.13672,2.1836,-0.17578,-0.33461,9
852,1,0.068359,2.1777,0.25195,0.33461,10
853,2,0.068359,2.1895,0.12695,0.33461,11
853,2,0.13672,2.1836,-0.17578,-0.33461,11
855,1,0.13672,2.1719,0.27344,0.33461,10
856,2,0.068359,2.1895,0.12305,0.33461,10
856,2,0.13672,2.1777,-0.23242,-0.33461,12
867,2,0,2.1934,0.078125,0.33461,10
867,2,0.13672,2.1875,-0.095703,-0.33461,13
869,1,0.068359,2.1758,-0.27344,-0.33461,9
870,4,0,2.1563,-0.025391,0.33461,11
870,4,0.068359,2.1895,0.13672,0.33461,13
870,4,0.13477,2.1523,-0.033203,-0.33461,10
870,4,0.13672,2.1895,-0.076172,-0.33461,13
871,1,0.13672,2.1855,-0.13672,-0.33461,8
872,2,0.13672,2.1855,0.14648,0.33461,11
872,2,0.068359,2.1895,-0.14063,-0.33461,11
873,1,0.13672,2.1855,-0.14648,-0.33461,11
878,2,0.13672,2.1836,0.17578,0.33461,11
878,2,0.13672,2.1855,-0.14648,-0.33461,13
879,1,0,2.1855,0.19531,0.33461,8
881,5,0.068359,2.1465,0.19727,0.33461,12
881,5,0.068359,2.1855,0.17773,0.33461,14
881,5,0.20313,2.1445,-0.11328,-0.33461,15
881,5,0.13672,2.1875,-0.085938,-0.33461,19
881,5,0.20898,2.2012,-0.30273,-0.33461,11
882,3,0.13477,2.1484,0.13477,0.33461,11
882,3,0.13672,2.1816,0.18164,0.33461,14
882,3,0.068359,2.1875,-0.17188,-0.33461,10
884,2,0.068359,2.1836,0.20508,0.33461,10
884,2,0.20508,2.1777,-0.16602,-0.33461,11
886,1,0.13672,2.1797,0.2207,0.33461,10
887,2,0,2.1934,-0.085938,0,8
887,2,0.068359,2.1855,0.19531,0.33461,11
888,9,0.13672,2.1875,0.087891,0,8
888,9,0.068359,2.1504,0.15625,0.33461,27
888,9,0.068359,2.1875,0.14844,0.33461,36
888,9,0.070313,2.2285,0.12109,0.33461,21
888,9,0.068359,2.1719,0.30859,0.66921,12
888,9,0.20508,2.1582,-0.34375,-0.66921,12
888,9,0.13477,2.1504,-0.095703,-0.33461,27
888,9,0.13672,2.1855,-0.13672,-0.33461,36
888,9,0.13867,2.2207,-0.16992,-0.33461,21
889,3,0.068359,2.1895,0.125,0.33461,10
889,3,0.13477,2.1484,-0.11914,-0.33461,9
