Frame #,# Obj,X,Y,Z,Doppler,Intensity
3713,3,0.068359,2.1855,0.18359,0.33461,10
3713,3,0.068359,2.1543,-0.076172,-0.33461,9
3713,3,0.13672,2.1895,-0.068359,-0.33461,12
3715,1,0,4.8574,-0.77148,0.33461,15
3716,1,0.068359,2.1855,-0.17383,-0.33461,12
3718,12,1.998,4.4941,0.0625,0,14
3718,12,2.168,4.457,-0.037109,0,13
3718,12,0.13477,2.1465,0.15625,0.33461,11
3718,12,0.068359,2.1895,0.12305,0.33461,13
3718,12,2.1523,4.4121,-0.30664,0.33461,17
3718,12,2.168,4.4395,-0.38672,0.33461,15
3718,12,0.068359,2.1504,-0.14453,-0.33461,15
3718,12,0.13672,2.1875,-0.099609,-0.33461,20
3718,12,0.070313,2.2266,-0.12891,-0.33461,11
3718,12,2.1348,4.3887,0.0097656,-0.33461,18
3718,12,2.1523,4.4219,-0.023438,-0.33461,21
3718,12,2.0137,4.5273,0.13086,-0.33461,13
3719,15,2.1348,4.3672,0.4375,0,13
3719,15,2.1523,4.418,0.19141,0,19
3719,15,2.168,4.4434,0.33594,0,16
3719,15,2.1855,4.4785,0.33398,0,8
3719,15,0.13672,2.1719,0.27344,0.33461,14
3719,15,2.3047,4.2949,-0.6582,0.33461,13
3719,15,2.0293,4.5527,0.3125,0.33461,17
3719,15,1.8867,4.6582,-0.25781,0.33461,22
3719,15,0.068359,2.1914,-0.10156,-0.33461,9
3719,15,1.9824,4.4414,0.40039,-0.33461,16
3719,15,2.1523,4.4141,0.26758,-0.33461,24
3719,15,2.168,4.4531,0.16797,-0.33461,28
3719,15,2.0293,4.5625,0.11523,-0.33461,26
3719,15,2.0449,4.5977,-0.050781,-0.33461,18
3719,15,0.76758,1.918,4.4629,0.33461,7
3723,6,0.13477,2.1445,0.17578,0.33461,11
3723,6,0.13672,2.1855,0.12695,0.33461,13
3723,6,0.068359,2.1543,-0.060547,-0.33461,9
3723,6,0.20508,2.1855,-0.0058594,-0.33461,14
3723,6,2.168,4.3906,-0.76953,-0.33461,13
3723,6,0.31055,3.0449,3.8984,-0.33461,7
3724,12,1.9824,4.4531,0.25586,0,18
3724,12,2.3047,4.334,0.30859,0,22
3724,12,2.0137,4.5195,0.27539,0,12
3724,12,0,2.1895,0.13867,0.33461,9
3724,12,2.1191,4.3438,0.30078,0.33461,14
3724,12,2.1348,4.3574,0.51563,0.33461,34
3724,12,2.1523,4.373,0.66406,0.33461,40
3724,12,2.168,4.3789,0.82813,0.33461,21
3724,12,2.1348,4.291,0.92188,0.66921,16
3724,12,1.998,4.3887,0.96875,0.66921,18
3724,12,0.31055,2.3789,-4.3359,0,7
3724,12,0.1543,3.2109,-3.7734,0.33461,11
3725,7,2.1523,4.418,0.21289,0,15
3725,7,1.8594,4.584,0.31836,0,10
3725,7,0.13672,2.1719,0.27344,0.33461,11
3725,7,2.1523,4.3926,0.52148,0.33461,28
3725,7,2.0137,4.4902,0.5957,0.33461,19
3725,7,2.2012,4.5176,0.25781,0.33461,22
