Frame #,# Obj,X,Y,Z,Doppler,Intensity
869,1,0.32422,5.1602,-0.35742,-0.33461,12
876,2,0.32422,5.1719,0.09375,0.33461,12
876,2,0.32422,5.1602,-0.36914,-0.33461,13
898,2,0.32422,5.1738,0.015625,0.33461,14
898,2,0.48633,5.1348,-0.50586,-0.33461,14
949,1,0.32422,5.1719,-0.048828,0.33461,12
129,8,0.14258,4.5313,-0.25586,0,12
129,8,0,4.5762,-0.15234,0,12
129,8,0.14258,4.4102,-1.0723,-0.66921,13
129,8,0.28516,4.4727,-0.92969,-0.66921,13
129,8,0.28125,4.4512,-0.61523,-0.33461,13
129,8,0.14258,4.4844,-0.69141,-0.33461,25
129,8,0.14258,4.5156,-0.73438,-0.33461,25
129,8,0.14453,4.5859,-0.50195,-0.33461,15
130,9,0,4.5313,-0.28516,0,10
130,9,0,4.5645,-0.35156,0,14
130,9,0.13867,4.457,0.22461,0.33461,14
130,9,0.14063,4.4707,0.51953,0.33461,15
130,9,0,4.3613,-0.49609,-2.3422,12
130,9,0.13867,4.3926,-0.52148,-2.3422,11
130,9,0.14063,4.4863,-0.33789,-0.33461,13
130,9,0.14258,4.5332,-0.20703,-0.33461,18
130,9,0,4.5762,-0.11719,-0.33461,18
131,11,0,4.4883,-0.35156,0,15
131,11,0.14258,4.5371,-0.10156,0,24
131,11,0.14258,4.5762,0.03125,0,21
131,11,0.13867,4.4473,-0.35742,0.33461,14
131,11,0.28125,4.4844,-0.29297,0.33461,23
131,11,0.2832,4.5313,-0.039063,0.33461,22
131,11,0.14258,4.5449,0.52734,0.33461,14
131,11,0,4.5,-0.59766,-0.66921,17
131,11,0,4.4961,-0.86328,-0.66921,17
131,11,0,4.5313,-0.27734,-0.33461,26
131,11,0.14258,4.5645,-0.32617,-0.33461,32
132,13,0.14063,4.459,-0.60352,0,9
132,13,0.14258,4.4629,-0.82031,0,13
132,13,0.28516,4.5332,-0.57227,0,14
132,13,0.13867,4.4609,-0.13867,0.33461,13
132,13,0.14063,4.4941,-0.23438,0.33461,22
132,13,0.14258,4.5254,-0.34375,0.33461,31
132,13,0.14258,4.5625,-0.35742,0.33461,26
132,13,0,4.5391,0.0097656,0.66921,17
132,13,0.14258,4.5742,-0.070313,0.66921,17
132,13,0.14258,4.5273,-0.3125,-0.66921,18
132,13,0,4.5664,-0.32227,-0.66921,14
132,13,0.14258,4.5137,-0.46289,-0.33461,24
132,13,0.14258,4.5566,-0.42383,-0.33461,20
133,12,0,4.3887,0.085938,0,17
133,12,0,4.4258,0.074219,0,17
133,12,0,4.457,-0.25391,0,10
133,12,0,4.3828,0.21289,0.33461,13
133,12,0.43359,4.5898,-0.23242,0.33461,30
133,12,0.58203,4.6113,-0.22852,0.33461,23
133,12,0,4.3887,0,-0.33461,22
133,12,0,4.4258,-0.064453,-0.33461,21
133,12,0.13867,4.4531,-0.28125,-0.33461,13
133,12,0.28125,4.4824,-0.32617,-0.33461,14
133,12,0.2832,4.5313,-0.0097656,-0.33461,14
133,12,0.57617,4.5117,-0.78906,-0.33461,17
134,8,0,4.5332,0.23047,0,12
134,8,0.14258,4.5625,0.35352,0,12
134,8,0.2793,4.4551,0.11719,-0.66921,16
134,8,0.14063,4.4941,0.24414,-0.66921,17
134,8,0,4.4102,-0.375,-0.33461,11
134,8,0,4.4766,0.48047,-0.33461,11
134,8,0,4.5332,0.24219,-0.33461,17
134,8,0.14258,4.5742,0.12695,-0.33461,20
135,17,0.13867,4.4609,-0.125,0,10
135,17,0.28125,4.4922,-0.056641,0,25
135,17,0.14258,4.5352,-0.17578,0,28
135,17,0.14258,4.5742,-0.11914,0,18
135,17,0.28906,4.6016,-0.2168,0,9
135,17,0.13867,4.4609,0.11523,0.33461,12
135,17,0.14063,4.5,-0.070313,0.33461,24
135,17,0.14258,4.5371,-0.085938,0.33461,23
135,17,0,4.5684,-0.28711,0.33461,11
135,17,0.28906,4.6074,0.0078125,0.33461,13
135,17,0,4.2734,0.10156,-2.6769,11
135,17,0.14063,4.4766,-0.46289,-0.66921,14
135,17,0.2832,4.5,-0.5293,-0.66921,18
135,17,0.14063,4.4941,-0.22656,-0.33461,26
135,17,0.2832,4.5234,-0.25977,-0.33461,31
135,17,0.28516,4.5586,-0.3125,-0.33461,23
135,17,-1.7168,0.43945,4.2207,0.33461,6
136,6,0.13086,4.1641,-0.52344,0.33461,11
136,6,0.2832,4.5234,0.26953,0.33461,32
136,6,0.28516,4.5586,0.30664,0.33461,23
136,6,0.42188,4.4609,-0.42969,-0.33461,12
136,6,0.42578,4.5117,-0.26953,-0.33461,22
136,6,0.28516,4.543,-0.48633,-0.33461,17
137,17,0.14063,4.4961,0.17969,0,14
137,17,0.2832,4.5313,-0.056641,0,15
137,17,0.28516,4.5449,-0.46094,0,11
137,17,0.43555,4.5664,-0.78516,0,14
137,17,0.28125,4.4941,0.0078125,0.33461,15
137,17,0.28516,4.5684,-0.054688,0.33461,13
137,17,0.43359,4.5879,-0.27734,0.33461,33
137,17,0.43555,4.625,-0.25781,0.33461,37
137,17,0.43945,4.666,-0.20898,0.33461,21
137,17,0.28906,4.6074,-0.017578,0.66921,12
137,17,0.29102,4.6445,0.013672,0.66921,14
137,17,0.41797,4.4414,-0.16016,-0.33461,16
137,17,0.42188,4.4805,-0.14648,-0.33461,38
137,17,0.42578,4.5156,-0.19922,-0.33461,38
137,17,0.42969,4.5586,0.025391,-0.33461,19
137,17,0.57617,4.5703,-0.30469,-0.33461,21
137,17,0.58203,4.584,-0.54688,-0.33461,20
138,14,0,4.4629,0.083984,0,15
138,14,0.14063,4.5,0.025391,0,22
138,14,0.14258,4.5254,-0.33203,0,17
