Frame #,# Obj,X,Y,Z,Doppler,Intensity
99,15,-0.27148,1.7188,0.015625,0,13
99,15,-0.27734,1.7559,-0.050781,0,15
99,15,-0.2832,1.7871,-0.16211,0,8
99,15,0,1.7402,-0.36914,0.33461,13
99,15,0,1.7969,-0.26758,0.33461,14
99,15,0.11914,1.8633,-0.30859,0.33461,21
99,15,0.18164,1.8926,-0.33203,0.33461,33
99,15,0.18359,1.916,-0.4082,0.33461,22
99,15,0.12109,1.9082,-0.25586,0.66921,10
99,15,0.18164,1.7422,-0.81055,-0.66921,16
99,15,-0.27148,1.7188,-0.039063,-0.33461,24
99,15,-0.27734,1.748,-0.17188,-0.33461,26
99,15,0.17773,1.7891,-0.5918,-0.33461,29
99,15,0.24023,1.7949,-0.66797,-0.33461,49
99,15,0.24609,1.791,-0.77539,-0.33461,34
100,7,-0.16406,1.7227,-0.19141,0,8
100,7,-0.054688,1.7637,-0.2168,0.33461,27
100,7,-0.056641,1.8047,-0.19727,0.33461,29
100,7,0,1.8398,-0.23242,0.33461,13
100,7,0,1.7402,-0.36133,-0.33461,22
100,7,0,1.7891,-0.3125,-0.33461,26
100,7,0,1.8262,-0.31836,-0.33461,13
101,10,-0.27148,1.7168,-0.070313,0.33461,15
101,10,-0.33398,1.7363,-0.19141,0.33461,19
101,10,0,1.75,0.48828,0.33461,16
101,10,-0.058594,1.8359,0.25195,0.33461,25
101,10,0.18164,1.8164,-0.625,0.33461,17
101,10,0.12305,1.8672,-0.60742,0.33461,19
101,10,0,1.8145,0.0625,-0.33461,14
101,10,0,1.8535,-0.011719,-0.33461,21
101,10,0.18164,1.7285,-0.83594,-0.33461,14
101,10,0.18359,1.832,-0.69141,-0.33461,16
102,6,-0.32617,1.707,0.072266,0.33461,12
102,6,-0.27734,1.7559,-0.064453,0.33461,16
102,6,-0.39648,1.7617,-0.18164,0.33461,12
102,6,0,1.8359,0.25586,0.33461,9
102,6,0,1.8926,-0.0058594,0.33461,11
102,6,-0.11523,1.8496,-0.013672,-0.33461,11
103,22,-0.2168,1.7168,-0.17773,0,10
103,22,-0.27734,1.7441,-0.20508,0,15
103,22,-0.2832,1.7695,-0.29688,0,12
103,22,0.11914,1.7949,-0.58398,0,8
103,22,0.18164,1.8047,-0.66016,0,14
103,22,0.18359,1.8457,-0.65625,0,14
103,22,-0.2168,1.7266,-0.0078125,0.33461,19
103,22,-0.22266,1.7637,-0.0625,0.33461,29
103,22,-0.22656,1.7969,-0.11914,0.33461,20
