Frame #,# Obj,X,Y,Z,Doppler,Intensity
110,6,0,2.5625,0.2207,0.33461,27
110,6,0,2.6055,0.16406,0.33461,27
110,6,0,3.1367,-0.14648,0.33461,16
110,6,0,2.5684,-0.15234,-0.33461,17
110,6,0,2.6035,-0.18164,-0.33461,16
110,6,0,3.0938,-0.53516,-0.33461,13
111,19,0,2.5352,0.039063,0,39
111,19,0,2.5723,-0.048828,0,98
111,19,0,2.6074,-0.11328,0,109
111,19,-0.082031,2.6406,-0.18359,0,55
111,19,0,2.6621,-0.35938,0,10
111,19,0,2.5273,0.20117,0.33461,72
111,19,0,2.5703,0.11914,0.33461,182
111,19,-0.082031,2.6094,0.066406,0.33461,205
111,19,0,2.6484,-0.021484,0.33461,104
111,19,0,2.6816,-0.15625,0.33461,20
111,19,0.19922,3.0898,-0.71484,0.33461,19
111,19,0,2.5078,0.37109,0.66921,36
111,19,-0.080078,2.5566,0.27539,0.66921,91
111,19,-0.082031,2.5996,0.22656,0.66921,102
111,19,0,2.6426,0.16211,0.66921,52
111,19,0.29492,2.9316,-1.084,-0.33461,17
111,19,0.19922,3.0742,-0.78125,-0.33461,25
111,19,0.30078,3.1504,-0.56641,-0.33461,29
111,19,0.30469,3.1895,-0.5625,-0.33461,18
112,28,0,2.5723,0.013672,0,16
112,28,0,2.6055,-0.1582,0,36
112,28,0,2.6348,-0.25977,0,36
112,28,0,2.6621,-0.35352,0,16
112,28,0.099609,3.1406,-0.47461,0,15
112,28,-5.1074,0,-0.75391,0,10
112,28,-5.1445,0,-0.75977,0,9
112,28,0,2.5684,0.13477,0.33461,58
112,28,0,2.6113,0.019531,0.33461,123
112,28,0,2.6484,-0.056641,0.33461,120
112,28,0,2.6816,-0.14844,0.33461,51
112,28,-0.22266,3.5488,-0.097656,0.33461,20
112,28,-5.1074,0,-0.052734,0.33461,19
112,28,-4.9844,1.2598,-0.20508,0.33461,17
112,28,0,2.4609,0.60742,0.66921,15
112,28,0,2.5586,0.27734,0.66921,74
112,28,0,2.6055,0.17188,0.66921,154
112,28,0,2.6465,0.10938,0.66921,146
112,28,0,2.6855,0.035156,0.66921,63
112,28,0,2.5391,0.4082,1.0038,29
112,28,-0.082031,2.5859,0.3457,1.0038,61
112,28,-0.082031,2.6309,0.29883,1.0038,57
112,28,0,2.6758,0.22656,1.0038,24
112,28,0.29883,3.1035,-0.61914,-0.33461,23
112,28,0.20117,3.1836,-0.40234,-0.33461,17
112,28,-0.32227,4.8477,-1.6973,0,7
112,28,-0.47852,4.9668,-1.0879,0.33461,12
