Frame #,# Obj,X,Y,Z,Doppler,Intensity
963,2,-0.51172,0.73633,0.15039,0.33461,5
963,2,-0.51172,0.74609,-0.089844,-0.33461,5
980,3,-0.45313,0.78516,0.03125,0.33461,7
980,3,-0.45313,0.78516,-0.052734,-0.33461,8
980,3,-0.44336,0.83398,-0.0625,-0.33461,6
983,1,-0.53906,0.71875,0.13281,0.33461,4
1003,1,-0.51172,0.75,-0.037109,-0.33461,5
100,20,0.14453,1.543,-0.068359,0,12
100,20,0.099609,1.584,0.074219,0,13
100,20,0.15234,1.6172,0.076172,0,12
100,20,0.20898,1.6445,0.15234,0,8
100,20,0.09375,1.502,-0.1582,0.33461,41
100,20,0.097656,1.5469,-0.035156,0.33461,73
100,20,0.099609,1.5801,0.13672,0.33461,79
100,20,0.15234,1.6055,0.2207,0.33461,61
100,20,0.20898,1.625,0.29297,0.33461,40
100,20,0.097656,1.5469,0.044922,0.66921,25
100,20,0.099609,1.5703,0.21875,0.66921,27
100,20,0.15234,1.5898,0.30469,0.66921,21
100,20,0.097656,1.5098,-0.33984,-0.66921,17
100,20,0.14844,1.5781,-0.11133,-0.66921,18
100,20,0.15234,1.6172,-0.09375,-0.66921,13
100,20,0.09375,1.4707,-0.34766,-0.33461,30
100,20,0.097656,1.5254,-0.25977,-0.33461,53
100,20,0.099609,1.584,-0.066406,-0.33461,55
100,20,0.15234,1.6191,0.0078125,-0.33461,42
100,20,0.25977,1.6426,0.068359,-0.33461,26
101,19,0.048828,1.5762,-0.19336,0,6
101,19,0.15234,1.5977,-0.26758,0,7
101,19,0.048828,1.5488,0.066406,0.33461,36
101,19,0.099609,1.5859,0.035156,0.33461,55
101,19,0.15234,1.6172,-0.076172,0.33461,48
101,19,0.25977,1.6406,-0.10938,0.33461,31
101,19,0.10547,1.6445,0.42969,0.33461,18
101,19,0,1.5488,0.085938,0.66921,12
101,19,0.099609,1.5801,0.13867,0.66921,19
101,19,0.15234,1.6191,0.042969,0.66921,16
101,19,0.25977,1.6445,-0.027344,0.66921,11
101,19,0.048828,1.5293,-0.25,-0.66921,9
101,19,0.099609,1.5645,-0.26172,-0.66921,14
101,19,0.15234,1.5801,-0.35742,-0.66921,11
101,19,0.048828,1.543,-0.15039,-0.33461,28
101,19,0.099609,1.5762,-0.17578,-0.33461,44
101,19,0.15234,1.6016,-0.24805,-0.33461,36
101,19,0.3125,1.6074,-0.29883,-0.33461,22
101,19,-0.85156,0.64648,1.3242,0.33461,11
102,24,0.048828,1.541,0.16797,0,7
102,24,0.048828,1.5762,0.19922,0,8
102,24,0.09375,1.4883,0.25781,0.33461,28
102,24,0.097656,1.5371,0.17969,0.33461,69
102,24,0.14844,1.5742,0.16406,0.33461,79
102,24,0.10156,1.5918,0.32031,0.33461,40
102,24,0.41602,1.3887,-0.81641,0.33461,10
102,24,-0.69141,0.29492,-1.5273,0.33461,22
102,24,-0.70703,0,-1.7305,0.33461,25
102,24,0.097656,1.5234,0.27148,0.66921,23
102,24,0.099609,1.5605,0.28125,0.66921,25
102,24,0.050781,1.5742,0.4082,0.66921,13
102,24,0.14453,1.5293,-0.2207,-0.66921,18
102,24,0.14844,1.5703,-0.18555,-0.66921,20
102,24,0.14258,1.5059,0,-0.33461,23
102,24,0.14453,1.543,-0.044922,-0.33461,58
102,24,0.19922,1.5762,-0.052734,-0.33461,65
102,24,0.15234,1.6133,0.13867,-0.33461,33
102,24,-0.20898,1.5801,0.48242,-0.33461,8
102,24,-0.63867,0.33398,1.543,-0.33461,17
102,24,-0.625,1.3672,-0.71484,0.33461,10
102,24,0.21289,1.5313,-0.71094,0.33461,14
102,24,0.41602,1.2363,-1.0332,-0.33461,7
102,24,0.31836,1.4336,-0.86133,-0.33461,11
103,30,-0.1543,0.96094,0.14453,0,8
103,30,-0.12695,1.0078,0.11523,0,26
103,30,-0.13281,1.0469,0.085938,0,37
103,30,-0.13672,1.0879,0.052734,0,24
103,30,-0.2832,1.0898,0.13672,0,4
103,30,-0.074219,1.1543,-0.19141,0,13
103,30,-0.076172,1.2051,-0.082031,0,18
103,30,-0.12305,0.95313,0.20898,0.33461,18
103,30,-0.095703,1.002,0.17969,0.33461,57
103,30,-0.13281,1.0391,0.15234,0.33461,81
103,30,-0.13672,1.082,0.12305,0.33461,53
103,30,-0.24805,1.0801,0.24805,0.33461,10
103,30,-0.074219,1.1641,-0.125,0.33461,28
103,30,-0.11328,1.2051,-0.039063,0.33461,38
103,30,-0.1543,0.94531,0.22266,0.66921,7
