Frame #,# Obj,X,Y,Z,Doppler,Intensity
211,4,0.17188,2.7461,0.23438,0.33461,15
211,4,0.087891,2.7988,0.050781,0.33461,12
211,4,0.17188,2.7559,-0.0625,-0.33461,14
211,4,0.26172,2.7656,-0.3418,-0.33461,13
212,7,0.25977,2.748,-0.066406,0.33461,13
212,7,0,2.7852,-0.28711,0.33461,14
212,7,0,2.8145,-0.35352,0.33461,15
212,7,0.17188,2.7051,-0.53125,-0.33461,10
212,7,0,2.668,-0.8457,-0.33461,18
212,7,0,2.7363,-0.74805,-0.33461,19
212,7,-1.0645,1.623,2.0684,-0.33461,10
213,13,0.16992,2.7168,-0.10352,0.33461,31
213,13,0.17188,2.7539,-0.11133,0.33461,54
213,13,0.26172,2.7832,-0.14063,0.33461,46
213,13,0.44336,2.7891,-0.27734,0.33461,23
213,13,0.16992,2.7168,-0.074219,0.66921,11
213,13,0.085938,2.7598,0.03125,0.66921,18
213,13,0.17578,2.793,0.058594,0.66921,15
213,13,0.25977,2.6641,-0.68164,-0.66921,16
213,13,0.17578,2.6816,-0.7832,-0.66921,12
213,13,0.25586,2.6758,-0.4375,-0.33461,28
213,13,0.25977,2.7109,-0.46094,-0.33461,47
213,13,0.26172,2.7363,-0.52734,-0.33461,39
213,13,-0.875,1.7109,2.0371,-0.66921,7
214,18,0,2.7324,-0.4082,0,10
214,18,0,2.7754,-0.36133,0,11
214,18,0.087891,2.8359,-0.074219,0,10
214,18,0.089844,2.8613,-0.26563,0,16
214,18,0.091797,2.9063,-0.19336,0,12
214,18,0.085938,2.5762,-0.99219,0.33461,13
214,18,0,2.6406,0.92969,0.33461,14
214,18,-0.17773,2.8281,0.15039,0.33461,21
214,18,-0.26953,2.8398,-0.36133,0.33461,17
214,18,0,2.8027,-0.64453,-0.66921,15
214,18,0.085938,2.6699,-0.5293,-0.33461,12
214,18,0.085938,2.6387,-0.80859,-0.33461,28
214,18,0,2.7949,-0.16406,-0.33461,28
214,18,0,2.834,-0.14844,-0.33461,34
214,18,0,2.8398,-0.44531,-0.33461,39
214,18,0,2.873,-0.48047,-0.33461,25
214,18,0.79883,1.6016,-2.2031,0.33461,11
214,18,0.62891,2.6445,0.93945,0.33461,12
215,27,0,2.6953,-0.40039,0,23
215,27,0,2.7461,-0.30078,0,54
215,27,0,2.791,-0.21484,0,57
215,27,0,2.8184,-0.32227,0,35
215,27,0.089844,2.8418,-0.42969,0,19
215,27,0.25195,2.6738,0.041016,0.33461,9
215,27,0.16992,2.7168,-0.10547,0.33461,35
215,27,0.17188,2.75,-0.20117,0.33461,70
215,27,0.17578,2.791,-0.15234,0.33461,79
215,27,0.087891,2.834,0.087891,0.33461,47
215,27,0.085938,2.7227,0.0078125,0.66921,11
215,27,0.17188,2.7539,-0.099609,0.66921,23
215,27,0.17578,2.7949,0.0097656,0.66921,26
215,27,0,2.8047,0.43164,0.66921,15
215,27,0.085938,2.6348,-0.82031,-1.0038,20
215,27,0.087891,2.6836,-0.79492,-1.0038,23
215,27,0.087891,2.6953,-0.88281,-1.0038,16
215,27,0,2.6543,-0.61133,-0.66921,30
215,27,0,2.6875,-0.63477,-0.66921,68
215,27,0,2.7285,-0.62695,-0.66921,81
215,27,0.087891,2.7773,-0.57813,-0.66921,60
215,27,0.089844,2.8223,-0.53906,-0.66921,24
215,27,-0.16992,2.7168,-0.083984,-0.33461,30
215,27,-0.085938,2.7168,-0.49219,-0.33461,67
215,27,0,2.7617,-0.46484,-0.33461,98
215,27,0.087891,2.8125,-0.36523,-0.33461,95
215,27,0.089844,2.8555,-0.33398,-0.33461,43
216,39,0,2.668,-0.30664,0,8
216,39,0.16992,2.7031,-0.28516,0,36
216,39,0.17188,2.7461,-0.23242,0,80
216,39,0.17578,2.7852,-0.21289,0,85
216,39,0.26563,2.8223,-0.11719,0,48
216,39,0.26953,2.8613,0.064453,0,18
216,39,0.16992,2.7188,-0.044922,0.33461,68
216,39,0.17188,2.7559,-0.025391,0.33461,157
216,39,0.17578,2.7949,0.0097656,0.33461,174
216,39,0.17773,2.8301,0.09375,0.33461,108
216,39,0.26953,2.8516,0.24219,0.33461,45
216,39,0.085938,2.7168,0.18164,0.66921,23
216,39,0.17188,2.75,0.19336,0.66921,55
216,39,0.17578,2.7852,0.21484,0.66921,62
216,39,0.17773,2.8145,0.30859,0.66921,39
216,39,0.26953,2.8301,0.43555,0.66921,17
216,39,0.083984,2.5781,-0.74805,-1.673,13
216,39,0.082031,2.6074,-0.45313,-1.3384,18
216,39,0.083984,2.6172,-0.5957,-1.3384,30
216,39,0.085938,2.6113,-0.76758,-1.3384,26
216,39,0.17188,2.625,-0.84375,-1.3384,13
216,39,0.082031,2.6211,-0.37109,-1.0038,23
216,39,0.083984,2.6367,-0.50586,-1.0038,50
216,39,0.085938,2.6641,-0.5625,-1.0038,47
216,39,0.17188,2.6777,-0.65234,-1.0038,20
216,39,0.17578,2.7031,-0.70703,-1.0038,16
216,39,0.17773,2.709,-0.82422,-1.0038,14
