Frame #,# Obj,X,Y,Z,Doppler,Intensity
122,2,0.30469,4.8613,-0.29297,0.33461,17
122,2,0.30664,4.9063,-0.13477,0.33461,14
123,7,0.46094,4.8574,-0.61719,0,7
123,7,0.45703,4.8398,-0.42188,0.33461,21
123,7,0.46094,4.8887,-0.26758,0.33461,29
123,7,0.46484,4.9336,-0.091797,0.33461,25
123,7,0.45703,4.748,-1.0313,-0.33461,14
123,7,0.61523,4.8262,-0.72656,-0.33461,18
123,7,0.31055,4.8906,-0.73828,-0.33461,15
125,15,0.15039,4.8398,0.017578,0,8
125,15,0.30469,4.8691,-0.10938,0,12
125,15,0.1543,4.9141,-0.12109,0,8
125,15,0.30078,4.7871,0.28516,0.33461,14
125,15,0.30273,4.8281,0.22852,0.33461,37
125,15,0.30469,4.8711,0.078125,0.33461,48
125,15,0.46094,4.8965,-0.013672,0.33461,39
125,15,0.31055,4.9473,-0.039063,0.33461,24
125,15,0.15039,4.8066,0.57617,0.66921,13
125,15,0.15234,4.8516,0.51367,0.66921,17
125,15,0.1543,4.916,0.0625,0.66921,13
125,15,0.30273,4.8105,-0.4668,-0.33461,21
125,15,0.45703,4.8184,-0.63281,-0.33461,29
125,15,0.30664,4.8555,-0.71875,-0.33461,25
125,15,0.31055,4.873,-0.84766,-0.33461,17
126,12,0.30469,4.8691,0.16211,0,13
126,12,0.30273,4.8223,0.32227,0.33461,27
126,12,0.30469,4.8652,0.24219,0.33461,42
126,12,0.30664,4.9082,0.027344,0.33461,34
126,12,0,4.9512,-0.22461,0.33461,22
126,12,0.15234,4.8594,0.42188,0.66921,15
126,12,0.1543,4.9063,0.30664,0.66921,12
126,12,0.31055,4.8125,-1.1465,-0.66921,14
126,12,0.45703,4.8438,-0.39258,-0.33461,19
126,12,0.30664,4.8555,-0.72461,-0.33461,28
126,12,0.1543,4.8945,-0.76758,-0.33461,39
126,12,0.15625,4.9297,-0.77734,-0.33461,29
127,16,0,4.875,-0.21484,0,17
127,16,0.1543,4.9121,-0.21289,0,38
127,16,0.1543,4.9414,-0.35352,0,34
127,16,0.15625,4.9668,-0.49023,0,16
127,16,0.30469,4.8711,0.060547,0.33461,24
127,16,0.30664,4.9082,0.066406,0.33461,21
127,16,0.78125,4.8945,0.61914,0.33461,13
127,16,0,4.7832,-0.96875,-0.66921,18
127,16,0.1543,4.8242,-0.94336,-0.66921,41
127,16,0.1543,4.8613,-0.95313,-0.66921,37
127,16,0.3125,4.8535,-1.1348,-0.66921,16
127,16,0.15039,4.8223,-0.41211,-0.33461,9
127,16,0,4.8652,-0.38086,-0.33461,23
127,16,0.1543,4.8848,-0.55664,-0.33461,58
127,16,0.1543,4.9219,-0.56445,-0.33461,58
127,16,0.15625,4.9512,-0.63086,-0.33461,27
128,36,0.15039,4.8398,-0.066406,0,16
128,36,0.30469,4.8711,-0.089844,0,26
128,36,0.46094,4.8926,-0.19922,0,19
128,36,0,4.9941,0.048828,0,10
128,36,0.30273,4.8242,0.30078,0.33461,29
128,36,0.30469,4.8594,0.32422,0.33461,56
128,36,0.30664,4.8984,0.30273,0.33461,52
128,36,0.46484,4.9336,0.054688,0.33461,32
128,36,0.46875,4.9707,-0.085938,0.33461,20
128,36,0,5.6328,-0.2207,0.33461,16
128,36,0,5.6738,-0.099609,0.33461,15
128,36,0.30469,4.8398,0.54297,0.66921,22
128,36,0.1543,4.8809,0.57813,0.66921,21
128,36,0.15039,4.6504,-1.1992,-2.0076,27
128,36,0.15039,4.6973,-1.166,-2.0076,36
128,36,0.30469,4.7266,-1.1777,-2.0076,21
128,36,0.14844,4.6484,-1.0469,-1.673,20
128,36,0.15039,4.709,-0.93945,-1.673,59
128,36,0.15039,4.7617,-0.87305,-1.673,71
128,36,0.15234,4.8125,-0.79297,-1.673,38
128,36,0.14844,4.6797,-0.89453,-1.3384,16
128,36,0.15039,4.7617,-0.62891,-1.3384,44
128,36,0.15039,4.8125,-0.52148,-1.3384,50
128,36,0.15234,4.8535,-0.48633,-1.3384,24
128,36,0.30273,4.8027,-0.54883,-1.0038,16
128,36,0.15234,4.8203,-0.74414,-1.0038,13
128,36,0.15234,4.834,-0.6582,-0.66921,17
128,36,0.31055,4.8633,-0.89844,-0.66921,15
128,36,0.15625,4.8867,-1.0195,-0.66921,14
128,36,0.15234,4.8672,-0.32813,-0.33461,16
128,36,0.30664,4.9082,-0.087891,-0.33461,19
128,36,0.31055,4.9238,-0.47656,-0.33461,34
128,36,0.3125,4.957,-0.52344,-0.33461,33
128,36,0.1582,4.9688,-0.77539,-0.33461,16
128,36,0,5.5371,-1.0547,-0.33461,21
128,36,0,5.5977,-0.9375,-0.33461,18
129,7,0.31055,4.9355,0.32617,0.33461,22
129,7,0.3125,4.9824,0.11914,0.33461,27
129,7,0.47266,5.0098,0.017578,0.33461,18
129,7,0.1543,4.916,-0.60352,-0.66921,14
