Frame #,# Obj,X,Y,Z,Doppler,Intensity
1556,4,0,7.6406,0.13477,0.33461,15
1556,4,0.24023,7.6738,0.2168,0.33461,14
1556,4,0,7.6348,-0.33203,-0.33461,15
1556,4,0,7.6289,-0.88281,-0.33461,13
1559,4,0,7.6309,0.41016,0.33461,17
1559,4,0.24023,7.668,0.34375,0.33461,17
1559,4,0.23828,7.6016,-0.75,-0.33461,18
1559,4,0.24023,7.6348,-0.80664,-0.33461,16
1582,1,0,7.5879,0.9082,0.33461,11
1584,2,0,7.6055,-0.75586,-0.33461,14
1584,2,0.24023,7.6484,-0.6543,-0.33461,13
1626,4,0.23828,7.6328,0.29492,0.33461,15
1626,4,0,7.6777,0.21289,0.33461,13
1626,4,0.23828,7.6289,-0.37891,-0.33461,15
1626,4,0,7.6641,-0.49219,-0.33461,13
1631,4,0,7.623,0.55078,0.33461,13
1631,4,0,7.6719,0.34766,0.33461,12
1631,4,0.23828,7.6133,-0.62891,-0.33461,14
1631,4,0.24023,7.6406,-0.74023,-0.33461,13
156,35,0.20898,2.1953,-0.34961,0,9
156,35,0.21289,2.2402,-0.29688,0,17
156,35,0.14453,2.2891,-0.25586,0,14
156,35,0.066406,2.1133,-0.12695,0.33461,21
156,35,0.13477,2.1484,-0.13477,0.33461,25
156,35,0.13672,2.1895,-0.078125,0.33461,16
156,35,0.2793,2.2129,-0.10938,0.33461,49
156,35,0.21289,2.2598,-0.070313,0.33461,93
156,35,0.14453,2.3027,-0.042969,0.33461,79
156,35,0.14648,2.3398,-0.085938,0.33461,35
156,35,-0.57031,2.3691,0.93359,0.33461,29
156,35,-0.49609,2.498,0.72461,0.33461,58
156,35,-0.50391,2.5664,0.61719,0.33461,52
156,35,-0.51172,2.6211,0.53516,0.33461,20
156,35,0.2793,2.2129,0.087891,0.66921,17
156,35,0.14258,2.2598,0.16406,0.66921,31
156,35,0.14453,2.3008,0.12109,0.66921,27
156,35,-0.58008,2.4277,0.88672,0.66921,19
156,35,-0.58789,2.5195,0.7207,0.66921,16
156,35,0.2832,2.2148,-0.4043,-0.66921,21
156,35,0.14453,2.2539,-0.47266,-0.66921,17
156,35,-0.41406,2.6113,0.1582,-0.66921,25
156,35,-0.50391,2.6367,0.083984,-0.66921,21
156,35,0.13281,2.082,-0.37109,-0.33461,16
156,35,0.068359,2.1309,-0.32617,-0.33461,19
156,35,0.13672,2.1621,-0.3457,-0.33461,12
156,35,0.34961,2.1855,-0.29688,-0.33461,34
156,35,0.2832,2.2324,-0.29688,-0.33461,65
156,35,0.28906,2.2676,-0.3125,-0.33461,54
156,35,0.14648,2.3145,-0.35547,-0.33461,24
156,35,-0.49023,2.5176,0.48438,-0.33461,35
156,35,-0.49609,2.5781,0.34961,-0.33461,71
156,35,-0.41992,2.6387,0.28125,-0.33461,63
156,35,-0.51172,2.6582,0.29883,-0.33461,24
156,35,-0.87891,0,2.1816,-0.33461,13
157,37,0.35547,2.2305,0.23242,0,9
157,37,0.066406,2.1113,0.1582,0.33461,18
157,37,0.068359,2.1484,0.16211,0.33461,31
157,37,0.068359,2.1934,0.0625,0.33461,32
157,37,0.34961,2.1953,-0.19336,0.33461,41
157,37,0.35547,2.2227,0.28906,0.33461,60
157,37,0.28906,2.2773,0.24609,0.33461,47
157,37,-0.57031,2.4727,0.61133,0.33461,25
157,37,-0.49609,2.5371,0.57422,0.33461,52
157,37,-0.50391,2.5762,0.57031,0.33461,43
157,37,0.068359,2.1348,0.29883,0.66921,11
157,37,0.068359,2.1836,0.20703,0.66921,11
157,37,0.35547,2.207,0.39648,0.66921,20
157,37,0.28906,2.2637,0.34961,0.66921,16
157,37,-0.58008,2.4688,0.76367,0.66921,17
157,37,0.42578,2.2246,-0.1582,-0.66921,14
157,37,-0.41406,2.6152,0.066406,-0.66921,21
157,37,-0.50391,2.6387,-0.037109,-0.66921,17
157,37,0.066406,2.1094,-0.19336,-0.33461,13
157,37,0.068359,2.1523,-0.10156,-0.33461,22
157,37,0.068359,2.1836,-0.2168,-0.33461,23
157,37,0.41797,2.1523,-0.42383,-0.33461,30
157,37,0.42578,2.2305,0.0097656,-0.33461,44
157,37,0.36133,2.2793,-0.021484,-0.33461,35
157,37,-0.49023,2.5488,0.2832,-0.33461,30
157,37,-0.41406,2.6035,0.24414,-0.33461,63
157,37,-0.50391,2.6289,0.21875,-0.33461,50
157,37,-0.51172,2.6563,0.31836,-0.33461,17
157,37,-0.49609,1.8457,-1.2266,0,6
157,37,-0.41797,1.8184,1.2266,0.33461,24
157,37,-0.42578,1.7891,-1.3301,0.33461,39
157,37,-0.50391,1.7441,-1.4238,0.33461,26
157,37,-0.42578,1.875,-1.2051,0.66921,13
157,37,-0.42578,1.2344,-1.8555,-0.66921,10
157,37,-0.41797,1.9512,0.99805,-0.33461,19
157,37,-0.35547,1.5117,-1.6563,-0.33461,31
157,37,-0.43359,1.4199,-1.7656,-0.33461,20
158,28,0.13477,2.1465,0.14648,0,10
158,28,0.068359,2.1914,0.085938,0,11
158,28,0,2.1133,0.1582,0.33461,23
158,28,0.068359,2.1465,0.19141,0.33461,56
158,28,0.068359,2.1836,0.20313,0.33461,64
158,28,0.070313,2.2285,0.125,0.33461,43
158,28,0.21289,2.25,0.21875,0.33461,39
158,28,0.2168,2.2813,0.27148,0.33461,39
158,28,-0.57031,2.4727,0.61523,0.33461,23
158,28,-0.49609,2.5313,0.60156,0.33461,42
158,28,-0.50391,2.5664,0.61133,0.33461,31
158,28,0,2.1309,0.33398,0.66921,19
158,28,0.068359,2.1641,0.35352,0.66921,22
158,28,0.070313,2.2109,0.29688,0.66921,15
158,28,0.21289,2.2305,0.37109,0.66921,13
158,28,-0.58008,2.4512,0.82031,0.66921,13
158,28,0.13477,2.1309,-0.30859,-0.66921,12
158,28,0.068359,2.1738,-0.29102,-0.66921,13
158,28,-0.49609,2.5996,0.09375,-0.66921,15
158,28,0.066406,2.1133,-0.14453,-0.33461,17
158,28,0.068359,2.1523,-0.10156,-0.33461,38
158,28,0.068359,2.1914,-0.10938,-0.33461,44
158,28,0.070313,2.2188,-0.22852,-0.33461,31
158,28,0.2832,2.252,-0.068359,-0.33461,32
158,28,0.2168,2.2969,0.0078125,-0.33461,30
158,28,-0.49023,2.5391,0.35352,-0.33461,26
158,28,-0.41406,2.5996,0.29102,-0.33461,47
158,28,-0.50391,2.6309,0.19531,-0.33461,35
159,25,-0.14258,2.252,-0.25,0,9
159,25,0,2.291,-0.27344,0,11
159,25,0.066406,2.0684,0.45898,0.33461,15
159,25,0.068359,2.1348,0.29688,0.33461,46
159,25,0.068359,2.1777,0.26758,0.33461,55
159,25,0.20898,2.1523,0.55273,0.33461,21
159,25,-0.14258,2.25,-0.27344,0.33461,42
159,25,-0.072266,2.2969,-0.22266,0.33461,51
159,25,-0.49023,2.4297,0.82031,0.33461,19
159,25,-0.58008,2.502,0.64258,0.33461,29
159,25,-0.50391,2.5762,0.57031,0.33461,21
159,25,0,2.1055,0.46484,0.66921,15
