Frame #,# Obj,X,Y,Z,Doppler,Intensity
125,12,0.21094,3.3594,0.050781,0,14
125,12,0.21289,3.3945,0.16016,0,22
125,12,0.21484,3.4258,0.27539,0,16
125,12,0.21094,3.3438,0.33203,0.33461,31
125,12,0.21289,3.3809,0.33789,0.33461,53
125,12,0.21484,3.4258,0.27539,0.33461,40
125,12,-0.2207,3.5039,0.22266,0.33461,13
125,12,0.10547,3.3223,0.54297,0.66921,13
125,12,0.21289,3.3516,0.56055,0.66921,22
125,12,0.21484,3.4004,0.49414,0.66921,16
125,12,0.21289,3.3984,-0.076172,-0.33461,15
125,12,0.21484,3.4277,-0.23242,-0.33461,15
126,31,0.10547,3.3926,0.25977,0,11
126,31,0.21484,3.4277,0.23047,0,15
126,31,0.32617,3.457,0.23047,0,12
126,31,0.33008,3.5,0.14063,0,10
126,31,-0.35156,3.6836,-0.58594,0,11
126,31,-0.35547,3.7246,-0.56055,0,11
126,31,0.21289,3.3613,0.5,0.33461,26
126,31,0.10742,3.4141,0.43555,0.33461,36
126,31,0.2168,3.4609,0.29688,0.33461,41
126,31,0.10938,3.5117,0.18164,0.33461,45
126,31,0.22266,3.5469,0.1543,0.33461,42
126,31,0.11328,3.5898,0.12891,0.33461,24
126,31,-0.23242,3.6992,-0.10938,0.33461,36
126,31,-0.23438,3.7324,-0.2168,0.33461,63
126,31,-0.23633,3.7695,-0.2168,0.33461,61
126,31,-0.11914,3.8184,-0.12109,0.33461,33
126,31,0.21484,3.3594,0.71875,0.66921,15
126,31,0.2168,3.4375,0.5,0.66921,16
126,31,0.2207,3.4941,0.35547,0.66921,16
126,31,0.11133,3.5371,0.36133,0.66921,14
126,31,-0.23438,3.7383,-0.025391,0.66921,22
126,31,-0.23633,3.7754,-0.029297,0.66921,21
126,31,0,3.6406,-0.88281,-0.66921,14
126,31,0,3.4395,-0.15625,-0.33461,14
126,31,0.10938,3.4727,-0.19336,-0.33461,23
126,31,0.10938,3.4941,-0.4043,-0.33461,30
126,31,0.11133,3.5195,-0.5,-0.33461,30
126,31,0.22461,3.5527,-0.50195,-0.33461,17
126,31,-0.11523,3.6836,-0.41406,-0.33461,27
126,31,0,3.7168,-0.4707,-0.33461,45
126,31,-0.11914,3.7344,-0.58984,-0.33461,42
127,27,0.21289,3.3711,0.42578,0,9
127,27,0.21484,3.3867,0.57813,0,9
127,27,0,3.4805,-0.085938,0,9
