Frame #,# Obj,X,Y,Z,Doppler,Intensity
1063,1,0,4.873,-0.66211,-0.33461,9
1071,1,0.30664,4.9023,-0.24219,-0.33461,11
1080,4,0.15234,4.8672,0.32617,0.33461,12
1080,4,0.1543,4.916,0.074219,0.33461,12
1080,4,0.15234,4.8398,-0.60938,-0.33461,13
1080,4,0.30664,4.9004,-0.28906,-0.33461,15
1081,4,0.15234,4.8672,0.33203,0.33461,15
1081,4,0,4.8984,0.43945,0.33461,16
1081,4,0,4.8535,-0.51172,-0.33461,14
1081,4,0.1543,4.873,-0.6543,-0.33461,16
1082,3,0,4.8809,-0.074219,0.33461,11
1082,3,0.1543,4.9141,-0.10352,0.33461,12
1082,3,0.1543,4.8926,-0.4707,-0.33461,12
1098,4,0.15234,4.8594,0.4375,0.33461,17
1098,4,0,4.9102,0.28711,0.33461,17
1098,4,0.15234,4.877,-0.082031,-0.33461,19
1098,4,0.30664,4.8984,-0.32422,-0.33461,21
1105,3,0.15234,4.8789,0.0019531,0.33461,14
1105,3,0.1543,4.9141,-0.10938,0.33461,14
1105,3,0.15234,4.877,-0.076172,-0.33461,12
1106,1,0.30664,4.8926,-0.39258,-0.33461,11
1113,4,0.15234,4.8691,0.29297,0.33461,16
1113,4,0,4.9121,0.25195,0.33461,16
1113,4,0.15234,4.8613,-0.41602,-0.33461,16
1113,4,0.30664,4.8906,-0.41211,-0.33461,17
1121,3,0.1543,4.8828,0.56641,0.33461,12
1121,3,0.15234,4.8711,-0.25977,-0.33461,14
1121,3,0,4.875,-0.6582,-0.33461,14
1131,3,0,4.9141,0.22266,0.33461,13
1131,3,0.15234,4.8691,-0.30859,-0.33461,14
1131,3,0.30664,4.8887,-0.4375,-0.33461,15
1132,4,0.15234,4.8691,0.30469,0.33461,22
1132,4,0,4.9141,0.21289,0.33461,23
1132,4,0.15234,4.8691,-0.30859,-0.33461,22
1132,4,0.1543,4.8984,-0.4043,-0.33461,25
1133,5,0,4.875,0.22461,0.33461,20
1133,5,0,4.918,0.089844,0.33461,21
1133,5,0.15234,4.873,-0.22461,-0.33461,23
1133,5,0.30664,4.8789,-0.53516,-0.33461,25
1133,5,0.1543,4.9141,-0.62305,-0.33461,12
1134,2,0,4.8594,0.45313,0.33461,11
1134,2,0,4.8984,0.43945,0.33461,12
1137,1,0.1543,4.9102,0.25781,0.33461,12
1139,4,0.15234,4.8711,0.24609,0.33461,14
1139,4,0.1543,4.9102,0.22656,0.33461,15
1139,4,0.15234,4.8496,-0.52539,-0.33461,15
1139,4,0.30664,4.8926,-0.41016,-0.33461,16
1140,3,0.1543,4.916,0.078125,0.33461,14
1140,3,0.15234,4.8691,-0.30469,-0.33461,13
1140,3,0.1543,4.9023,-0.375,-0.33461,14
1147,4,0,4.875,0.24023,0.33461,15
1147,4,0.1543,4.9082,0.26563,0.33461,16
1147,4,0.15234,4.8672,-0.33594,-0.33461,17
1147,4,0.1543,4.8809,-0.5918,-0.33461,18
1150,18,0.15039,4.8242,0.38867,0.33461,20
1150,18,0.15234,4.8711,0.27734,0.33461,51
1150,18,0.1543,4.9141,0.10938,0.33461,55
1150,18,0.1543,4.9531,0.0078125,0.33461,26
1150,18,0.24805,7.7617,1.4922,0.33461,15
1150,18,0.49609,7.7207,1.8066,0.33461,22
1150,18,0.49805,7.6914,2.082,0.33461,17
1150,18,0.15234,4.8398,0.61133,0.66921,18
1150,18,0,4.9102,0.29688,0.66921,18
1150,18,0.30469,4.8008,-0.82031,-0.66921,16
1150,18,0.30664,4.832,-0.86523,-0.66921,16
1150,18,0.15039,4.834,-0.23828,-0.33461,20
1150,18,0.15234,4.8672,-0.33594,-0.33461,49
1150,18,0.30664,4.8867,-0.45508,-0.33461,52
1150,18,0.1543,4.9395,-0.38086,-0.33461,24
1150,18,0.49414,7.8301,0.98828,-0.33461,14
1150,18,0.74414,7.8613,0.87109,-0.33461,20
1150,18,0.49805,7.8711,1.2285,-0.33461,16
1152,14,0,4.873,0.26367,0.33461,38
1152,14,0.1543,4.9121,0.20703,0.33461,42
1152,14,0.1543,4.9434,0.31641,0.33461,21
1152,14,0.24805,7.7891,1.543,0.33461,16
1152,14,0.15234,4.834,0.64844,0.66921,13
1152,14,0,4.9023,0.39258,0.66921,14
1152,14,0,4.8008,-0.88086,-0.66921,12
1152,14,0.1543,4.8066,-1.0293,-0.66921,13
1152,14,0,4.8398,-0.16602,-0.33461,15
1152,14,0.15234,4.8652,-0.36328,-0.33461,37
1152,14,0.30664,4.8867,-0.46094,-0.33461,40
1152,14,0.1543,4.9453,-0.30078,-0.33461,19
1152,14,0.49609,7.8711,0.95508,-0.33461,16
1152,14,0.25,7.957,0.58398,-0.33461,12
1154,4,0.15234,4.873,0.20508,0.33461,22
1154,4,0,4.916,0.13086,0.33461,22
1154,4,0.15234,4.873,-0.23047,-0.33461,21
1154,4,0.1543,4.9043,-0.32617,-0.33461,22
1156,4,0,4.8809,0.0097656,0.33461,19
1156,4,0,4.918,0.042969,0.33461,20
