Frame #,# Obj,X,Y,Z,Doppler,Intensity
85,12,0,1.8926,-0.015625,0.33461,21
85,12,0,1.9238,-0.14063,0.33461,34
85,12,0,1.9531,-0.23047,0.33461,33
85,12,0,1.9746,-0.34766,0.33461,17
85,12,0,1.9297,0.056641,0.66921,11
85,12,0,1.9648,-0.10352,0.66921,10
85,12,0,1.8535,-0.53711,-0.66921,13
85,12,0,1.8535,-0.6582,-0.66921,11
85,12,0,1.8535,-0.375,-0.33461,23
85,12,0,1.8828,-0.42383,-0.33461,40
85,12,0,1.9023,-0.50391,-0.33461,34
85,12,0.125,1.9727,-0.33398,-0.33461,17
86,16,0.064453,1.9766,-0.51367,0,10
86,16,0.19531,2.0215,-0.45313,0,11
86,16,0,1.7852,-0.50195,0.33461,11
86,16,0,1.8398,-0.44336,0.33461,22
86,16,0,1.8906,-0.38281,0.33461,25
86,16,0.060547,1.9551,-0.21484,0.33461,23
86,16,0.1875,1.9902,-0.1543,0.33461,22
86,16,0.0625,1.877,-0.70117,-0.66921,10
86,16,0,1.6855,-0.77344,-0.33461,12
86,16,0,1.7461,-0.72852,-0.33461,25
86,16,0.060547,1.8223,-0.63281,-0.33461,28
86,16,0.12305,1.9023,-0.48242,-0.33461,27
86,16,0.125,1.9375,-0.5,-0.33461,31
86,16,0.19141,1.9551,-0.5625,-0.33461,28
86,16,0.19531,1.9883,-0.58398,-0.33461,26
86,16,0.19922,1.9824,-0.72266,-0.33461,16
87,24,0,1.832,-0.47266,0,8
87,24,0.18359,1.9414,-0.25977,0,9
87,24,0.1875,1.9473,-0.43945,0,16
87,24,0.064453,1.9473,-0.61523,0,7
87,24,0,1.8281,-0.30469,0.33461,12
87,24,0,1.8516,-0.38281,0.33461,30
87,24,0,1.8887,-0.39453,0.33461,44
87,24,0,1.9043,-0.49023,0.33461,36
87,24,0,1.873,-0.71875,0.33461,26
87,24,0,1.9434,-0.62891,0.33461,19
87,24,0.064453,1.9785,-0.63867,0.33461,12
87,24,0,1.9199,-0.19727,0.66921,15
87,24,0,1.9375,-0.33789,0.66921,13
87,24,0,1.7266,-0.77344,-0.66921,15
87,24,0,1.748,-0.81836,-0.66921,17
87,24,0,1.7637,-0.57031,-0.33461,19
87,24,0,1.7852,-0.625,-0.33461,43
87,24,0,1.8125,-0.66016,-0.33461,51
87,24,-0.12305,1.8008,-0.78516,-0.33461,33
87,24,-0.1875,1.7031,-1.041,-0.33461,30
87,24,-0.12695,1.7793,-0.99609,-0.33461,22
87,24,0.064453,2.0156,-0.51367,-0.33461,13
87,24,0.13281,2.0195,-0.62891,-0.33461,12
87,24,-0.42969,0.99219,-1.6426,0,5
88,12,0,1.8516,-0.087891,0.33461,22
88,12,0,1.8809,-0.19336,0.33461,41
88,12,0,1.3516,-1.377,0.33461,26
88,12,0.12305,1.9551,-0.17383,0.33461,10
88,12,0,1.9746,-0.35352,0.33461,17
88,12,0,1.8887,-0.091797,0.66921,13
88,12,0,1.8242,-0.50195,-0.66921,15
88,12,0,1.8457,-0.17969,-0.33461,26
88,12,0.058594,1.8672,-0.30273,-0.33461,47
88,12,0,1.0098,-1.6445,-0.33461,29
88,12,0.24609,1.9375,-0.23828,-0.33461,12
88,12,0.0625,1.9492,-0.4707,-0.33461,18
89,20,-0.12305,1.8379,-0.69336,0,19
89,20,-0.1875,1.8516,-0.74805,0,31
89,20,-0.19141,1.877,-0.78516,0,25
89,20,0,1.8789,-0.89648,0,12
89,20,0,1.8711,-0.28125,0.33461,26
89,20,-0.12109,1.875,-0.44141,0.33461,24
89,20,-0.30664,1.8047,-0.71875,0.33461,40
89,20,-0.1875,1.9004,-0.61133,0.33461,77
89,20,-0.12695,1.9336,-0.64453,0.33461,63
89,20,-0.19531,1.873,-0.88281,0.33461,24
89,20,-0.30664,1.8711,-0.52539,0.66921,16
89,20,-0.1875,1.9434,-0.45703,0.66921,29
89,20,-0.19141,1.959,-0.54883,0.66921,23
89,20,0,1.8477,-0.4082,-0.33461,25
89,20,0.12109,1.873,-0.44727,-0.33461,23
89,20,0.24609,1.9434,-0.1875,-0.33461,19
89,20,-0.1875,1.7813,-0.90234,-0.33461,27
89,20,-0.12695,1.8867,-0.77344,-0.33461,24
89,20,0,1.8965,-0.85742,-0.33461,10
89,20,-0.36914,1.3086,-1.4219,-0.33461,15
90,31,-0.18164,1.8848,-0.36914,0,15
90,31,-0.18359,1.9219,-0.37891,0,30
90,31,-0.1875,1.9375,-0.47852,0,39
90,31,-0.19141,1.9434,-0.60156,0,39
90,31,-0.19531,1.9492,-0.70313,0,31
90,31,-0.19922,1.9297,-0.84961,0,14
90,31,0,1.8711,-0.2793,0.33461,15
90,31,-0.24023,1.793,-0.67188,0.33461,34
90,31,-0.18359,1.8711,-0.57813,0.33461,74
90,31,-0.125,1.9258,-0.54492,0.33461,84
90,31,-0.19141,1.9512,-0.57227,0.33461,70
90,31,-0.19531,1.9746,-0.625,0.33461,60
90,31,-0.19922,2.0117,-0.63672,0.33461,30
90,31,3.4414,1.1523,-0.54883,0.33461,11
90,31,-0.18359,1.9082,-0.43945,0.66921,26
90,31,-0.1875,1.9395,-0.47266,0.66921,33
90,31,-0.19141,1.9707,-0.50195,0.66921,34
90,31,-0.25977,2.0039,-0.5,0.66921,33
90,31,-0.19922,2.0254,-0.58789,0.66921,19
90,31,-0.24023,1.7402,-0.79688,-0.66921,19
90,31,-0.18359,1.8262,-0.70703,-0.66921,35
90,31,-0.1875,1.8633,-0.7168,-0.66921,32
90,31,-0.19141,1.916,-0.67969,-0.66921,13
90,31,-0.18164,1.7715,-0.74219,-0.33461,52
90,31,-0.18359,1.8691,-0.58789,-0.33461,102
90,31,-0.1875,1.9141,-0.56836,-0.33461,92
90,31,-0.19141,1.9551,-0.55859,-0.33461,37
90,31,3.5176,0.89063,-0.13477,-0.33461,14
90,31,3.5547,0.76953,-0.48438,-0.33461,16
90,31,-2.4082,0,3.3516,0.33461,6
90,31,-1.4746,0,-3.6309,-0.33461,8
91,31,-0.17773,1.8789,-0.11719,0,14
91,31,-0.18164,1.9082,-0.22656,0,36
91,31,-0.24609,1.9375,-0.24023,0,45
91,31,-0.3125,1.9785,0.074219,0,20
91,31,0,1.9961,-0.4375,0,11
91,31,0,1.8223,-0.3457,0.33461,24
91,31,-0.058594,1.8457,-0.4082,0.33461,50
91,31,-0.18164,1.873,-0.42188,0.33461,60
91,31,-0.18359,1.9375,-0.29102,0.33461,47
91,31,0.1875,1.9902,0.16016,0.33461,21
91,31,-0.38281,1.9902,-0.25586,0.33461,17
91,31,-0.32422,2.0508,-0.13086,0.33461,11
91,31,-0.11914,1.8652,-0.29297,0.66921,15
91,31,-0.24023,1.8789,-0.36914,0.66921,18
91,31,-0.30664,1.9297,-0.22656,0.66921,13
91,31,0,1.7793,-0.64258,-0.66921,25
91,31,-0.12109,1.834,-0.58789,-0.66921,45
91,31,-0.18359,1.8848,-0.5332,-0.66921,45
91,31,-0.1875,1.9434,-0.45898,-0.66921,17
91,31,-0.058594,1.748,-0.61328,-0.33461,27
91,31,-0.11914,1.793,-0.5918,-0.33461,72
91,31,-0.12109,1.8633,-0.48438,-0.33461,121
91,31,-0.18359,1.9121,-0.42773,-0.33461,121
91,31,-0.1875,1.9629,-0.36328,-0.33461,45
91,31,-0.19141,1.9414,-0.60547,-0.33461,27
91,31,-0.13086,2.0176,-0.48828,-0.33461,21
91,31,-0.3125,1.8691,-0.65625,0.33461,18
91,31,0.31836,1.6641,-1.1406,0.33461,16
91,31,-1.041,0,1.8672,0.33461,6
91,31,-0.89453,1.0645,1.4961,-0.33461,16
91,31,-0.91016,0.89258,1.6445,-0.33461,11
92,39,-0.17773,1.8516,-0.34375,0,56
92,39,-0.18164,1.8906,-0.3418,0,135
92,39,-0.18359,1.9297,-0.33984,0,133
92,39,-0.1875,1.9688,-0.33398,0,45
92,39,0.19141,1.6191,1.2305,0,12
92,39,-0.13086,2.0566,-0.29492,0,19
92,39,-0.26563,2.043,-0.49219,0,11
92,39,0,1.8535,-0.042969,0.33461,39
92,39,-0.058594,1.8789,0.20703,0.33461,65
92,39,-0.060547,1.873,0.46094,0.33461,53
92,39,-0.18359,1.9434,0.23828,0.33461,34
92,39,0.3125,1.5449,-1.2383,0.33461,29
92,39,0.12695,1.9863,-0.46094,0.33461,27
92,39,0,2.0254,-0.48047,0.33461,29
92,39,0.066406,2.0391,-0.57422,0.33461,23
92,39,0.20313,2.0586,-0.61133,0.33461,16
92,39,0,1.8672,0.30664,0.66921,21
92,39,0,1.877,0.44922,0.66921,19
92,39,-0.24609,1.9355,0.24805,0.66921,14
92,39,0,1.8223,-0.33789,-0.66921,17
92,39,-0.058594,1.8477,-0.4043,-0.66921,58
92,39,-0.12109,1.8633,-0.48828,-0.66921,125
92,39,-0.12305,1.8965,-0.51172,-0.66921,119
92,39,-0.125,1.918,-0.56836,-0.66921,36
92,39,0,1.998,-0.57813,-0.66921,22
92,39,0,1.8301,-0.28906,-0.33461,51
92,39,-0.058594,1.877,-0.23242,-0.33461,138
92,39,-0.12109,1.8965,-0.33203,-0.33461,276
92,39,-0.12305,1.9277,-0.37109,-0.33461,266
92,39,-0.1875,1.9512,-0.42578,-0.33461,87
92,39,0,2.043,-0.027344,-0.33461,33
92,39,-0.064453,2.0254,-0.47266,-0.33461,55
92,39,0,2.0117,-0.66602,-0.33461,31
92,39,-0.76563,1.0801,-1.5566,0,9
92,39,-0.91016,0.95703,1.6074,0,10
92,39,-1.0586,0.82031,1.6406,0,6
92,39,0.49219,1.3945,-1.2969,0.33461,19
92,39,-0.375,1.9688,0.046875,0.33461,20
92,39,-0.76563,0,2.0117,-0.33461,21
93,64,-0.11328,1.6543,-0.74023,0,10
93,64,-0.11523,1.6895,-0.75391,0,57
93,64,-0.058594,1.4102,-1.2598,0,76
93,64,-0.060547,1.6582,0.98633,0,129
93,64,-0.060547,1.9648,-0.078125,0,182
93,64,-0.1875,1.9668,-0.33789,0,91
93,64,0.25586,2.002,-0.32031,0,34
93,64,0.25977,2.0273,-0.38867,0,26
93,64,3.3691,1.0195,-0.72656,0,14
93,64,3.4043,0.91602,-0.87109,0,13
93,64,-1.2715,7.8945,-1.4941,0,22
93,64,-0.11523,1.8496,0.027344,0.33461,51
93,64,-0.058594,1.8906,-0.039063,0.33461,141
93,64,-0.060547,1.9277,-0.080078,0.33461,179
93,64,0,1.957,-0.19531,0.33461,128
93,64,0.125,2,-0.087891,0.33461,50
93,64,0.19141,2.0313,-0.099609,0.33461,80
93,64,0.19531,2.0566,-0.25781,0.33461,59
93,64,0.19922,2.0508,-0.49414,0.33461,19
93,64,3.334,0.73047,-1,0.33461,12
93,64,3.3691,0.88086,-0.88672,0.33461,17
93,64,0,3.6309,-0.095703,0.33461,13
93,64,7.2773,4.3398,-1.6113,0.33461,13
93,64,7.5801,3.8301,-1.7109,0.33461,12
93,64,-0.11523,1.8457,0.13281,0.66921,15
93,64,-0.058594,1.8867,0.11719,0.66921,43
93,64,0,1.9297,0.017578,0.66921,57
93,64,0,1.9668,-0.054688,0.66921,42
93,64,0.0625,2.0039,0.064453,0.66921,18
93,64,0.12695,2.0391,-0.0078125,0.66921,32
93,64,0.19531,2.0684,-0.11914,0.66921,25
93,64,-0.12109,1.9082,0.26563,1.0038,14
93,64,-0.12305,1.752,-0.88672,-1.3384,12
93,64,-0.125,1.7949,-0.88477,-1.3384,14
93,64,-0.17383,1.6484,-0.83008,-1.0038,21
93,64,-0.11914,1.7051,-0.81055,-1.0038,59
93,64,-0.12109,1.75,-0.80273,-1.0038,73
93,64,-0.12305,1.7793,-0.83008,-1.0038,40
93,64,-0.19141,1.9395,-0.61328,-1.0038,31
93,64,-0.19531,1.9688,-0.64648,-1.0038,24
93,64,-0.16992,1.5762,-0.88477,-0.66921,11
93,64,-0.11523,1.6074,-0.91602,-0.66921,84
93,64,-0.17773,1.543,-1.0801,-0.66921,152
93,64,-0.060547,0.41992,-1.8828,-0.66921,124
93,64,-0.060547,1.9492,-0.25586,-0.66921,174
93,64,-0.0625,1.9316,-0.5332,-0.66921,114
93,64,-0.12695,1.9297,-0.65625,-0.66921,55
93,64,-0.19531,1.9805,-0.60742,-0.66921,36
93,64,-1.0176,7.7754,-2.1641,-0.66921,24
93,64,-0.11328,1.5234,-0.98242,-0.33461,14
93,64,-0.17383,1.6055,-0.91016,-0.33461,84
93,64,-0.23633,1.3633,-1.2891,-0.33461,71
93,64,-0.060547,1.8125,0.6582,-0.33461,219
93,64,-0.12305,1.9629,-0.048828,-0.33461,348
93,64,-0.125,1.9668,-0.36914,-0.33461,200
93,64,0,1.9746,-0.52344,-0.33461,61
93,64,3.4824,0.73438,-0.50586,-0.33461,22
93,64,-3.6328,0,-0.49609,-0.33461,30
93,64,3.5547,0.61133,-0.67383,-0.33461,21
93,64,0,3.7441,-0.54688,-0.33461,16
93,64,0,3.7793,-0.55859,-0.33461,17
93,64,-1.0176,7.9023,-1.6387,-0.33461,38
93,64,-0.82813,1.5664,0.66602,0,39
93,64,-2.3594,0,2.8008,0,8
94,63,-0.16992,1.7969,-0.20508,0,35
94,63,-0.17383,1.8398,-0.14063,0,77
94,63,-0.23633,1.875,0.099609,0,56
94,63,0.18164,1.5996,-1.0625,0,13
94,63,-0.12305,1.6582,-1.0527,0,18
94,63,0.25,1.9863,-0.10742,0,39
94,63,0.19141,2.0156,-0.27344,0,67
94,63,0.19531,2.043,-0.34766,0,50
94,63,0.19922,2.0742,-0.38086,0,20
94,63,0.068359,2.1172,-0.4043,0,9
94,63,3.3691,1.0156,-0.73047,0,13
94,63,3.5176,0.40039,-0.80664,0,16
94,63,-3.6699,0,-0.94141,0,15
94,63,0,1.7617,-0.44141,0.33461,14
94,63,0.058594,1.7949,-0.45703,0.33461,65
94,63,0.058594,1.8027,-0.56836,0.33461,99
94,63,0,1.5742,-1.1172,0.33461,60
94,63,-0.12305,1.6113,-1.123,0.33461,65
94,63,0.25,1.9824,0.15625,0.33461,78
94,63,0.19141,2.0313,-0.10156,0.33461,139
94,63,0.19531,2.0605,-0.21094,0.33461,96
94,63,0.19922,2.0957,-0.23047,0.33461,35
94,63,-3.6328,0,-0.77344,0.33461,25
94,63,-3.6699,0,-0.77734,0.33461,27
94,63,0,1.834,-0.26563,0.66921,31
94,63,0,1.8516,-0.38281,0.66921,49
94,63,0,1.7754,-0.75781,0.66921,30
94,63,-0.18359,1.6992,-0.97461,0.66921,22
94,63,0.25,1.9727,0.25781,0.66921,33
94,63,0.19141,2.0332,0.041016,0.66921,58
94,63,0.13086,2.0762,-0.078125,0.66921,39
94,63,0.13281,2.1133,-0.091797,0.66921,15
94,63,3.5176,0.83398,-0.3418,0.66921,14
94,63,3.5547,0.83398,-0.36328,0.66921,14
94,63,-0.11133,1.6133,-0.74023,-1.3384,28
94,63,-0.056641,1.6602,-0.73438,-1.3384,77
94,63,-0.058594,1.6895,-0.75977,-1.3384,90
94,63,-0.11914,1.7285,-0.75781,-1.3384,51
94,63,-0.060547,1.7578,-0.79492,-1.3384,27
94,63,-0.11133,1.666,-0.61328,-1.0038,50
94,63,-0.11328,1.7031,-0.62109,-1.0038,129
94,63,-0.11523,1.7344,-0.64453,-1.0038,127
94,63,-0.11914,1.7422,-0.72461,-1.0038,48
94,63,0,1.7344,-0.8457,-1.0038,25
94,63,-0.11133,1.6816,-0.57031,-0.66921,24
94,63,-0.11328,1.6953,-0.64258,-0.66921,49
94,63,-0.058594,1.7695,-0.55078,-0.66921,80
94,63,-0.058594,1.8105,-0.54688,-0.66921,115
94,63,-0.060547,1.7754,-0.75391,-0.66921,66
94,63,0,1.7383,-0.92383,-0.66921,28
94,63,0,1.8242,-0.83008,-0.66921,20
94,63,-0.11328,1.7773,-0.35547,-0.33461,74
94,63,-0.11523,1.8047,-0.4043,-0.33461,199
94,63,-0.058594,1.8164,-0.52539,-0.33461,201
94,63,-0.060547,1.5859,-1.0996,-0.33461,82
94,63,-0.060547,1.2578,-1.5117,-0.33461,36
94,63,0,1.8574,-0.75586,-0.33461,37
94,63,0.25586,2.0195,-0.16406,-0.33461,23
94,63,3.3691,1.0215,-0.72266,-0.33461,19
94,63,-0.54297,1.6172,0.90039,0,13
94,63,0.86133,0.57422,1.6738,0,10
94,63,-0.375,1.3867,-1.4004,0.33461,41
94,63,-0.38281,1.0918,-1.6836,-0.33461,16
95,59,0.11523,1.5293,-1.043,0,11
95,59,0.23633,1.4434,-1.1992,0,17
95,59,-0.30078,1.8438,0.48242,0,18
95,59,-0.12305,1.9629,0.025391,0,27
95,59,0,1.9941,-0.21875,0,29
95,59,0.12695,1.9648,-0.54297,0,20
95,59,-0.16992,2.4941,1.082,0,13
95,59,-0.085938,2.584,0.9707,0,16
95,59,3.5176,0,-1.1055,0,19
95,59,-3.6699,0,-1.084,0,16
95,59,0.056641,1.7305,-0.54883,0.33461,12
95,59,0.058594,1.7129,-0.70508,0.33461,29
95,59,0.17773,1.7305,-0.74414,0.33461,40
95,59,0,1.9043,-0.31445,0.33461,45
95,59,-0.060547,1.959,-0.17383,0.33461,65
95,59,0.0625,1.9863,-0.27148,0.33461,61
95,59,0.12695,2.0137,-0.32617,0.33461,53
95,59,0.064453,2.0488,-0.35352,0.33461,24
95,59,3.5547,0.85156,-0.31836,0.33461,27
95,59,-3.707,0,-0.35547,0.33461,18
95,59,0,1.7461,-0.625,0.66921,18
95,59,0.11914,1.7773,-0.63477,0.66921,28
95,59,0.060547,1.8379,-0.58398,0.66921,23
95,59,-0.060547,1.959,-0.16406,0.66921,21
95,59,0,2,-0.15625,0.66921,18
95,59,0.064453,2.0332,-0.1875,0.66921,15
95,59,0.054688,1.6035,-0.67188,-1.673,17
95,59,0.054688,1.6445,-0.67383,-1.673,28
95,59,0.056641,1.6602,-0.73438,-1.673,24
95,59,0.10352,1.6055,-0.42578,-1.3384,19
95,59,0.16016,1.6016,-0.55273,-1.3384,51
95,59,0.16406,1.6191,-0.61914,-1.3384,71
95,59,0.11133,1.666,-0.60938,-1.3384,71
95,59,0.056641,1.6953,-0.64648,-1.3384,47
95,59,0.11523,1.6895,-0.75586,-1.3384,17
95,59,0,2.4844,-1.1191,-1.3384,16
95,59,0,2.2695,-1.5723,-1.3384,14
95,59,0.10352,1.623,-0.35742,-1.0038,28
95,59,0.10547,1.6387,-0.44922,-1.0038,72
95,59,0.10938,1.6621,-0.50195,-1.0038,90
95,59,0.11133,1.6992,-0.51563,-1.0038,67
95,59,0.11328,1.7266,-0.55078,-1.0038,32
95,59,0.10547,1.6641,-0.3418,-0.66921,33
95,59,0.10938,1.6914,-0.39648,-0.66921,41
95,59,0.11133,1.7227,-0.42383,-0.66921,27
95,59,0,2.6602,0.58984,-0.66921,23
95,59,-0.085938,2.6738,0.68555,-0.66921,27
95,59,0,1.7793,-0.64063,-0.33461,24
95,59,0,1.8223,-0.63281,-0.33461,45
95,59,0,1.9082,-0.48047,-0.33461,43
95,59,0,1.9824,-0.29883,-0.33461,32
95,59,0.19141,2.0078,-0.32227,-0.33461,21
95,59,-0.085938,2.6035,0.79492,-0.33461,28
95,59,-0.085938,2.6367,0.82031,-0.33461,32
95,59,-0.40625,1.5,1.0098,0,8
95,59,-0.41406,1.6836,0.75781,0,15
95,59,0.30078,1.2656,-1.4238,0,10
95,59,-0.11328,3.5801,-0.59961,0,10
95,59,-1.209,1.7051,1.8066,-1.3384,8
96,64,0.099609,1.5859,0,0,22
96,64,0,1.627,0.015625,0,35
96,64,0,1.6504,-0.22266,0,45
96,64,0.10547,1.668,-0.32227,0,33
96,64,-0.11328,1.8125,-0.042969,0,32
96,64,-0.058594,1.8477,-0.15039,0,91
96,64,-0.058594,1.875,-0.24414,0,139
96,64,0,1.9004,-0.33008,0,123
96,64,0,1.9316,-0.36914,0,63
96,64,0,1.9805,-0.31836,0,25
96,64,0.19141,1.9863,-0.43945,0,26
96,64,0.13086,2.0273,-0.44922,0,17
96,64,0.10156,1.623,-0.019531,0.33461,10
96,64,0,1.7656,-0.5625,0.33461,46
96,64,0.058594,1.873,-0.26172,0.33461,123
96,64,0,1.9219,-0.17578,0.33461,178
96,64,0,1.959,-0.17383,0.33461,133
96,64,0,1.9961,-0.18555,0.33461,88
96,64,0.064453,2.0273,-0.24219,0.33461,81
96,64,0.13086,2.0566,-0.29297,0.33461,44
96,64,0.058594,1.8867,-0.125,0.66921,51
96,64,0,1.9297,-0.046875,0.66921,74
96,64,-0.060547,1.9668,-0.015625,0.66921,55
96,64,0,2.0039,-0.089844,0.66921,41
96,64,0.064453,2.0254,-0.25391,0.66921,43
96,64,0.13086,2.0313,-0.42773,0.66921,25
96,64,0.060547,1.9609,-0.13477,1.0038,11
96,64,0.082031,2.5977,-0.24414,-1.3384,21
96,64,0,2.6172,-0.40234,-1.3384,18
96,64,0.14844,1.5449,-0.33984,-1.0038,24
96,64,0.15234,1.5664,-0.41406,-1.0038,48
96,64,0.15625,1.5977,-0.43945,-1.0038,53
96,64,0.10547,1.6426,-0.43164,-1.0038,43
96,64,0.054688,1.6914,-0.4043,-1.0038,21
96,64,0,2.6094,0.046875,-1.0038,16
96,64,0,2.6484,0,-1.0038,16
96,64,0.14453,1.5371,-0.14844,-0.66921,14
96,64,0.14844,1.5566,-0.2832,-0.66921,69
96,64,0.15234,1.5918,-0.29492,-0.66921,106
96,64,0.15625,1.6309,-0.29102,-0.66921,58
96,64,0.26563,1.6328,-0.40234,-0.66921,42
96,64,0.10938,1.7207,-0.24219,-0.66921,26
96,64,0,1.7832,-0.34375,-0.66921,33
96,64,-0.058594,1.7949,-0.46289,-0.66921,92
96,64,0,1.8145,-0.53516,-0.66921,126
96,64,0,1.8184,-0.64648,-0.66921,82
96,64,0.060547,1.0664,-1.6523,-0.66921,16
96,64,-0.0625,1.9863,-0.27148,-0.66921,31
96,64,0,2.0234,-0.2793,-0.66921,16
96,64,0.14453,1.541,-0.10938,-0.33461,14
96,64,0.099609,1.5781,-0.14844,-0.33461,60
96,64,0.050781,1.625,-0.068359,-0.33461,78
96,64,0,1.6602,-0.12109,-0.33461,56
96,64,0.31836,1.6465,-0.29688,-0.33461,50
96,64,0.32617,1.6543,-0.42969,-0.33461,20
96,64,-0.056641,1.7949,-0.27539,-0.33461,67
96,64,-0.058594,1.8164,-0.36523,-0.33461,185
96,64,-0.058594,1.8438,-0.42188,-0.33461,274
96,64,0,1.8613,-0.50586,-0.33461,206
96,64,0,1.7012,-0.98828,-0.33461,49
96,64,0,2,-0.14063,-0.33461,60
96,64,0,2.0332,-0.19141,-0.33461,40
96,64,0.19531,2.0332,-0.40234,-0.33461,17
96,64,0.51953,1.3867,-0.75977,-0.33461,39
97,64,0.14453,1.543,-0.068359,0,17
97,64,0.19922,1.5723,-0.11133,0,58
97,64,0.20313,1.6074,-0.13672,0,55
97,64,0.25977,1.6426,-0.052734,0,15
97,64,0.26563,1.6797,-0.095703,0,30
97,64,0.27148,1.7168,-0.09375,0,14
97,64,-0.058594,1.8066,-0.41016,0,75
97,64,0,1.8418,-0.42969,0,116
97,64,0,1.8984,-0.3457,0,120
97,64,0,1.959,-0.18945,0,92
97,64,-0.1875,1.9961,0.0078125,0,35
97,64,0.19141,1.9688,-0.51172,0,31
97,64,0.13086,2.002,-0.55078,0,25
97,64,0.40234,6.3809,0.69531,0,28
97,64,0.20313,6.4434,0.54883,0,29
97,64,0.40625,6.4629,0.63477,0,16
97,64,0.19336,1.5391,0,0.33461,32
97,64,0.19922,1.5762,-0.0078125,0.33461,103
97,64,0.20313,1.6133,-0.025391,0.33461,78
97,64,0.20898,1.6504,0.048828,0.33461,47
97,64,0.26563,1.6816,-0.013672,0.33461,72
97,64,0.27148,1.7188,-0.0078125,0.33461,29
97,64,-0.058594,1.8359,-0.24609,0.33461,61
97,64,-0.058594,1.8848,-0.15039,0.33461,112
97,64,-0.12109,1.918,-0.16797,0.33461,85
97,64,0,1.9668,-0.078125,0.33461,108
97,64,0.0625,1.998,-0.15234,0.33461,124
97,64,0.064453,2.0352,-0.16406,0.33461,75
97,64,0.064453,2.0703,-0.18945,0.33461,26
97,64,0.14453,1.5371,0.15625,0.66921,17
97,64,0.14844,1.5781,0.10938,0.66921,46
97,64,0.15625,1.6563,0.066406,0.66921,70
97,64,0.21289,1.6875,0.052734,0.66921,65
97,64,0.2168,1.7246,0.091797,0.66921,20
97,64,0,1.7383,-0.64453,0.66921,74
97,64,-0.058594,1.7695,-0.66406,0.66921,85
97,64,0,1.9082,-0.29102,0.66921,82
97,64,0,1.9648,-0.10938,0.66921,110
97,64,0.0625,2,-0.11719,0.66921,77
97,64,0.10156,1.6211,0.09375,1.0038,20
97,64,0.15625,1.6523,0.12891,1.0038,31
97,64,0.16016,1.6934,0.082031,1.0038,20
97,64,-0.11328,1.7773,-0.35547,1.0038,17
97,64,-0.11523,1.8027,-0.41602,1.0038,54
97,64,-0.058594,1.8535,-0.375,1.0038,72
97,64,-0.060547,1.918,-0.20703,1.0038,62
97,64,0,1.9668,-0.035156,1.0038,49
97,64,0,1.7832,-0.50391,-1.0038,25
97,64,0,1.7832,-0.63086,-1.0038,30
97,64,0,1.7773,-0.75,-1.0038,15
97,64,0,1.7285,-0.55859,-0.66921,24
97,64,0,1.748,-0.61914,-0.66921,66
97,64,0,1.7695,-0.66992,-0.66921,108
97,64,0,1.8105,-0.66602,-0.66921,110
97,64,0,1.8633,-0.63281,-0.66921,56
97,64,0.25,1.8691,-0.67969,-0.66921,29
97,64,0.19141,1.916,-0.68555,-0.66921,42
97,64,0.13086,1.9238,-0.78125,-0.66921,25
97,64,0.40234,6.4141,-0.27539,-0.66921,24
97,64,0.4043,6.4551,-0.1875,-0.66921,25
97,64,-0.056641,1.7461,-0.49414,-0.33461,60
