Frame #,# Obj,X,Y,Z,Doppler,Intensity
408,8,0,3.0293,-0.66602,0.33461,13
408,8,0,3.0918,-0.55078,0.33461,20
408,8,0,3.1563,-0.37109,0.33461,21
408,8,0,3.207,-0.24414,0.33461,19
408,8,0,2.9922,-0.82227,-0.33461,15
408,8,0,3.041,-0.78516,-0.33461,21
408,8,-0.099609,3.1289,-0.54883,-0.33461,25
408,8,0,3.1523,-0.64063,-0.33461,22
409,6,-0.097656,3.0957,-0.19336,0.33461,15
409,6,0,3.1387,-0.125,0.33461,16
409,6,-0.19922,3.1719,-0.072266,0.33461,13
409,6,0,3.0781,-0.38086,-0.33461,15
409,6,0,3.127,-0.28516,-0.33461,18
409,6,-0.099609,3.1719,-0.17773,-0.33461,15
410,2,-0.19531,3.0977,-0.48047,-0.33461,13
410,2,-0.29883,3.1328,-0.4375,-0.33461,13
411,6,0,3.1172,-0.37109,0.33461,17
411,6,0,3.1523,-0.4082,0.33461,29
411,6,0,3.1777,-0.49609,0.33461,22
411,6,0,3.0625,-0.69531,-0.33461,21
411,6,0,3.0879,-0.75195,-0.33461,32
411,6,0,3.0977,-0.86328,-0.33461,24
412,7,-0.19531,3.1309,-0.12695,0.33461,25
412,7,-0.19922,3.168,-0.16211,0.33461,35
412,7,-0.20117,3.1953,-0.29688,0.33461,25
412,7,-0.099609,3.0938,-0.7168,-0.66921,15
412,7,-0.19531,3.0527,-0.70703,-0.33461,30
412,7,-0.099609,3.1113,-0.64063,-0.33461,44
412,7,-0.20117,3.125,-0.73633,-0.33461,31
413,13,-0.097656,3.0469,-0.57813,0,11
413,13,-0.29492,3.0117,-0.8418,0,13
413,13,0,3.043,-0.91602,0,15
413,13,-0.099609,3.0527,-1.0059,0,11
413,13,-0.099609,3.1426,-0.46875,0.33461,20
413,13,-0.099609,3.166,-0.55273,0.33461,20
413,13,-0.19141,2.8594,-1.084,-0.66921,23
413,13,-0.19336,2.9355,-0.98633,-0.66921,27
413,13,-0.19531,2.9609,-1.0254,-0.66921,18
413,13,-0.19141,2.9648,-0.75391,-0.33461,20
413,13,-0.19336,3.0156,-0.70313,-0.33461,31
413,13,-0.19531,3.0547,-0.70508,-0.33461,32
413,13,0,3.123,-0.58789,-0.33461,18
414,16,-0.19531,3.0352,-0.7832,0,12
414,16,-0.19922,3.0977,-0.67969,0,15
414,16,0,3.1133,-0.80469,0,9
414,16,0,3.1777,-0.0058594,0.33461,17
414,16,-0.20117,3.1758,-0.4668,0.33461,16
414,16,0,3.2109,-0.52734,0.33461,13
414,16,-0.18945,2.8535,-0.99414,-1.0038,12
414,16,-0.095703,2.9258,-0.9043,-1.0038,11
414,16,-0.2832,2.8867,-0.86523,-0.66921,15
414,16,-0.28711,2.9336,-0.83594,-0.66921,19
414,16,-0.19336,3.0078,-0.73047,-0.66921,14
414,16,-0.28711,2.9902,-0.60156,-0.33461,14
414,16,-0.29102,3.0234,-0.62891,-0.33461,16
414,16,-0.19531,3.0625,-0.66797,-0.33461,30
414,16,-0.099609,3.0859,-0.75391,-0.33461,40
414,16,-0.20117,3.0898,-0.86719,-0.33461,30
415,18,-0.19336,3.0605,-0.46875,0,17
415,18,-0.19531,3.0938,-0.50195,0,36
415,18,-0.099609,3.127,-0.55469,0,34
415,18,-0.099609,3.1426,-0.67969,0,15
415,18,0,3.043,-0.59961,0.33461,15
415,18,0,2.9922,-0.94922,0.33461,11
415,18,-0.26953,2.7344,-0.8457,-1.0038,13
415,18,-0.091797,2.7402,-0.98633,-1.0038,11
415,18,-0.17969,2.7988,-0.63867,-0.66921,18
415,18,-0.18164,2.8379,-0.63281,-0.66921,20
415,18,-0.27734,2.8281,-0.79883,-0.66921,12
415,18,-0.19531,3.0586,-0.68555,-0.66921,21
415,18,-0.19922,3.0938,-0.69922,-0.66921,27
415,18,-0.20117,3.1309,-0.70313,-0.66921,17
415,18,-0.18164,2.8477,-0.58789,-0.33461,15
415,18,-0.097656,3.0898,-0.55078,-0.33461,52
415,18,-0.19922,3.1152,-0.60156,-0.33461,63
415,18,-0.099609,3.1484,-0.65039,-0.33461,36
416,46,-0.26563,2.7754,-0.53125,0,14
416,46,-0.26953,2.7793,-0.68555,0,11
416,46,0,3.0254,-0.83984,0,14
416,46,0,2.8984,-1.3047,0,10
416,46,-4.1992,0,-0.47266,0,13
416,46,-4.2383,0,-0.84766,0,27
416,46,4.1426,0,-1.0762,0,24
416,46,-0.26172,2.7813,-0.18555,0.33461,13
416,46,-0.26563,2.8086,-0.31055,0.33461,25
416,46,-0.17969,2.8418,-0.39648,0.33461,22
416,46,-0.27344,2.8477,-0.54688,0.33461,10
416,46,-0.19336,3.0586,-0.48242,0.33461,22
416,46,-0.097656,3.1113,-0.41602,0.33461,55
416,46,-0.099609,3.1445,-0.44922,0.33461,62
416,46,-0.099609,3.1719,-0.51758,0.33461,36
416,46,-4.1992,0,-0.33594,0.33461,23
416,46,4.1055,0.88672,-0.56445,0.33461,50
416,46,4.1426,0.69336,-0.80273,0.33461,45
416,46,4.043,0.88086,-1.2148,0.33461,15
416,46,-4.3984,0.85547,-0.73438,0.33461,18
416,46,-4.5781,0,-0.85742,0.33461,13
416,46,-0.35547,2.8105,-0.16797,0.66921,17
416,46,-0.26953,2.8535,-0.22461,0.66921,17
416,46,-0.19531,3.127,-0.22461,0.66921,27
416,46,-0.19922,3.1465,-0.39648,0.66921,31
416,46,0,3.1738,-0.51953,0.66921,18
416,46,4.0684,1.0273,-0.17188,0.66921,14
416,46,-4.2383,0,-0.32422,0.66921,31
416,46,4.1426,0.92383,-0.51953,0.66921,28
416,46,0,3.0605,-0.70508,-0.66921,11
416,46,-0.099609,3.0664,-0.83008,-0.66921,14
416,46,-0.19531,3.1016,-0.45508,-0.33461,28
416,46,-0.099609,3.1348,-0.51758,-0.33461,39
416,46,0,3.1504,-0.64648,-0.33461,23
416,46,-1.1914,1.9766,2.1836,0,6
416,46,-2.625,0,3.6035,0,9
416,46,-2.6484,0,3.4961,0,18
416,46,-2.8047,0.52734,3.1816,0,15
416,46,-2.625,0,3.7695,0.33461,18
416,46,-2.6484,0,3.6914,0.33461,34
416,46,-2.6719,0,3.459,0.33461,29
416,46,-2.8301,1.1582,3.041,0.33461,10
416,46,-2.7188,0,3.832,0.33461,7
416,46,-2.625,0,4.0098,0.66921,12
416,46,-2.7813,0,3.7891,0.66921,22
416,46,-2.6719,0,3.7734,0.66921,19
417,23,-0.2793,2.9551,-0.35547,0.33461,24
417,23,-0.18945,2.9824,-0.47852,0.33461,27
417,23,-0.38281,2.9824,-0.5957,0.33461,16
417,23,-0.19531,3.1348,-0.03125,0.33461,26
417,23,-0.19922,3.168,-0.14453,0.33461,36
417,23,-0.20117,3.1875,-0.37305,0.33461,36
417,23,-0.20313,3.2148,-0.45898,0.33461,23
417,23,-0.36914,2.9219,-0.1875,0.66921,14
417,23,-0.2793,2.9668,-0.22852,0.66921,34
417,23,-0.2832,3,-0.28906,0.66921,36
417,23,-0.28711,3.0098,-0.50195,0.66921,18
417,23,-0.27344,2.8867,-0.28516,1.0038,24
417,23,-0.27734,2.916,-0.35547,1.0038,25
417,23,-0.18164,2.9063,-0.082031,1.3384,31
417,23,-0.27734,2.9355,-0.099609,1.3384,36
417,23,-0.1875,2.9785,-0.16211,1.3384,20
417,23,-0.27734,2.9375,0.015625,1.673,14
417,23,-0.097656,3.0898,-0.26367,-0.33461,21
417,23,-0.19531,3.1211,-0.29492,-0.33461,31
417,23,-0.099609,3.1406,-0.48047,-0.33461,28
417,23,-0.099609,3.1152,-0.79492,-0.33461,19
417,23,-4.502,0,-0.86328,-0.33461,16
417,23,-2.6738,1.0898,3.4551,-0.33461,10
418,34,-0.1875,2.959,-0.37305,0,15
418,34,-0.18945,2.9805,-0.48828,0,28
418,34,-0.19141,3.0078,-0.55859,0,18
418,34,-0.19336,3.0957,-0.082031,0,11
418,34,-0.19531,3.1133,-0.36719,0,20
418,34,-0.2793,2.9707,-0.16406,0.33461,48
418,34,-0.18945,3.0098,-0.26172,0.33461,90
418,34,-0.19141,3.0352,-0.38281,0.33461,79
418,34,-0.19336,3.0762,-0.34961,0.33461,61
418,34,0,3.1172,-0.38086,0.33461,53
418,34,0,3.1523,-0.39844,0.33461,38
418,34,0,3.1953,-0.36133,0.33461,28
418,34,-4.3887,0,-0.082031,0.33461,12
418,34,-0.2793,2.9766,-0.0078125,0.66921,42
418,34,-0.18945,3.0195,-0.087891,0.66921,84
418,34,-0.19141,3.0527,-0.17773,0.66921,76
418,34,-0.19336,3.0898,-0.19727,0.66921,42
418,34,-0.19531,3.1289,-0.1875,0.66921,28
418,34,-0.18945,3.0195,0.11328,1.0038,24
418,34,-0.28711,3.0508,0.013672,1.0038,22
418,34,0,2.9863,-0.84375,-0.66921,26
418,34,0,3.0137,-0.87891,-0.66921,29
418,34,-0.2832,2.9473,-0.62891,-0.33461,13
418,34,-0.19141,2.9941,-0.625,-0.33461,26
418,34,0,3.0352,-0.64258,-0.33461,61
418,34,-0.097656,3.0684,-0.6582,-0.33461,70
418,34,0,3.0703,-0.82422,-0.33461,36
418,34,0,3.1113,-0.81055,-0.33461,29
418,34,0,3.1563,-0.79102,-0.33461,23
418,34,-4.4648,0,-1.1602,-0.33461,13
418,34,-4.502,0,-1.3281,-0.33461,16
418,34,-1.0977,1.5938,-3.9395,0.33461,10
418,34,-2.6504,0,3.6582,-0.33461,9
418,34,-2.6738,1.541,3.2793,-0.33461,10
419,26,-0.2793,2.957,-0.32422,0,19
419,26,-0.2832,3,-0.28711,0,33
419,26,-0.28711,3.0332,-0.33594,0,25
419,26,-4.3887,0,0.17383,0,11
419,26,4.2891,1.0977,-0.048828,0,10
419,26,-0.1875,2.9609,-0.35352,0.33461,14
419,26,-0.18945,2.9883,-0.4375,0.33461,29
419,26,-0.19141,3.0371,-0.35547,0.33461,36
419,26,-0.097656,3.084,-0.33203,0.33461,35
419,26,0,3.127,-0.2832,0.33461,23
419,26,-0.18945,3.0137,-0.20703,0.66921,13
419,26,-0.28711,3.0488,-0.12305,0.66921,14
419,26,-0.1875,2.9648,-0.33008,-0.66921,14
419,26,-0.18945,3.0059,-0.29883,-0.66921,24
419,26,-0.19141,3.0273,-0.43164,-0.66921,21
419,26,0,3.0664,-0.46484,-0.66921,17
419,26,-0.1875,2.9766,-0.19727,-0.33461,26
419,26,-0.18945,3.0117,-0.22656,-0.33461,44
419,26,-0.19141,3.0508,-0.22656,-0.33461,38
419,26,0,3.0703,-0.45117,-0.33461,34
419,26,0,3.0781,-0.61914,-0.33461,19
419,26,-4.252,1.0605,-0.24805,-0.33461,19
419,26,4.2891,1.0703,-0.24414,-0.33461,15
419,26,-2.7422,0,-3.8574,0,6
419,26,-1.2344,1.7832,-3.8145,-0.33461,14
419,26,-1.3828,1.4375,-3.9512,-0.33461,11
420,33,-0.19141,3.0371,-0.36133,0,12
420,33,0,3.0566,-0.5332,0,14
420,33,-0.19531,3.1309,-0.14844,0,9
420,33,0,3.1289,-0.5625,0,15
420,33,-0.099609,3.1074,-0.82031,0,14
420,33,0,3.0645,-0.060547,0.33461,31
420,33,-0.097656,3.0977,-0.13086,0.33461,47
420,33,0,3.1309,-0.24414,0.33461,14
420,33,0,3.1641,-0.30273,0.33461,37
420,33,0,3.1973,-0.33789,0.33461,44
420,33,0,3.2227,-0.44727,0.33461,22
420,33,-0.19141,3.0586,0.0078125,0.66921,16
420,33,0,3.1016,-0.087891,0.66921,21
420,33,0,3.1758,-0.13867,0.66921,15
420,33,0,3.209,-0.22461,0.66921,18
420,33,-0.18359,2.9297,-0.30273,-1.3384,20
420,33,-0.1875,2.9355,-0.53125,-1.3384,19
420,33,-0.18164,2.9082,-0.039063,-1.0038,19
420,33,-0.18359,2.9395,-0.18359,-1.0038,35
420,33,-0.1875,2.9707,-0.26758,-1.0038,37
420,33,-0.18945,2.9961,-0.38086,-1.0038,29
420,33,-0.28711,3.002,-0.54297,-1.0038,19
420,33,-0.27734,2.9355,0.10938,-0.66921,20
420,33,-0.1875,2.9805,-0.097656,-0.66921,26
420,33,-0.2832,3.0059,-0.20117,-0.66921,33
420,33,-0.19141,3.043,-0.30469,-0.66921,31
