Frame #,# Obj,X,Y,Z,Doppler,Intensity
110,7,0,3.1641,-1.0391,0.33461,28
110,7,0.10547,3.2891,-0.71289,0.33461,35
110,7,0.10547,3.3984,-0.1875,0.33461,29
110,7,0,3.4297,-0.29883,0.33461,16
110,7,0,3.0898,-1.2422,-0.33461,17
110,7,0.10547,3.25,-0.875,-0.33461,22
110,7,0.21289,3.3184,-0.73047,-0.33461,21
111,7,0,3.2148,-0.70703,0.33461,19
111,7,0.10352,3.2363,-0.7793,0.33461,18
111,7,0.10547,3.2207,-0.97852,0.33461,17
111,7,0,3.2266,-1.0879,0.33461,13
111,7,0,3.1289,-1.0215,-0.33461,13
111,7,0.10352,3.1348,-1.1152,-0.33461,11
111,7,0.31641,3.2246,-0.91992,0.33461,17
112,6,0,3.2988,-0.45508,0.33461,23
112,6,0,3.3457,-0.37891,0.33461,35
112,6,0.10547,3.373,-0.45117,0.33461,29
112,6,0,3.2031,-0.90625,-0.33461,20
112,6,0.10547,3.291,-0.70313,-0.33461,25
112,6,0.10547,3.3496,-0.59961,-0.33461,19
113,21,-0.21094,3.3398,-0.38086,0,28
113,21,-0.21289,3.3594,-0.51367,0,44
113,21,-0.21484,3.3828,-0.60352,0,26
113,21,4.5449,1.0039,-0.58789,0,8
113,21,0,3.2773,-0.58789,0.33461,21
113,21,0,3.2695,-0.80078,0.33461,20
113,21,-0.21094,3.2129,-0.98242,-0.66921,24
113,21,-0.21289,3.2793,-0.89258,-0.66921,35
113,21,-0.21484,3.2949,-0.97656,-0.66921,20
113,21,0,3.2246,-0.66211,-0.33461,15
113,21,0,3.0664,-1.2949,-0.33461,17
113,21,-0.21094,3.2559,-0.83203,-0.33461,54
113,21,-0.21289,3.3281,-0.68555,-0.33461,84
113,21,-0.21484,3.3555,-0.73633,-0.33461,48
113,21,-4.6543,0,-0.87305,-0.33461,17
113,21,-4.5449,0.79102,-0.85352,-0.33461,24
113,21,-4.7285,0,-0.92773,-0.33461,13
113,21,-2.9316,0,3.7656,0,6
113,21,-1.1641,0.83594,4.4277,-0.33461,14
113,21,-1.1719,0.79883,4.4727,-0.33461,18
113,21,-1.3301,0,-4.7109,-0.33461,11
114,50,-0.30469,3.1914,-0.55273,0,10
114,50,-0.30859,3.1855,-0.76953,0,40
114,50,-0.3125,3.2227,-0.77539,0,54
114,50,-0.31641,3.3184,-0.47461,0,35
114,50,-0.21289,3.3809,-0.3418,0,40
114,50,-0.32227,3.3691,-0.63086,0,22
114,50,4.4707,0.9707,-0.60742,0,19
114,50,4.5078,0.97266,-0.62109,0,24
114,50,4.5449,0.97852,-0.63086,0,15
114,50,0.10352,3.2891,0.033203,0.33461,26
114,50,0.3125,3.3125,-0.14453,0.33461,20
114,50,-0.42188,3.25,-0.76953,0.33461,30
114,50,0,3.4043,-0.037109,0.33461,32
114,50,0,3.4434,0.011719,0.33461,13
114,50,-0.30859,3.0684,-1.1504,-1.0038,17
114,50,-0.20898,3.1172,-1.1484,-1.0038,40
114,50,-0.10547,3.1504,-1.1836,-1.0038,38
114,50,-0.10547,3.1348,-1.3262,-1.0038,15
114,50,-0.20313,3.1387,-0.83398,-0.66921,20
114,50,-0.20508,3.1484,-0.93945,-0.66921,89
114,50,-0.10352,3.1758,-0.99219,-0.66921,146
114,50,-0.21094,3.209,-1,-0.66921,96
114,50,-0.21289,3.3145,-0.75391,-0.66921,28
114,50,-0.10742,3.3457,-0.80664,-0.66921,17
114,50,-4.5781,0,-1.5723,-0.66921,15
114,50,4.4707,0,-1.4434,-0.66921,34
114,50,-4.6543,0,-1.4199,-0.66921,40
114,50,-4.6914,0,-1.4004,-0.66921,25
114,50,-0.10156,3.1855,-0.65039,-0.33461,32
114,50,-0.20508,3.1934,-0.76758,-0.33461,118
114,50,-0.20898,3.2285,-0.78906,-0.33461,153
114,50,-0.21094,3.3184,-0.52734,-0.33461,82
114,50,-0.10547,3.375,-0.4375,-0.33461,86
114,50,-0.10742,3.3633,-0.73047,-0.33461,47
114,50,-4.5781,0,-1.1445,-0.33461,17
114,50,-4.6152,0,-1.0801,-0.33461,45
114,50,-4.6543,0,-0.99609,-0.33461,59
114,50,-4.6914,0,-0.99414,-0.33461,40
114,50,-2.8848,0,3.793,0,14
114,50,-2.9082,0,3.8535,0,16
114,50,-2.9316,0,4.0293,0,10
114,50,-0.83203,0,-3.2422,0.33461,16
114,50,-2.8613,2.2734,2.7578,-0.66921,11
114,50,-2.8848,1.8008,3.1211,-0.66921,24
114,50,-2.9082,1.7109,3.2051,-0.66921,26
114,50,-2.9316,1.7031,3.2422,-0.66921,15
114,50,-2.8613,1.5156,3.2363,-0.33461,13
114,50,-2.8848,0.37109,3.584,-0.33461,31
114,50,-2.9082,0.52148,3.5957,-0.33461,37
114,50,-2.9316,0.78516,3.5762,-0.33461,23
115,47,-0.30859,3.252,-0.41016,0,15
115,47,-0.20898,3.3066,-0.33398,0,34
115,47,0,3.3516,-0.32422,0,48
115,47,0,3.3789,-0.42188,0,49
115,47,0,3.4082,-0.49023,0,29
115,47,0,3.4473,-0.47852,0,11
115,47,5.0742,2.3359,-0.37695,0,16
115,47,5.2852,1.9121,-0.43945,0,36
115,47,5.1426,2.3223,-0.60352,0,34
115,47,0,3.2813,0.25586,0.33461,28
115,47,0,3.3125,0.33789,0.33461,41
115,47,0,3.3672,-0.046875,0.33461,56
115,47,0,3.3984,-0.2168,0.33461,103
115,47,0.10742,3.4277,-0.29883,0.33461,76
115,47,0.10938,3.4512,-0.43555,0.33461,25
115,47,0,3.2871,0.5332,0.66921,14
115,47,0,3.3652,0.11133,0.66921,21
115,47,0,3.4043,0,0.66921,39
115,47,0,3.4434,-0.039063,0.66921,28
115,47,-0.20117,3.0078,-1.1211,-1.673,17
115,47,-0.20313,3,-1.2441,-1.673,24
115,47,-0.20508,3.0156,-1.3047,-1.673,15
115,47,-0.30078,3.0664,-0.91797,-1.3384,35
115,47,-0.30469,3.0977,-0.94922,-1.3384,53
115,47,-0.20508,3.123,-1.0215,-1.3384,38
115,47,-0.20898,3.1328,-1.1074,-1.3384,16
115,47,-0.30078,3.1348,-0.65039,-1.0038,26
115,47,-0.30469,3.1582,-0.72266,-1.0038,39
115,47,-0.20508,3.1992,-0.74609,-1.0038,30
115,47,-0.3125,3.2148,-0.80664,-1.0038,18
115,47,4.3984,0,-1.3242,-1.0038,18
115,47,-0.20508,3.2246,-0.62695,-0.66921,34
115,47,-0.10352,3.25,-0.71094,-0.66921,51
115,47,-0.31641,3.2852,-0.67188,-0.66921,34
115,47,5.2852,1.4043,-1.3711,-0.66921,41
115,47,5.3203,1.2852,-1.498,-0.66921,41
115,47,-0.20508,3.2441,-0.51953,-0.33461,49
115,47,-0.10352,3.293,-0.47461,-0.33461,81
115,47,-0.21094,3.3262,-0.48047,-0.33461,62
115,47,0,3.3477,-0.62109,-0.33461,30
115,47,0.10742,3.3203,-0.90039,-0.33461,25
115,47,5.2852,1.7773,-0.83008,-0.33461,61
115,47,5.3203,1.6934,-1.0176,-0.33461,63
115,47,-0.53125,5.6035,-0.72461,0,20
115,47,-2.8379,1.4355,3.2402,-1.0038,15
115,47,-0.53125,5.541,-1.1016,-0.66921,23
115,47,-0.53125,5.5938,-0.79102,-0.33461,36
116,43,0,3.291,0.080078,0,16
116,43,0,3.3281,-0.0625,0,36
116,43,0,3.3594,-0.22656,0,42
116,43,0,3.3809,-0.41016,0,39
116,43,0,3.3945,-0.57422,0,30
116,43,0,3.4004,-0.74219,0,18
116,43,0,3.291,0.0625,0.33461,47
116,43,0.10352,3.3281,-0.0019531,0.33461,94
116,43,0,3.3652,-0.12695,0.33461,111
116,43,0.10547,3.3965,-0.21094,0.33461,121
116,43,0.10742,3.4316,-0.26367,0.33461,96
116,43,0,3.4609,-0.36719,0.33461,50
116,43,0,3.4766,-0.54492,0.33461,20
116,43,-4.5078,0.66602,-0.94336,0.33461,11
116,43,-4.6914,0,-0.9707,0.33461,11
116,43,0,3.2754,0.31836,0.66921,18
116,43,0,3.3223,0.23242,0.66921,35
116,43,0,3.3652,0.13281,0.66921,40
116,43,0,3.4043,0.035156,0.66921,43
116,43,0,3.4414,-0.074219,0.66921,36
116,43,0,3.4727,-0.22266,0.66921,21
116,43,-0.2832,2.8613,-0.94727,-2.3422,14
116,43,-0.28711,2.8672,-1.043,-2.3422,29
116,43,-0.29102,2.8965,-1.0723,-2.3422,27
116,43,-0.2832,2.9141,-0.77148,-2.0076,14
116,43,-0.38281,2.9355,-0.79492,-2.0076,25
116,43,-0.38867,3.0039,-0.67383,-2.0076,17
116,43,-0.29102,2.9551,-0.90039,-1.673,21
116,43,-0.29492,3.0078,-0.85547,-1.673,18
116,43,-0.38867,3.0098,-0.64063,-1.3384,20
116,43,-0.39258,3.0449,-0.66016,-1.3384,13
116,43,0,3.2051,-0.74805,-0.66921,14
116,43,0,3.1895,-0.95898,-0.66921,16
116,43,0.10547,3.2031,-1.0332,-0.66921,17
116,43,0.10547,3.2871,-0.87891,-0.66921,19
116,43,0,3.2207,-0.68359,-0.33461,33
116,43,0,3.2383,-0.77734,-0.33461,52
116,43,0.10547,3.2793,-0.75391,-0.33461,58
116,43,0.10547,3.3457,-0.62109,-0.33461,64
116,43,0.10742,3.3848,-0.625,-0.33461,49
116,43,0.10938,3.4297,-0.58398,-0.33461,22
116,43,-2.7637,0.84961,3.6465,0.33461,8
116,43,-2.7852,0.85742,3.6758,0.33461,8
117,18,-0.30469,3.2246,-0.30078,0,14
117,18,-0.30859,3.2617,-0.32031,0,31
117,18,-0.20898,3.2949,-0.43359,0,28
117,18,0,3.3145,-0.5957,0,15
117,18,0,3.373,-0.46875,0,15
117,18,0,3.4199,-0.4043,0,13
117,18,0,3.3242,0.16797,0.33461,26
117,18,0,3.3633,0.16797,0.33461,19
117,18,-0.10352,3.2324,-0.61523,-0.66921,29
117,18,-0.10352,3.252,-0.70508,-0.66921,30
117,18,-0.20313,3.2285,-0.3457,-0.33461,26
117,18,-0.10352,3.2617,-0.42969,-0.33461,64
117,18,-0.10352,3.2852,-0.5332,-0.33461,69
117,18,0,3.2715,-0.79688,-0.33461,35
117,18,0,3.2227,-1.1016,-0.33461,18
117,18,-4.6152,0,-1.1367,-0.33461,15
117,18,-1.2637,0,-3.125,0.33461,10
117,18,-2.8848,0,3.6699,-0.33461,10
118,32,-0.35938,2.8496,0.14063,0,8
118,32,-0.45508,2.877,-0.013672,0,9
118,32,-0.20508,3.252,-0.45898,0,25
118,32,-0.20898,3.2754,-0.55664,0,30
118,32,-0.21094,3.25,-0.85742,0,23
118,32,-0.21289,3.293,-0.83789,0,15
118,32,-0.32617,3.457,-0.24023,0,11
118,32,4.4707,0.16992,-1.1328,0,10
118,32,0,3.2656,-0.41406,0.33461,19
118,32,-0.10352,3.2949,-0.47266,0.33461,39
118,32,-0.21094,3.3262,-0.48242,0.33461,47
118,32,-0.31836,3.3477,-0.52734,0.33461,28
118,32,-4.6543,0,-0.52734,0.33461,12
118,32,-0.72266,5.7422,-0.048828,0.33461,24
118,32,-0.20898,3.3047,-0.35352,0.66921,14
118,32,-0.31641,3.3281,-0.4082,0.66921,18
118,32,-0.42578,3.3379,-0.52148,0.66921,12
118,32,-0.35938,2.8438,-0.23633,-0.33461,14
118,32,-0.27344,2.8867,-0.2793,-0.33461,18
118,32,-0.21484,3.3613,-0.71484,-0.33461,16
118,32,-0.2168,3.4512,-0.40039,-0.33461,17
118,32,-4.6152,0,-1.418,-0.33461,25
118,32,-4.5078,0,-1.2695,-0.33461,26
118,32,-4.5449,0,-1.2598,-0.33461,22
118,32,-4.7285,0,-1.3066,-0.33461,15
118,32,-0.54297,5.7012,-0.84766,-0.33461,39
118,32,-0.72852,5.6602,-1.1699,-0.33461,33
118,32,-3.0293,0.85156,3.377,0,8
118,32,-2.9082,0,4.1777,0.33461,7
118,32,-2.8848,1.5723,3.2422,-0.33461,18
118,32,-2.7637,1.6914,3.3418,-0.33461,17
118,32,-2.7852,1.5215,3.4551,-0.33461,12
