Frame #,# Obj,X,Y,Z,Doppler,Intensity
119,4,-0.375,3.9668,-0.44531,0.33461,17
119,4,-0.25391,4.0176,-0.42969,0.33461,19
119,4,-0.125,3.8867,-0.98047,-0.33461,15
119,4,0,3.959,-0.84766,-0.33461,14
121,1,-0.24414,3.8574,-0.49805,-0.33461,15
122,8,-0.36523,3.875,-0.18359,0.33461,16
122,8,-0.375,3.9922,0.099609,0.33461,16
122,8,-0.36133,3.8086,-0.49805,-0.33461,24
122,8,-0.36523,3.834,-0.5918,-0.33461,29
122,8,-0.24609,3.8672,-0.67773,-0.33461,19
122,8,-0.24805,3.9219,-0.57813,-0.33461,16
122,8,-0.375,3.9629,-0.48242,-0.33461,22
122,8,-0.37891,4,-0.49609,-0.33461,17
123,13,-0.47852,3.7891,0.12891,0,12
123,13,-0.36133,3.8418,-0.037109,0,19
123,13,-0.48633,3.8672,-0.027344,0,11
123,13,0,3.9063,-0.4707,0.33461,16
123,13,0,3.9297,-0.57813,0.33461,15
123,13,-0.24023,3.7871,-0.69727,-0.66921,17
123,13,-0.24414,3.7559,-1.0098,-0.66921,11
123,13,-0.35742,3.7988,-0.21875,-0.33461,28
123,13,-0.24023,3.834,-0.36523,-0.33461,43
123,13,-0.36523,3.8496,-0.47852,-0.33461,28
123,13,0,3.793,-1.0488,-0.33461,17
123,13,0,3.8691,-0.90039,-0.33461,19
123,13,-0.125,3.918,-0.8418,-0.33461,19
124,26,-0.23828,3.8125,0.064453,0,10
124,26,-0.36133,3.8418,-0.017578,0,20
124,26,-0.36523,3.8789,-0.089844,0,25
124,26,-0.36914,3.9102,-0.23047,0,26
124,26,-0.37305,3.9492,-0.22461,0,36
124,26,-0.25,3.9844,-0.37695,0,44
124,26,-0.37891,4.0078,-0.42383,0,28
124,26,-0.62109,3.916,0.24609,0.33461,16
124,26,-0.50195,3.9766,-0.13477,0.33461,24
124,26,-0.37891,4.0215,-0.25586,0.33461,19
124,26,-0.24023,3.8203,-0.48242,-0.66921,18
124,26,-0.24414,3.8379,-0.62891,-0.66921,24
124,26,-0.24609,3.875,-0.63477,-0.66921,24
124,26,-0.24805,3.9102,-0.66211,-0.66921,32
124,26,-0.375,3.9082,-0.81445,-0.66921,37
124,26,-0.25391,3.9336,-0.92188,-0.66921,26
124,26,-0.35742,3.8047,-0.027344,-0.33461,18
124,26,-0.24023,3.8438,-0.24219,-0.33461,40
124,26,-0.24414,3.8711,-0.38086,-0.33461,52
124,26,-0.24609,3.9102,-0.36719,-0.33461,55
124,26,-0.24805,3.9414,-0.43164,-0.33461,78
124,26,-0.375,3.9531,-0.55664,-0.33461,96
124,26,-0.25391,3.9824,-0.68359,-0.33461,66
124,26,-0.25586,3.9902,-0.8457,-0.33461,21
124,26,4.8379,1.0156,-0.71094,-0.33461,14
124,26,-1.0918,1.3008,4.6953,-0.33461,14
125,24,-0.35547,3.7656,0.03125,0,40
125,24,-0.35742,3.8047,-0.039063,0,63
125,24,-0.36133,3.8398,-0.10742,0,44
125,24,-0.24414,3.8848,-0.17969,0,21
125,24,-0.49219,3.9043,-0.017578,0,19
125,24,-0.37305,3.9453,-0.29102,0,35
125,24,-0.25,3.9844,-0.38672,0,30
125,24,-0.37891,3.9629,-0.73242,0,13
125,24,0,3.877,-0.67773,0.33461,15
125,24,-0.35547,3.75,-0.36328,-0.66921,39
125,24,-0.23828,3.7793,-0.50586,-0.66921,62
125,24,-0.24023,3.8008,-0.62109,-0.66921,43
125,24,-0.24414,3.8594,-0.48633,-0.66921,20
125,24,-0.36914,3.8691,-0.61133,-0.66921,20
125,24,-0.37305,3.8516,-0.89453,-0.66921,35
125,24,-0.375,3.8613,-1.0137,-0.66921,28
125,24,-0.35156,3.7285,-0.021484,-0.33461,17
125,24,-0.23633,3.7715,-0.1875,-0.33461,72
125,24,-0.23828,3.8047,-0.27148,-0.33461,115
125,24,-0.24023,3.834,-0.36328,-0.33461,81
125,24,-0.36523,3.8633,-0.35352,-0.33461,38
125,24,-0.24609,3.9043,-0.42578,-0.33461,41
125,24,-0.24805,3.918,-0.61133,-0.33461,65
125,24,-0.375,3.9297,-0.70508,-0.33461,46
126,22,-0.34766,3.6875,0.17188,0,11
126,22,-0.35156,3.7227,0.20508,0,46
126,22,-0.23633,3.7754,0.083984,0,75
126,22,-0.23828,3.8145,0,0,53
126,22,-0.24023,3.8496,-0.11328,0,18
126,22,-0.24805,3.9453,-0.38867,0,21
126,22,-0.25,3.9668,-0.53906,0,20
126,22,-0.25391,3.9902,-0.63477,0,14
126,22,-0.25,3.9941,-0.27148,0.33461,23
126,22,-0.23438,3.7305,-0.22656,-0.66921,51
126,22,-0.23633,3.7598,-0.35352,-0.66921,82
126,22,-0.11914,3.793,-0.44336,-0.66921,56
126,22,0,3.832,-0.45117,-0.66921,14
126,22,-0.25,3.8555,-1.0723,-0.66921,19
126,22,-0.34766,3.6836,0.23242,-0.33461,19
126,22,-0.23438,3.7383,-0.039063,-0.33461,83
126,22,-0.23633,3.7734,-0.12695,-0.33461,137
126,22,-0.23828,3.8066,-0.22656,-0.33461,94
126,22,-0.24023,3.8398,-0.30273,-0.33461,27
126,22,-0.24805,3.9082,-0.66602,-0.33461,46
126,22,-0.25,3.9277,-0.76953,-0.33461,52
126,22,-0.12695,3.9609,-0.82422,-0.33461,33
127,27,-0.57422,3.625,0.0019531,0,8
127,27,-0.46289,3.6719,0.23242,0,18
127,27,-0.46875,3.7129,0.17188,0,17
127,27,-0.23828,3.8105,0.14063,0,10
127,27,-0.36133,3.8418,0.0019531,0,20
127,27,-0.48633,3.8652,-0.085938,0,17
127,27,0,3.8672,-0.72461,0.33461,23
127,27,0,3.9453,-0.4668,0.33461,28
127,27,0,4.0059,-0.18164,0.33461,22
127,27,-0.34766,3.6563,-0.50586,-1.0038,24
127,27,-0.35156,3.6973,-0.49023,-1.0038,22
127,27,-0.34375,3.6426,-0.29492,-0.66921,30
127,27,-0.34766,3.6836,-0.23828,-0.66921,65
127,27,-0.23438,3.7227,-0.3418,-0.66921,62
127,27,-0.35547,3.75,-0.34961,-0.66921,25
127,27,-0.36133,3.7832,-0.67578,-0.66921,25
127,27,-0.24414,3.8184,-0.74023,-0.66921,24
127,27,-0.34375,3.6523,-0.064453,-0.33461,26
127,27,-0.34766,3.6914,-0.017578,-0.33461,57
127,27,-0.35156,3.7285,-0.066406,-0.33461,53
127,27,-0.35547,3.7656,-0.087891,-0.33461,19
127,27,-0.35742,3.7949,-0.25977,-0.33461,17
127,27,-0.36133,3.8223,-0.38477,-0.33461,40
127,27,-0.24414,3.8496,-0.55273,-0.33461,39
127,27,-0.12305,3.8633,-0.73438,-0.33461,33
127,27,-0.125,3.9102,-0.69336,-0.33461,37
127,27,-0.125,3.9551,-0.65625,-0.33461,30
128,31,-0.45313,3.5918,0.2793,0,11
128,31,-0.34375,3.6445,0.24805,0,20
128,31,-0.23242,3.6934,0.21484,0,15
128,31,-0.47852,3.7832,-0.25195,0,11
128,31,5.3496,2.4902,0.15625,0,11
128,31,5.5684,2.0664,0.048828,0,20
128,31,5.6035,2.0801,-0.052734,0,15
128,31,0.125,3.9609,-0.26367,0.33461,16
128,31,0,3.9922,-0.38086,0.33461,36
128,31,0,4.0098,-0.55469,0.33461,29
128,31,-0.34375,3.6074,-0.57813,-1.0038,18
128,31,-0.23242,3.6465,-0.625,-1.0038,16
128,31,-0.33984,3.6152,-0.074219,-0.66921,30
128,31,-0.22852,3.6543,-0.24805,-0.66921,58
128,31,-0.23242,3.6855,-0.32617,-0.66921,48
128,31,-0.35156,3.7031,-0.44141,-0.66921,15
128,31,5.5684,2.002,-0.51367,-0.66921,25
128,31,5.791,1.2559,-0.78906,-0.66921,20
128,31,-0.33984,3.6152,0.087891,-0.33461,29
128,31,-0.22852,3.6621,0.0019531,-0.33461,56
128,31,-0.34766,3.6914,-0.082031,-0.33461,41
128,31,-0.35742,3.7813,-0.42578,-0.33461,21
128,31,-0.36133,3.8008,-0.56641,-0.33461,31
128,31,-0.36523,3.8047,-0.76367,-0.33461,24
128,31,0.125,3.9258,-0.80664,-0.33461,23
128,31,0.12695,3.9219,-0.99219,-0.33461,19
128,31,5.5332,2.0527,0.087891,-0.33461,22
128,31,5.5684,2.0547,-0.23438,-0.33461,37
128,31,5.6035,2.0566,-0.31055,-0.33461,28
128,31,-0.93359,5.9043,0.0019531,0,9
128,31,-0.93359,5.8555,-0.75195,-0.33461,15
129,28,-0.33398,3.5254,0.31836,0,23
129,28,-0.33789,3.5723,0.20703,0,71
129,28,-0.33984,3.6113,0.17188,0,93
129,28,-0.22852,3.6621,0.029297,0,58
129,28,-0.34766,3.6875,-0.18164,0,19
129,28,5.3145,2.4746,0.1543,0,11
129,28,5.3496,2.4941,0.021484,0,17
129,28,-0.33789,3.5313,0.57813,0.33461,16
129,28,-0.33984,3.5879,0.44922,0.33461,20
129,28,0,3.9355,0.0097656,0.33461,18
129,28,-0.22461,3.5566,-0.4668,-1.0038,38
129,28,-0.11328,3.5898,-0.53711,-1.0038,49
129,28,-0.22852,3.6094,-0.61914,-1.0038,30
129,28,-0.22266,3.5469,-0.1543,-0.66921,46
129,28,-0.22461,3.5801,-0.22656,-0.66921,145
129,28,-0.22656,3.6133,-0.29883,-0.66921,190
129,28,-0.22852,3.6406,-0.4043,-0.66921,115
129,28,-0.23242,3.6543,-0.58203,-0.66921,32
129,28,5.5332,1.9238,-0.7168,-0.66921,20
129,28,-0.33398,3.5391,0.089844,-0.33461,51
129,28,-0.33789,3.5781,0.0078125,-0.33461,160
129,28,-0.22656,3.625,-0.074219,-0.33461,213
129,28,-0.22852,3.6582,-0.17188,-0.33461,130
129,28,-0.23242,3.6816,-0.37305,-0.33461,40
129,28,5.3145,2.4766,-0.089844,-0.33461,19
129,28,5.5332,2.0176,-0.38672,-0.33461,32
129,28,5.3828,2.4531,-0.53711,-0.33461,22
129,28,-0.55664,5.8867,-0.56055,-0.33461,15
130,25,-0.33008,3.4883,0.31836,0,33
130,25,-0.22266,3.5449,0.17188,0,83
130,25,-0.22461,3.5859,0.10547,0,92
130,25,-0.33984,3.6152,0.0078125,0,46
130,25,-0.22852,3.6621,0.0097656,0,14
130,25,5.2793,2.4414,0.33008,0,10
130,25,5.3145,2.4785,-0.072266,0,14
130,25,-0.33398,3.5195,0.38281,0.33461,15
130,25,-0.33789,3.5684,0.27148,0.33461,17
130,25,-0.22266,3.5234,-0.43164,-1.0038,25
130,25,-0.22461,3.5527,-0.49414,-1.0038,27
130,25,-0.22656,3.5938,-0.48047,-1.0038,14
130,25,-0.2207,3.5098,-0.14258,-0.66921,52
130,25,-0.22266,3.541,-0.23047,-0.66921,132
130,25,-0.22461,3.5742,-0.30469,-0.66921,142
130,25,-0.22656,3.6035,-0.39453,-0.66921,70
130,25,-0.34375,3.627,-0.4375,-0.66921,18
130,25,-0.33008,3.502,0.10938,-0.33461,68
130,25,-0.22266,3.5488,-0.019531,-0.33461,170
130,25,-0.22461,3.5859,-0.10742,-0.33461,184
130,25,-0.22656,3.6191,-0.19141,-0.33461,94
130,25,-0.22852,3.6445,-0.36328,-0.33461,26
130,25,-0.24609,3.8652,-0.69531,-0.33461,22
130,25,5.498,2.0176,-0.30859,-0.33461,24
130,25,-0.91602,5.7871,-0.23828,0,8
131,31,-0.2168,3.459,0.3125,0,23
131,31,-0.2207,3.5059,0.19141,0,57
131,31,-0.22266,3.5469,0.10742,0,63
131,31,-0.22461,3.5879,0,0,28
131,31,5.6074,1.4258,0.16992,0,18
131,31,5.6445,1.4453,-0.035156,0,26
131,31,5.3145,2.4766,-0.13086,0,16
131,31,0,4.0098,-0.050781,0.33461,26
131,31,0,4.0391,-0.25977,0.33461,24
131,31,-0.22266,3.4863,-0.66406,-1.0038,14
131,31,-0.2168,3.4707,-0.14063,-0.66921,32
131,31,-0.2207,3.502,-0.25195,-0.66921,80
131,31,-0.11133,3.5371,-0.34961,-0.66921,86
131,31,-0.22461,3.5566,-0.46094,-0.66921,40
131,31,5.6074,1.4063,-0.28711,-0.66921,19
131,31,5.4629,1.9531,-0.54492,-0.66921,27
131,31,-0.2168,3.4727,0.09375,-0.33461,44
131,31,-0.33008,3.5039,-0.015625,-0.33461,110
131,31,-0.22266,3.5469,-0.11719,-0.33461,122
131,31,-0.22461,3.582,-0.19336,-0.33461,55
131,31,0,3.9297,-0.79883,-0.33461,23
131,31,0,3.9746,-0.76953,-0.33461,21
131,31,5.4277,2.0137,-0.0019531,-0.33461,31
131,31,5.6445,1.4219,-0.25977,-0.33461,45
131,31,5.498,2.002,-0.39453,-0.33461,27
131,31,-0.72852,5.7813,-0.033203,0,15
131,31,-0.73242,5.8184,0,0,10
131,31,-0.54688,5.6992,-1.0781,-0.66921,15
131,31,-0.72266,5.7129,-0.59375,-0.33461,16
131,31,-0.72852,5.752,-0.58398,-0.33461,24
131,31,-0.54883,5.8223,-0.43945,-0.33461,17
132,24,-0.32227,3.4141,0.30469,0,17
132,24,-0.2168,3.4707,0.13867,0,37
132,24,-0.2207,3.5098,0.085938,0,40
132,24,-0.22266,3.5488,-0.044922,0,20
132,24,5.3906,1.9395,0.49023,0,11
132,24,5.4277,2.0078,0.16211,0,16
132,24,0,3.9922,-0.375,0.33461,18
132,24,0,4.0332,-0.35742,0.33461,25
132,24,0,4.0723,-0.33203,0.33461,15
132,24,-0.21484,3.4316,-0.18945,-0.66921,23
132,24,-0.2168,3.4629,-0.27148,-0.66921,46
132,24,-0.10938,3.5,-0.33398,-0.66921,48
132,24,0,3.5293,-0.4375,-0.66921,22
132,24,5.4277,2,-0.23828,-0.66921,16
132,24,-0.21484,3.4355,0.10156,-0.33461,32
132,24,-0.2168,3.4746,-0.017578,-0.33461,71
132,24,-0.2207,3.5078,-0.14648,-0.33461,74
132,24,-0.11133,3.5488,-0.19336,-0.33461,36
132,24,0,3.9395,-0.74805,-0.33461,14
132,24,0,3.9902,-0.67773,-0.33461,20
132,24,5.5703,1.4199,-0.13086,-0.33461,19
132,24,5.4277,1.998,-0.25977,-0.33461,28
132,24,-0.72266,5.7422,-0.085938,0,9
132,24,-0.72266,5.7383,-0.22656,-0.33461,16
133,16,-0.21289,3.3965,0.10938,0,15
133,16,-0.32227,3.4238,0.16211,0,33
133,16,-0.32617,3.4648,0.072266,0,33
133,16,-0.33008,3.5039,-0.025391,0,12
133,16,0,3.9316,0.16992,0.33461,16
133,16,-0.24805,3.9648,0.027344,0.33461,19
133,16,-0.21289,3.3965,-0.082031,-0.66921,14
133,16,-0.21484,3.4238,-0.29492,-0.66921,32
133,16,-0.2168,3.4512,-0.39063,-0.66921,32
133,16,-0.10938,3.4727,-0.55273,-0.66921,12
133,16,-0.21289,3.3984,0,-0.33461,26
133,16,-0.21484,3.4336,-0.11133,-0.33461,62
133,16,-0.2168,3.4668,-0.20703,-0.33461,61
133,16,-0.2207,3.498,-0.29883,-0.33461,21
133,16,0,3.8828,-0.63281,-0.33461,23
133,16,0,3.9395,-0.51563,-0.33461,20
134,5,-0.31836,3.3906,-0.0019531,0,8
134,5,0,3.4297,-0.29492,0,9
134,5,-0.21289,3.3887,-0.24414,-0.33461,18
134,5,-0.10742,3.4277,-0.30664,-0.33461,22
