Frame #,# Obj,X,Y,Z,Doppler,Intensity
154,1,0,4.9219,-0.84766,0.33461,14
159,2,0,4.4238,0.14063,0.33461,14
159,2,0,4.9336,-0.77539,-0.33461,13
160,11,0,4.4336,-0.52539,0,18
160,11,0,4.4688,-0.55469,0,21
160,11,0,4.4707,-0.79102,0,11
160,11,-0.41406,4.4043,-0.15039,0.33461,14
160,11,-0.13867,4.457,-0.22461,0.33461,37
160,11,-0.14063,4.4883,-0.32031,0.33461,42
160,11,0,4.5215,-0.40234,0.33461,21
160,11,-0.2793,4.4551,0.095703,0.66921,29
160,11,-0.28125,4.4941,0.017578,0.66921,31
160,11,-0.2832,4.5313,0.011719,0.66921,16
160,11,0,4.8809,-1.0566,-0.33461,13
161,35,-0.28125,4.4316,-0.74023,0,11
161,35,-0.2832,4.4824,-0.66797,0,19
161,35,0,4.5039,-0.81641,0,14
161,35,-5.5996,0,-1.2695,0,11
161,35,-0.28125,4.4863,-0.23438,0.33461,44
161,35,-0.14258,4.5234,-0.36328,0.33461,72
161,35,-0.14258,4.5508,-0.47656,0.33461,53
161,35,-0.14453,4.5684,-0.64844,0.33461,13
161,35,-0.30664,4.9043,-0.21875,0.33461,18
161,35,0,4.9492,-0.26563,0.33461,23
161,35,0,4.9707,-0.48828,0.33461,24
161,35,-0.86914,0,5.5547,0.33461,19
161,35,-0.875,0,-5.584,0.33461,25
161,35,-5.4609,0.85547,-1.1055,0.33461,17
161,35,-0.41797,4.4375,0.24805,0.66921,15
161,35,-0.28125,4.4922,0.048828,0.66921,60
161,35,-0.2832,4.5313,-0.078125,0.66921,97
161,35,-0.28516,4.5645,-0.1875,0.66921,70
161,35,-0.28906,4.5996,-0.25195,0.66921,18
161,35,-1.043,0,-5.4844,0.66921,17
161,35,5.4238,1.3438,-0.34961,0.66921,21
161,35,-5.6367,0,-0.70117,0.66921,14
161,35,-0.42188,4.457,0.47461,1.0038,26
161,35,-0.2832,4.5234,0.27344,1.0038,42
161,35,-0.28516,4.5664,0.14844,1.0038,30
161,35,0,4.916,-0.63086,-0.33461,24
161,35,0,4.9316,-0.78906,-0.33461,31
161,35,0,4.9453,-0.92969,-0.33461,19
161,35,-1.0508,0,-5.5547,0,10
161,35,5.3887,1.1426,-0.77344,0.33461,16
161,35,5.4238,1.2051,-0.68945,0.33461,24
161,35,-3.5234,0,4.6523,0.33461,14
161,35,5.3887,1.3105,-0.42773,0.66921,14
161,35,-1.0508,1.1895,-5.3691,0.66921,21
161,35,-0.88086,0,5.6035,0.66921,13
162,24,-0.2832,4.5195,-0.33594,0.33461,12
162,24,-0.28516,4.5566,-0.33789,0.33461,28
162,24,-0.14453,4.5938,-0.43555,0.33461,32
162,24,-0.29102,4.6172,-0.50391,0.33461,23
162,24,-0.29297,4.6465,-0.57422,0.33461,16
162,24,-0.15234,4.8223,-0.73828,0.33461,35
162,24,-0.1543,4.8809,-0.58398,0.33461,38
162,24,-0.1543,4.9375,-0.39063,0.33461,45
162,24,0,4.9766,-0.42578,0.33461,39
162,24,0,5.002,-0.54297,0.33461,18
162,24,-0.14258,4.5332,0.19531,0.66921,21
162,24,-0.14258,4.5762,-0.041016,0.66921,49
162,24,-0.28906,4.6055,-0.09375,0.66921,50
162,24,-0.29102,4.6328,-0.32422,0.66921,30
162,24,-0.29297,4.6758,-0.25977,0.66921,18
162,24,-0.28516,4.5605,0.29102,1.0038,26
162,24,-0.28906,4.6055,0.12305,1.0038,26
162,24,0,4.7637,-1.3691,-0.66921,14
162,24,0,4.791,-1.4063,-0.66921,14
162,24,0,4.7168,-1.2539,-0.33461,21
162,24,0,4.8027,-1.0605,-0.33461,26
162,24,0,4.8691,-0.92578,-0.33461,44
162,24,0.15625,4.9063,-0.92188,-0.33461,47
162,24,0,4.9395,-0.96094,-0.33461,24
163,10,-0.1543,4.8652,-0.69922,0,14
163,10,-0.1543,4.9121,-0.64258,0,14
163,10,0,4.9473,-0.6875,0,13
163,10,-0.1582,4.9629,-0.82031,0,15
163,10,0,4.9922,-0.88086,0,11
163,10,-0.30469,4.832,-0.60938,0.33461,24
163,10,-0.31445,5.0039,-0.41797,0.33461,22
163,10,-0.31641,5.0293,-0.56445,0.33461,21
163,10,0,4.8848,-0.83594,-0.33461,22
163,10,0.15625,4.916,-0.86133,-0.33461,18
164,33,0,4.6191,-0.56445,0,11
164,33,-0.29297,4.6523,-0.52539,0,34
164,33,-0.29492,4.6758,-0.63867,0,44
164,33,-0.29883,4.7012,-0.72656,0,22
164,33,-1.0703,3.123,4.6621,0,17
164,33,-0.89844,3.1465,4.7285,0,18
164,33,-0.29102,4.6426,-0.14063,0.33461,27
164,33,-0.29297,4.6738,-0.27539,0.33461,83
164,33,-0.29492,4.7051,-0.36328,0.33461,105
164,33,-0.29883,4.7324,-0.49414,0.33461,54
164,33,-0.15625,4.9863,-0.2168,0.33461,25
164,33,0,5.0254,-0.24414,0.33461,19
164,33,-0.89258,1.0469,5.5449,0.33461,30
164,33,-0.89844,2.1152,5.2715,0.33461,32
164,33,-3.7988,0,5.2988,0.33461,16
164,33,-0.43555,4.6309,0.12695,0.66921,26
164,33,-0.29297,4.6816,0.0039063,0.66921,79
164,33,-0.29492,4.7188,-0.11719,0.66921,99
164,33,-0.29883,4.7539,-0.20313,0.66921,51
164,33,-1.0703,0.88281,-5.541,0.66921,19
164,33,-3.7734,0,5.4688,0.66921,19
164,33,-0.29297,4.6699,0.33594,1.0038,22
164,33,-0.29492,4.7188,0.10742,1.0038,27
164,33,-0.44727,4.7461,-0.042969,1.0038,14
164,33,0.1543,4.875,-0.87891,-0.33461,25
