Frame #,# Obj,X,Y,Z,Doppler,Intensity
204,1,0,4.3477,0.15234,0.33461,13
208,9,-0.41211,4.3164,-0.68359,0,10
208,9,-0.27734,4.3613,-0.70117,0,9
208,9,0,4.3887,0,0.33461,19
208,9,-0.13867,4.4102,-0.34375,0.33461,29
208,9,0,4.4492,-0.37891,0.33461,18
208,9,-0.54297,4.2441,-0.79297,-0.33461,15
208,9,-0.41211,4.25,-1.0098,-0.33461,26
208,9,-0.27734,4.2988,-1.0215,-0.33461,36
208,9,-0.2793,4.332,-1.041,-0.33461,26
209,15,-0.26953,4.3008,-0.17188,0,15
209,15,-0.4082,4.3125,-0.40625,0,37
209,15,-0.41211,4.3516,-0.39648,0,49
209,15,-0.41406,4.3672,-0.58594,0,35
209,15,-0.2793,4.3691,-0.87109,0,14
209,15,-0.4043,4.1621,-1.0605,-0.66921,19
209,15,-0.27148,4.2227,-1.0156,-0.66921,47
209,15,-0.41211,4.2246,-1.1133,-0.66921,56
209,15,-0.27734,4.2344,-1.2617,-0.66921,36
209,15,-0.41797,4.1465,-1.5996,-0.66921,14
209,15,-0.53906,4.209,-0.77734,-0.33461,26
209,15,-0.4082,4.2734,-0.70898,-0.33461,68
209,15,-0.41211,4.293,-0.81641,-0.33461,92
209,15,-0.27734,4.3184,-0.92969,-0.33461,67
209,15,-0.2793,4.3164,-1.1074,-0.33461,29
210,30,0,4.3105,0.16992,0,8
210,30,-0.4082,4.3242,0.24219,0,22
210,30,-0.27344,4.3809,-0.0058594,0,33
210,30,-0.27734,4.416,-0.14453,0,26
210,30,-0.2793,4.4453,-0.30273,0,12
210,30,0,4.3105,0.13281,0.33461,22
210,30,-0.13672,4.3477,-0.064453,0.33461,43
210,30,-0.13672,4.3848,-0.13086,0.33461,41
210,30,0,4.4219,-0.20313,0.33461,26
210,30,0,4.4316,-0.54297,0.33461,12
210,30,0,4.3398,0.30469,0.66921,14
210,30,0,4.3828,0.21289,0.66921,13
210,30,-0.26563,4.082,-1.1035,-1.3384,16
210,30,-0.26758,4.1152,-1.1289,-1.3384,26
210,30,-0.26953,4.123,-1.2344,-1.3384,21
210,30,-0.39648,4.1113,-0.94727,-1.0038,26
210,30,-0.26758,4.1719,-0.89453,-1.0038,44
210,30,-0.4043,4.1621,-1.0586,-1.0038,27
210,30,-0.27344,4.2832,-0.91602,-1.0038,25
210,30,-0.27734,4.2734,-1.1191,-1.0038,22
210,30,-0.39648,4.1699,-0.63477,-0.66921,13
210,30,-0.26758,4.2168,-0.64844,-0.66921,22
210,30,-0.4082,4.3145,-0.37695,-0.66921,39
210,30,-0.27344,4.3477,-0.53711,-0.66921,68
210,30,-0.27734,4.3652,-0.67383,-0.66921,57
210,30,-0.2793,4.3828,-0.79883,-0.66921,27
210,30,-0.4082,4.3301,-0.097656,-0.33461,36
210,30,-0.41211,4.3672,-0.16016,-0.33461,60
210,30,-0.41406,4.4023,-0.22266,-0.33461,49
210,30,-0.41797,4.4355,-0.29688,-0.33461,21
211,27,-0.26758,4.2324,-0.53516,0,9
211,27,-0.26953,4.2891,-0.36914,0,9
211,27,-0.27148,4.3379,0.19727,0,16
211,27,-0.27344,4.3789,-0.066406,0,19
211,27,0,4.4043,-0.4375,0,13
211,27,0,4.3379,0.33203,0.33461,8
211,27,0,4.3398,-0.64844,0.33461,12
211,27,0,4.2969,-1.0605,0.33461,17
211,27,-0.13672,4.0703,-1.5313,0.66921,12
211,27,0,4.2305,-1.168,0.66921,17
211,27,0,4.3438,-0.84766,0.66921,12
211,27,0,3.9473,-1.1934,-1.0038,22
211,27,0,4.0332,-1.0234,-1.0038,39
211,27,0,4.0645,-1.0586,-1.0038,35
211,27,0,4.0391,-1.2813,-1.0038,15
211,27,-0.12891,4.0371,-0.83008,-0.66921,25
211,27,0,4.0898,-0.76758,-0.66921,43
211,27,0,4.1211,-0.80469,-0.66921,37
211,27,0,4.1426,-0.89258,-0.66921,18
211,27,-0.27148,4.3184,-0.45898,-0.66921,18
211,27,-0.27344,4.3086,-0.7832,-0.66921,22
211,27,-0.26758,4.2402,-0.47852,-0.33461,14
211,27,0,4.2715,-0.5957,-0.33461,15
211,27,-0.4082,4.3281,-0.18555,-0.33461,20
211,27,-0.27344,4.3516,-0.49609,-0.33461,26
211,27,0,4.334,-0.90234,-0.33461,23
211,27,-0.27344,4.1914,-1.2734,0.66921,17
212,39,0,3.9746,-1.0977,0,12
212,39,0.13086,3.9297,-1.3633,0,16
212,39,0.13086,3.8418,-1.6895,0,9
212,39,0,4.1797,-0.90039,0,12
212,39,0,4.2207,-0.88281,0,12
212,39,-0.27344,4.377,0.16797,0,24
212,39,0,4.4258,-0.041016,0,22
212,39,0,4.0547,-0.75195,0.33461,31
212,39,0.13086,4.0684,-0.86719,0.33461,45
212,39,0.13086,4.0605,-1.0625,0.33461,30
212,39,0,4.1328,-0.93945,0.33461,17
212,39,0,4.2363,-0.58008,0.33461,32
212,39,0,4.2324,-0.82813,0.33461,27
212,39,-0.27344,4.2988,0.83594,0.33461,26
212,39,-0.13867,4.4102,0.35352,0.33461,21
212,39,5.9238,2.1816,-0.27734,0.33461,23
212,39,5.959,2.209,-0.11133,0.33461,28
212,39,6.1934,1.5742,-0.19336,0.33461,20
212,39,0,4.1113,-0.33203,0.66921,40
212,39,0.13086,4.1367,-0.44141,0.66921,64
212,39,0,4.1582,-0.5918,0.66921,48
212,39,0,4.1523,-0.83984,0.66921,19
212,39,0,4.2461,-0.5,0.66921,19
212,39,0.12891,4.1074,-0.3418,1.0038,30
212,39,0.13086,4.1289,-0.50977,1.0038,51
212,39,0.13086,4.1543,-0.59766,1.0038,43
212,39,0.13281,4.166,-0.76758,1.0038,17
212,39,0.12891,4.1074,-0.33594,1.3384,26
212,39,0.13086,4.1348,-0.45117,1.3384,44
212,39,0.13086,4.1563,-0.58398,1.3384,35
212,39,0,4.1992,-0.56055,1.3384,12
212,39,0.13086,4.1602,-0.029297,1.673,17
212,39,0.13086,4.1895,-0.25977,1.673,13
212,39,0.13086,3.9805,-1.207,-0.33461,14
212,39,0,4.1563,-1,-0.33461,15
212,39,0,4.3047,-1.0293,-0.33461,33
212,39,3.752,0,5.4844,0.33461,16
212,39,3.7734,0,5.7285,0.33461,21
212,39,-0.79883,6.3418,-0.18164,0.33461,17
213,14,-0.13477,4.3008,-0.30664,0,21
213,14,0,4.3379,-0.33398,0,32
213,14,0,4.373,-0.36523,0,28
213,14,0,4.416,-0.30469,0,17
213,14,0,4.3105,-0.13672,0.33461,25
213,14,0,4.3477,-0.18555,0.33461,43
213,14,0,4.3867,-0.12695,0.33461,53
213,14,0,4.4258,-0.11328,0.33461,41
213,14,0,4.3496,0.082031,0.66921,22
213,14,0,4.3887,0.085938,0.66921,26
213,14,0,4.4258,0.074219,0.66921,23
213,14,-0.4043,4.2891,-0.21875,-0.33461,14
213,14,-0.27148,4.3262,-0.38477,-0.33461,26
213,14,0,4.375,-0.3457,-0.33461,23
214,48,0,4.1738,-0.4707,0,10
214,48,-0.13281,4.1934,-0.5957,0,13
214,48,-0.26758,4.2461,-0.41406,0,16
214,48,-0.4043,4.1836,-0.96484,0,15
