Frame #,# Obj,X,Y,Z,Doppler,Intensity
108,4,0,3.7461,-0.52539,0.33461,16
108,4,0,3.7988,-0.41016,0.33461,20
108,4,0,3.6816,-0.875,-0.33461,12
108,4,0.23828,3.7285,-0.80078,-0.33461,14
110,4,0,3.8965,0.025391,0.33461,12
110,4,0,3.9355,-0.021484,0.33461,15
110,4,0.12109,3.873,-0.42188,-0.33461,17
110,4,0.12305,3.9023,-0.49414,-0.33461,17
114,11,0,3.3496,-0.34766,0,26
114,11,0,3.3809,-0.4082,0,41
114,11,0,3.4121,-0.4668,0,28
114,11,-0.10547,3.3613,-0.16211,0.33461,50
114,11,-0.10547,3.3965,-0.20508,0.33461,78
114,11,0,3.4297,-0.30469,0.33461,54
114,11,0,3.459,-0.39063,0.33461,14
114,11,-0.10547,3.3652,0.091797,0.66921,23
114,11,-0.10547,3.4023,0.048828,0.66921,37
114,11,-0.10742,3.4414,-0.0078125,0.66921,26
114,11,0,3.7012,-0.94922,-0.33461,19
115,18,0,3.3594,-0.55273,0,22
115,18,0,3.3965,-0.56641,0,32
115,18,0,3.4297,-0.5918,0,19
115,18,0,3.3555,-0.28125,0.33461,15
115,18,0,3.3867,-0.34375,0.33461,59
115,18,0,3.4199,-0.39844,0.33461,87
115,18,-0.10938,3.4492,-0.44727,0.33461,54
115,18,-0.21094,3.3594,-0.042969,0.66921,16
115,18,0,3.4023,-0.12695,0.66921,64
115,18,0,3.4375,-0.19727,0.66921,96
115,18,-0.10938,3.4707,-0.24805,0.66921,62
115,18,-0.10547,3.4004,0.11719,1.0038,22
115,18,0,3.4434,-0.0039063,1.0038,32
115,18,-0.10938,3.4766,-0.10352,1.0038,22
115,18,0,3.7207,-0.87109,-0.33461,22
115,18,0,3.748,-0.91797,-0.33461,23
115,18,0.12109,3.8184,-0.76563,-0.33461,23
115,18,0.12305,3.8828,-0.62695,-0.33461,23
116,16,0,3.4336,-0.57422,0,7
116,16,0,3.4648,-0.61328,0,10
116,16,0,3.4512,-0.44727,0.33461,22
116,16,0,3.4629,-0.62109,0.33461,25
116,16,-0.10742,3.4375,-0.1543,0.66921,22
116,16,0,3.4707,-0.26172,0.66921,64
116,16,0,3.5039,-0.32422,0.66921,77
116,16,0,3.5313,-0.42578,0.66921,36
116,16,-0.10742,3.4414,0.046875,1.0038,16
116,16,0,3.4805,-0.017578,1.0038,47
116,16,0,3.5176,-0.083984,1.0038,55
116,16,0,3.5527,-0.14844,1.0038,27
