Frame #,# Obj,X,Y,Z,Doppler,Intensity
229,1,0,3.4785,0.13281,0.33461,11
241,1,0,3.4707,-0.27148,-0.33461,12
260,6,0,3.4434,-0.025391,0,8
260,6,0,3.4746,-0.21875,0,11
260,6,0,3.4414,0.11133,0.33461,19
260,6,0,3.4805,0.0058594,0.33461,24
260,6,0,3.4336,-0.26563,-0.33461,20
260,6,0,3.4551,-0.41406,-0.33461,24
261,4,0,3.4434,0.058594,0.33461,14
261,4,0,3.4805,0.048828,0.33461,17
261,4,0,3.4336,-0.24805,-0.33461,13
261,4,0,3.4512,-0.45508,-0.33461,17
268,2,-0.45703,7.1777,-1.2598,0.66921,22
268,2,-0.45898,7.1816,-1.4434,0.66921,20
270,3,-0.46289,7.293,-1.2617,0,9
270,3,-0.46094,7.2559,-1.2559,0.33461,16
270,3,-0.69531,7.2813,-1.2148,0.33461,16
294,1,-0.70313,7.332,-1.3691,-0.33461,16
300,1,0,3.4805,0,0.33461,11
301,4,-0.46289,7.3965,-0.26953,0,11
301,4,-0.46094,7.3262,-0.74219,-0.33461,14
301,4,0,7.3848,-0.67969,-0.33461,18
301,4,-0.4668,7.2949,-1.459,-0.33461,14
325,3,0.10742,3.4238,0.35352,0.33461,11
325,3,0,3.4785,0.14258,0.33461,13
325,3,0,3.457,-0.40625,-0.33461,14
333,1,0,3.4688,-0.2832,-0.33461,11
22,4,-2.0527,7.8555,-1.2109,0,10
22,4,-1.8047,8.0137,-0.73828,0,10
22,4,-1.7969,7.873,-1.4785,-0.33461,22
22,4,-1.5469,8,-1.2852,-0.33461,20
153,20,0.27734,2.8379,-0.76172,0,21
153,20,0.2793,2.8652,-0.80469,0,48
153,20,0.18945,2.8828,-0.90625,0,57
153,20,0.28711,2.9004,-0.94727,0,35
153,20,0,2.8086,-0.40039,0.33461,16
153,20,0,2.8711,-0.16406,0.33461,16
153,20,0.18164,2.8789,-0.4043,0.33461,30
153,20,0.27734,2.8945,-0.50391,0.33461,59
153,20,0.2793,2.9102,-0.61719,0.33461,99
153,20,0.2832,2.9297,-0.70313,0.33461,113
153,20,0.28711,2.9434,-0.80078,0.33461,62
153,20,0.27734,2.9063,-0.43164,0.66921,24
153,20,0.1875,2.9551,-0.41016,0.66921,46
153,20,0.18945,2.9766,-0.51172,0.66921,55
