Frame #,# Obj,X,Y,Z,Doppler,Intensity
103,10,0,3.8477,-0.29688,0.33461,14
103,10,0,3.877,-0.39648,0.33461,20
103,10,0,3.9512,-0.40625,0.33461,16
103,10,0,3.9727,-0.55078,0.33461,28
103,10,0.12695,4.0195,-0.46289,0.33461,25
103,10,0,3.8184,-0.7832,-0.33461,17
103,10,0,3.7637,-1.2715,-0.33461,16
103,10,0,3.8301,-1.1875,-0.33461,27
103,10,0,3.877,-1.166,-0.33461,26
103,10,0,3.9297,-1.1211,-0.33461,15
104,15,0.25391,3.9199,-0.98242,0,10
104,15,0,3.8828,-0.33594,0.33461,19
104,15,0,3.8887,-0.60547,0.33461,17
104,15,0.125,3.9141,-0.66992,0.33461,23
104,15,0.125,3.9551,-0.65039,0.33461,42
104,15,0.25391,3.9824,-0.68164,0.33461,46
104,15,0.12695,4.0176,-0.73047,0.33461,27
104,15,0,3.9844,-0.44727,0.66921,14
104,15,0.12695,4.0156,-0.5,0.66921,16
104,15,0,3.7949,-0.88477,-0.33461,17
104,15,0,3.7441,-1.209,-0.33461,15
104,15,0,3.832,-1.0449,-0.33461,18
104,15,0.25,3.8535,-1.0801,-0.33461,29
104,15,0.25391,3.8789,-1.1328,-0.33461,30
104,15,0.25586,3.873,-1.2754,-0.33461,16
105,8,0,3.8555,-0.56445,0.33461,18
105,8,0,3.8672,-0.9082,0.33461,15
105,8,0,3.9277,-0.8125,0.33461,24
105,8,0,3.9766,-0.76172,0.33461,24
105,8,0,4,-0.83789,0.33461,16
105,8,0,3.832,-1.1797,-0.33461,23
105,8,0,3.8613,-1.2188,-0.33461,22
105,8,0,3.9102,-1.1836,-0.33461,11
106,9,-0.375,3.9707,-0.41211,0,14
106,9,-0.25391,4.0078,-0.50586,0,13
106,9,0,3.9297,-0.58203,0.33461,17
106,9,0,3.9609,-0.62695,0.33461,30
106,9,0,3.9844,-0.71094,0.33461,23
106,9,0,3.8926,-0.96289,-0.66921,15
106,9,-0.24805,3.8281,-1.0332,-0.33461,23
106,9,-0.25,3.8613,-1.0566,-0.33461,43
106,9,-0.25391,3.877,-1.1387,-0.33461,33
107,33,-0.36914,3.9043,-0.32813,0,49
107,33,-0.24805,3.9473,-0.37695,0,109
107,33,-0.25,3.9766,-0.45703,0,112
107,33,-0.25391,4.0059,-0.5293,0,67
107,33,-0.25586,4.0449,-0.52539,0,34
107,33,-0.25781,4.0684,-0.625,0,13
107,33,5.8164,1.9688,-0.88477,0,14
107,33,0,3.8457,-0.31836,0.33461,15
107,33,0,3.873,-0.4375,0.33461,28
107,33,0,3.9199,-0.33203,0.33461,20
107,33,-0.37305,3.9512,0.1582,0.33461,25
107,33,-0.25,4,0.13477,0.33461,24
107,33,0.12695,4.0273,-0.40039,0.33461,23
107,33,0.12695,4.0625,-0.41211,0.33461,20
107,33,-0.24609,3.8691,-0.66797,-0.66921,45
107,33,-0.24805,3.873,-0.84766,-0.66921,106
107,33,-0.125,3.8984,-0.93164,-0.66921,109
107,33,-0.25391,3.9199,-0.98047,-0.66921,65
107,33,-0.25586,3.9453,-1.0352,-0.66921,33
107,33,-0.38672,3.916,-1.2344,-0.66921,14
107,33,5.8164,1.4375,-1.6113,-0.66921,16
107,33,0,3.7969,-0.87305,-0.33461,19
107,33,-0.24609,3.9102,-0.37305,-0.33461,91
107,33,-0.24805,3.9219,-0.58398,-0.33461,221
107,33,-0.25,3.9473,-0.66016,-0.33461,220
107,33,-0.25391,3.9824,-0.68359,-0.33461,115
107,33,-0.38281,3.9941,-0.77148,-0.33461,50
107,33,-0.38672,4.0078,-0.89258,-0.33461,20
107,33,5.7813,1.709,-1.2988,-0.33461,20
107,33,5.623,2.2832,-1.293,-0.33461,25
107,33,-0.96875,6.1113,-0.45117,0,8
107,33,-0.77539,5.957,-1.5508,-0.66921,9
107,33,-0.77539,6.0391,-1.1914,-0.33461,14
108,33,-0.24414,3.8887,-0.019531,0,15
108,33,-0.36914,3.918,-0.03125,0,32
108,33,-0.37305,3.9551,-0.044922,0,29
108,33,0,3.998,-0.3125,0,12
108,33,-0.37891,4.0176,-0.33008,0,23
108,33,-0.38281,4.0527,-0.34766,0,18
108,33,-0.25781,4.0762,-0.57422,0,11
108,33,0,3.9316,-0.78906,0.33461,13
108,33,0.12695,3.9922,-0.66406,0.33461,13
108,33,-0.24414,3.6777,-1.2676,-1.3384,14
108,33,-0.36914,3.7051,-1.2715,-1.3384,16
108,33,-0.24414,3.7617,-0.99023,-1.0038,20
108,33,-0.24609,3.8008,-0.99023,-1.0038,28
108,33,-0.24805,3.8457,-0.96875,-1.0038,34
108,33,-0.125,3.8809,-1.0059,-1.0038,30
108,33,-0.12695,3.8906,-1.1094,-1.0038,16
108,33,5.7461,1.7617,-1.2012,-1.0038,23
108,33,5.7813,1.6094,-1.4199,-1.0038,20
108,33,-0.36914,3.9043,-0.32617,-0.66921,13
108,33,-0.24805,3.8789,-0.82031,-0.66921,36
108,33,-0.125,3.9023,-0.91602,-0.66921,60
108,33,-0.12695,3.9531,-0.86328,-0.66921,52
108,33,-0.12695,3.9707,-0.95898,-0.66921,34
108,33,-0.25781,3.9961,-0.98242,-0.66921,17
108,33,5.7813,1.8125,-1.1504,-0.66921,26
108,33,-0.48633,3.834,-0.49414,-0.33461,20
108,33,-0.24609,3.9121,-0.34961,-0.33461,46
108,33,-0.24805,3.9531,-0.29492,-0.33461,25
108,33,-0.125,3.9355,-0.76172,-0.33461,40
108,33,-0.12695,3.9922,-0.66406,-0.33461,64
108,33,-0.25586,4.0059,-0.76563,-0.33461,45
108,33,-0.25781,4.0156,-0.9043,-0.33461,23
108,33,-1.1563,5.9453,-1.1582,-0.66921,14
109,30,-0.24023,3.834,-0.35938,0,10
109,30,-0.24414,3.8867,-0.13867,0,35
109,30,-0.24609,3.9199,-0.23633,0,53
109,30,-0.125,3.9492,-0.4082,0,44
109,30,-0.125,3.9277,-0.79492,0,23
109,30,0,3.875,-0.41992,0.33461,29
109,30,0,3.9238,-0.2832,0.33461,39
109,30,0,3.9648,-0.25781,0.33461,42
109,30,0,3.9707,-0.56055,0.33461,29
109,30,0,3.9297,-0.20703,0.66921,12
109,30,-0.125,3.9707,0.042969,0.66921,16
109,30,0,3.9805,-0.49219,0.66921,14
109,30,0,3.584,-1.2109,-1.673,18
109,30,0,3.6113,-1.25,-1.673,20
109,30,0,3.6035,-1.0234,-1.3384,13
109,30,0,3.6738,-0.9043,-1.3384,27
109,30,0,3.7109,-0.91406,-1.3384,26
109,30,-0.12109,3.7969,-0.86719,-1.0038,20
109,30,0,3.8438,-0.83984,-1.0038,23
109,30,0,3.8457,-0.99219,-1.0038,15
109,30,-0.36133,3.8301,-0.30273,-0.66921,19
109,30,-0.12109,3.8613,-0.51563,-0.66921,64
109,30,-0.24609,3.873,-0.64453,-0.66921,86
109,30,-0.125,3.9102,-0.69141,-0.66921,53
109,30,0,3.9219,-0.83789,-0.66921,16
109,30,-0.24023,3.8496,-0.14453,-0.33461,19
109,30,-0.24414,3.875,-0.33008,-0.33461,69
109,30,-0.24609,3.9023,-0.43945,-0.33461,93
109,30,-0.125,3.9297,-0.56445,-0.33461,54
109,30,0,3.8887,-0.98242,-0.33461,21
110,15,0,4.0078,-0.13477,0,12
110,15,0,4.0332,-0.33984,0,11
110,15,0,3.8379,-0.66992,0.33461,18
110,15,0,3.8555,-0.78711,0.33461,22
110,15,-0.25,3.998,0.19336,0.33461,14
110,15,0,4.0391,-0.28125,0.33461,13
110,15,0.11328,3.5742,-0.63867,-1.3384,17
110,15,0.11523,3.5859,-0.76953,-1.3384,20
110,15,0,3.5977,-0.49609,-1.0038,21
110,15,0.11523,3.6348,-0.5,-1.0038,24
110,15,0,3.7988,-0.87109,-0.33461,22
110,15,0,3.8457,-0.83203,-0.33461,29
110,15,0,3.9043,-0.73828,-0.33461,18
110,15,0.25391,3.9004,-1.0566,-0.33461,22
110,15,0.25586,3.8633,-1.3066,-0.33461,20
111,21,0,3.5547,-0.085938,0,10
111,21,0.11328,3.5898,-0.15039,0,14
111,21,0.11328,3.6172,-0.31836,0,10
111,21,0,4.0039,-0.59766,0,9
111,21,-0.12109,3.8789,-0.36328,0.33461,20
111,21,0,3.9199,-0.3418,0.33461,25
111,21,0,3.9355,-0.53516,0.33461,22
111,21,0,3.9648,-0.60742,0.33461,20
111,21,0,3.9902,-0.68555,0.33461,16
111,21,0,3.9473,-0.45117,0.66921,17
111,21,0,3.9746,-0.5332,0.66921,18
111,21,0,4.0156,-0.50781,0.66921,13
111,21,0.11133,3.541,-0.30273,-0.33461,21
111,21,0.11328,3.5684,-0.41211,-0.33461,30
111,21,0.11328,3.5898,-0.53516,-0.33461,21
111,21,0,3.8379,-0.67969,-0.33461,29
111,21,0,3.8496,-0.81445,-0.33461,31
111,21,0,3.7949,-1.1777,-0.33461,23
111,21,0,3.9297,-0.80273,-0.33461,19
111,21,0.12695,3.9492,-0.87891,-0.33461,20
111,21,0.12695,3.957,-1.0117,-0.33461,16
112,6,-0.125,3.9668,-0.57813,0.33461,23
112,6,0,4.0254,-0.42188,0.33461,23
112,6,0,3.6309,-0.072266,0.66921,15
112,6,0,3.6641,-1.5371,-0.33461,18
112,6,0,3.7012,-1.5469,-0.33461,22
112,6,0,3.875,-1.1699,-0.33461,23
113,23,-0.24805,3.9551,-0.28516,0,23
113,23,-0.25,3.9824,-0.40039,0,32
113,23,-0.25391,3.9961,-0.59375,0,26
113,23,0,4.0039,-0.81836,0,14
113,23,0,3.8477,-0.30078,0.33461,15
113,23,0,3.8594,-0.54492,0.33461,17
113,23,0,3.9336,0.099609,0.33461,20
113,23,-0.125,3.9707,0.037109,0.33461,51
113,23,-0.125,4.0078,-0.074219,0.33461,59
113,23,-0.12695,4.0332,-0.32227,0.33461,48
113,23,0,4.0625,-0.42969,0.33461,31
113,23,-0.24023,3.8516,-0.041016,0.66921,16
113,23,-0.24414,3.8848,-0.20508,0.66921,17
113,23,-0.25391,4.0352,-0.18555,0.66921,21
113,23,0,4.0801,-0.22266,0.66921,19
113,23,0,3.707,0.050781,1.0038,15
113,23,0,3.6543,0.34375,1.3384,13
113,23,-0.11523,3.6895,0.33984,1.3384,22
113,23,0,3.7305,0.32813,1.3384,16
113,23,0,3.7539,-1.0488,-0.33461,14
113,23,0,3.8438,-0.83789,-0.33461,21
113,23,0,3.9316,-0.56445,-0.33461,18
113,23,0.12695,3.9609,-0.83008,-0.33461,19
114,24,-0.125,3.9473,-0.42773,0,16
114,24,0,3.9902,-0.39453,0,18
114,24,0,4.0313,-0.37305,0,13
114,24,0,3.916,0.38086,0.33461,19
114,24,-0.24805,3.9453,0.40234,0.33461,27
114,24,0,4.0098,0.087891,0.33461,34
114,24,0,4.0488,-0.011719,0.33461,23
114,24,-0.37305,3.9355,0.40039,0.66921,18
114,24,-0.25,4,0.11328,0.66921,22
114,24,-0.35742,3.7969,0.24805,1.0038,21
114,24,-0.36133,3.8379,0.18359,1.0038,18
114,24,-0.23633,3.7344,0.55859,1.3384,21
114,24,-0.23828,3.7832,0.48828,1.3384,39
114,24,-0.36133,3.8262,0.35352,1.3384,34
114,24,-0.36523,3.8711,0.24414,1.3384,13
114,24,-0.35742,3.7461,0.66602,1.673,21
114,24,-0.36133,3.7715,0.73047,1.673,18
114,24,0,3.9395,-0.51953,-0.33461,25
114,24,0,3.9746,-0.53711,-0.33461,30
114,24,0.12695,4.0078,-0.56055,-0.33461,21
114,24,-3.6602,0,-6.1016,-0.33461,32
114,24,-3.6816,0,-6.2109,-0.33461,26
114,24,-0.20313,2.1855,-6.125,-0.33461,19
114,24,-0.20508,0.66406,-6.5078,-0.33461,17
115,18,-0.37891,3.9727,-0.68359,0,9
115,18,-0.36523,3.8789,0.039063,0.33461,35
115,18,-0.36914,3.916,-0.11523,0.33461,74
115,18,-0.37305,3.9453,-0.27148,0.33461,64
115,18,-0.50195,3.9375,-0.57617,0.33461,18
115,18,-0.25391,4.041,-0.025391,0.33461,18
115,18,-0.36133,3.8145,0.45508,0.66921,15
115,18,-0.36523,3.8711,0.26367,0.66921,80
115,18,-0.36914,3.9141,0.15625,0.66921,163
115,18,-0.37305,3.9551,0.054688,0.66921,144
115,18,-0.375,3.9902,-0.11523,0.66921,56
115,18,-0.37891,4.0273,-0.15234,0.66921,18
115,18,-0.38281,4.0645,-0.16406,0.66921,17
115,18,-0.48633,3.8379,0.46289,1.0038,55
115,18,-0.36914,3.8984,0.39063,1.0038,106
115,18,-0.37305,3.9434,0.30078,1.0038,93
115,18,-0.375,3.9863,0.24023,1.0038,39
115,18,-0.61523,3.8672,0.38672,1.3384,16
116,20,-0.49219,3.9043,-0.042969,0,16
116,20,-0.37305,3.9492,-0.22461,0,40
116,20,-0.375,3.9805,-0.32227,0,43
116,20,-0.50586,3.9941,-0.42188,0,21
116,20,-0.49219,3.8965,0.22852,0.33461,31
116,20,-0.49609,3.9414,0.080078,0.33461,78
116,20,-0.50195,3.9785,-0.019531,0.33461,89
116,20,-0.63281,3.998,-0.027344,0.33461,46
116,20,-0.60938,6.3613,1.2324,0.33461,28
116,20,-0.49219,3.8574,0.5957,0.66921,23
116,20,-0.49609,3.9277,0.33594,0.66921,69
116,20,-0.62695,3.957,0.18359,0.66921,93
116,20,-0.50586,4.0156,0.09375,0.66921,57
116,20,-0.51172,4.0527,-0.10742,0.66921,16
116,20,-0.62109,3.8867,0.5332,1.0038,21
116,20,-0.62695,3.9414,0.39063,1.0038,33
116,20,-0.50586,4.0039,0.30859,1.0038,22
116,20,-0.125,3.9414,-0.47266,-0.33461,25
116,20,-0.125,3.9629,-0.60742,-0.33461,34
116,20,-0.12695,3.9766,-0.74414,-0.33461,23
117,8,-0.49609,3.9414,-0.052734,0,10
117,8,-0.50195,3.9766,-0.15234,0,16
117,8,-0.63281,3.9844,-0.3418,0,16
117,8,0,3.8906,-0.80664,0.33461,14
117,8,-0.50195,3.957,-0.4082,0.33461,18
117,8,-0.63281,3.9922,-0.21094,0.33461,24
117,8,-0.89453,3.9805,-0.23438,0.33461,12
117,8,-0.75977,3.9707,0.19922,0.66921,11
118,11,-0.37305,3.9375,-0.37891,0,11
118,11,-0.375,3.9707,-0.42578,0,15
118,11,0,3.8789,-0.36914,0.33461,15
118,11,0,3.9004,-0.51953,0.33461,19
118,11,-0.50195,3.9766,-0.13477,0.33461,17
118,11,-0.37891,4.0176,-0.33203,0.33461,18
118,11,-0.375,3.877,-0.95313,-0.66921,16
118,11,-0.37891,3.8984,-1.0195,-0.66921,14
118,11,-0.62109,3.9023,-0.40234,-0.33461,20
118,11,-0.375,3.9512,-0.57813,-0.33461,43
118,11,-0.25391,3.9785,-0.70898,-0.33461,35
119,27,0,3.8809,-0.65039,0,9
119,27,-0.37305,3.9453,-0.26367,0,12
119,27,-0.50195,3.9629,-0.36328,0,22
119,27,-0.63281,3.9551,-0.58398,0,29
119,27,-0.51172,4.0098,-0.60352,0,24
119,27,-3.2734,2.2461,5.2051,0,24
119,27,-3.498,1.9238,5.2344,0,17
119,27,-4.9473,0.83008,-0.95703,0.33461,16
119,27,-3.457,0,5.668,0.33461,31
119,27,-3.2734,0,5.7656,0.33461,54
119,27,-3.498,0,5.8965,0.33461,41
119,27,-3.4766,0,6.4688,0.66921,21
119,27,-0.50195,3.8398,-1.0449,-0.66921,25
119,27,-0.50586,3.8477,-1.1523,-0.66921,34
119,27,-0.51172,3.8867,-1.1504,-0.66921,30
119,27,-0.24609,3.8477,-0.78125,-0.33461,16
119,27,-0.37305,3.9336,-0.4082,-0.33461,31
119,27,-0.375,3.9355,-0.67188,-0.33461,49
119,27,-0.50586,3.916,-0.89063,-0.33461,59
119,27,-0.51172,3.9395,-0.95508,-0.33461,44
119,27,-0.61328,0,-6.5273,0,16
119,27,-0.61719,1.9297,6.2637,0,12
119,27,-3.0332,0,4.791,0.33461,11
119,27,-0.60938,2.7988,-5.8438,0.33461,25
119,27,-0.61328,1.5059,-6.3398,0.33461,40
119,27,-0.61719,1.1328,-6.4551,0.33461,31
119,27,-0.81836,3.0527,-5.7305,0.66921,16
120,21,0,3.8457,-0.32227,0,11
120,21,0,3.8301,-0.71875,0,14
120,21,0,3.8652,-0.73633,0,10
120,21,-0.37305,3.9375,-0.37695,0,14
120,21,-0.25,3.9922,-0.28711,0,29
120,21,-0.12695,4.0293,-0.36719,0,31
120,21,-0.12695,4.0547,-0.49023,0,16
120,21,0,3.8496,-0.2832,0.33461,35
120,21,-0.12109,3.875,-0.38672,0.33461,44
120,21,0,3.9199,-0.33594,0.33461,28
120,21,0,3.8945,0.11133,0.66921,16
