Frame #,# Obj,X,Y,Z,Doppler,Intensity
148,4,0,4.5195,-0.42969,0.33461,17
148,4,0,4.5527,-0.47461,0.33461,17
148,4,0,4.3906,-1.1543,-0.33461,15
148,4,0.14258,4.4414,-1.0977,-0.33461,15
151,12,-0.28516,4.4688,-0.95313,0,12
151,12,-0.2832,4.5098,-0.44141,0.33461,15
151,12,-0.42969,4.5156,-0.62305,0.33461,21
151,12,-0.28906,4.5684,-0.58984,0.33461,15
151,12,-0.2832,4.4023,-1.0762,-1.3384,15
151,12,0,4.3711,-1.0801,-1.0038,15
151,12,-0.2832,4.4512,-0.85352,-1.0038,16
151,12,0,4.3047,-1.5586,-0.66921,15
151,12,0,4.3672,-1.0957,-0.33461,14
151,12,0,4.3887,-1.1621,-0.33461,26
151,12,-0.28516,4.4004,-1.2285,-0.33461,29
151,12,0,4.4473,-1.2363,-0.33461,16
152,3,-0.14258,4.4629,-1.0078,0.66921,16
152,3,-0.14453,4.4785,-1.1055,0.66921,21
152,3,-0.43359,4.5137,-0.86523,1.0038,15
153,19,0,4.4258,-0.052734,0.33461,14
153,19,-0.26953,4.2891,-0.375,0.66921,28
153,19,-0.27148,4.2969,-0.62305,0.66921,33
153,19,-0.27344,4.2754,-0.95117,0.66921,17
153,19,-1.0078,2.3125,4.7441,0.66921,27
153,19,-1.0137,2.3066,4.7871,0.66921,26
153,19,-0.4043,4.2832,-0.30273,1.0038,23
153,19,-0.27148,4.3242,-0.38867,1.0038,28
153,19,-0.27344,4.3555,-0.4707,1.0038,16
153,19,-1.0078,1.1875,5.1426,1.0038,23
153,19,-1.0137,0.91016,5.2363,1.0038,23
153,19,0,4.3555,-0.78906,-0.33461,25
153,19,0,4.3594,-0.95898,-0.33461,23
153,19,0,4.4492,-0.69336,-0.33461,15
153,19,-0.2832,4.4902,-0.60547,-0.33461,17
153,19,-3.5254,0,4.332,0.66921,22
153,19,-3.5508,0,4.4531,0.66921,22
153,19,-3.5254,0,4.6484,1.0038,21
153,19,-3.7188,0,4.4785,1.0038,20
154,18,-0.42188,4.4805,-0.09375,0,11
154,18,-0.42578,4.5195,-0.070313,0,13
154,18,-0.28516,4.5664,-0.12891,0,13
154,18,0,4.3809,-0.27539,0.33461,21
154,18,-0.13867,4.4004,-0.46094,0.33461,43
154,18,-0.2793,4.4219,-0.54297,0.33461,37
154,18,-0.42188,4.3828,-0.93555,0.33461,14
154,18,-0.27734,4.4063,-0.3125,0.66921,31
154,18,-0.2793,4.4434,-0.33594,0.66921,35
154,18,-0.28125,4.4648,-0.49805,0.66921,20
154,18,-0.41406,4.4063,-0.015625,1.0038,16
154,18,-0.41797,4.4434,-0.10547,1.0038,22
154,18,-0.42188,4.4805,-0.14648,1.0038,14
154,18,0,4.3398,-0.86914,-0.33461,27
154,18,0,4.3926,-0.80078,-0.33461,28
154,18,-0.28125,4.4668,-0.49414,-0.33461,26
154,18,-0.56836,4.502,-0.11719,-0.33461,22
154,18,-0.42969,4.5566,-0.083984,-0.33461,19
155,28,-0.41211,4.3672,0.1582,0,22
155,28,-0.41406,4.4063,-0.037109,0,65
155,28,-0.2793,4.4531,-0.16016,0,81
155,28,-0.28125,4.4805,-0.34961,0,48
155,28,-0.2832,4.4844,-0.65234,0,17
155,28,-3.5996,0,5.3105,0,10
155,28,-3.8496,0,4.9824,0,9
155,28,-0.28125,4.4707,-0.44727,0.33461,17
155,28,-0.2832,4.5195,-0.32422,0.33461,22
155,28,-0.14258,4.5547,-0.44727,0.33461,18
