Frame #,# Obj,X,Y,Z,Doppler,Intensity
1729,64,1.3086,2.6621,-0.37305,0,16
1729,64,1.418,2.5977,-0.62891,0,52
1729,64,1.4355,2.6152,-0.69727,0,74
1729,64,1.6484,2.5293,-0.71875,0,79
1729,64,1.668,2.5469,-0.76758,0,101
1729,64,1.5898,2.6016,-0.90039,0,96
1729,64,1.6074,2.6641,-0.8125,0,64
1729,64,-4.6152,0,4.0938,0,26
1729,64,-4.6543,0,3.9238,0,62
1729,64,2.1992,0,4.2871,0,72
1729,64,2.2168,0,4.2266,0,43
1729,64,2.2344,0.45703,4.1855,0,19
1729,64,1.3086,2.6738,-0.26953,0.33461,33
1729,64,1.418,2.6367,-0.43945,0.33461,108
1729,64,1.4355,2.6582,-0.51172,0.33461,151
1729,64,1.6484,2.5781,-0.51367,0.33461,155
1729,64,1.668,2.6035,-0.54492,0.33461,200
1729,64,1.5898,2.6699,-0.67188,0.33461,186
1729,64,1.6074,2.7207,-0.59375,0.33461,121
1729,64,-4.6152,0,4.3613,0.33461,55
1729,64,4.5078,0,3.9941,0.33461,127
1729,64,2.0527,0,4.3555,0.33461,146
1729,64,2.0684,0,4.3164,0.33461,90
1729,64,2.2344,0,4.5859,0.33461,41
1729,64,1.3086,2.6855,-0.085938,0.66921,26
1729,64,1.418,2.6602,-0.26758,0.66921,84
1729,64,1.4355,2.6875,-0.32031,0.66921,113
1729,64,1.5508,2.6738,-0.27148,0.66921,114
1729,64,1.5703,2.7031,-0.29883,0.66921,150
1729,64,1.5898,2.7227,-0.40625,0.66921,131
1729,64,1.5078,2.8242,-0.30664,0.66921,80
1729,64,4.4707,0,4.418,0.66921,43
1729,64,4.5078,0,4.2773,0.66921,101
1729,64,2.0527,0,4.6719,0.66921,114
1729,64,2.0684,0,4.6172,0.66921,74
1729,64,2.2344,0,-4.6914,0.66921,31
1729,64,1.418,2.6719,-0.085938,1.0038,17
1729,64,1.4355,2.7031,-0.1543,1.0038,20
1729,64,1.4551,2.7402,0.0078125,1.0038,19
1729,64,1.5703,2.7188,-0.021484,1.0038,27
1729,64,1.4902,2.8066,0.017578,1.0038,21
1729,64,1.7695,2.332,-1.5859,1.0038,18
1729,64,1.7891,2.3359,-1.6367,1.0038,27
1729,64,1.7031,2.4258,-1.6777,1.0038,25
1729,64,4.3633,0,4.4258,1.0038,20
1729,64,4.5449,0,4.5762,1.0038,24
1729,64,1.4355,2.5488,-0.91406,-0.33461,13
1729,64,1.5508,2.543,-0.86719,-0.33461,15
1729,64,1.668,2.4961,-0.91992,-0.33461,19
1729,64,1.6875,2.4883,-1.0273,-0.33461,16
1729,64,2.0195,0.73242,4.0859,0,19
1729,64,2.0352,0.86328,4.0938,0,57
1729,64,-4.5449,0,4.0938,0,68
1729,64,4.582,0,3.4238,0,36
1729,64,4.4688,0,3.6484,0,16
1729,64,2.0195,0,4.459,0.33461,38
1729,64,2.1816,0,-4.623,0.33461,116
1729,64,-4.6914,0,4.1387,0.33461,141
1729,64,4.582,0,3.7559,0.33461,78
1729,64,4.6172,0,4.1133,0.33461,38
1729,64,2.3086,1.6641,-3.6348,0.66921,29
1729,64,2.0352,0,-4.5684,0.66921,86
1729,64,-4.6914,0,4.4824,0.66921,113
1729,64,-4.7285,0,4.4609,0.66921,66
1730,64,1.3242,2.7168,-0.17773,0,17
1730,64,1.4355,2.6699,-0.44531,0,71
1730,64,1.4551,2.6816,-0.56836,0,120
1730,64,1.5703,2.6582,-0.57617,0,146
1730,64,1.5898,2.6738,-0.65234,0,204
1730,64,1.6074,2.6973,-0.69531,0,182
1730,64,1.627,2.7715,-0.50391,0,122
1730,64,1.6465,2.8438,-0.20117,0,89
1730,64,1.6641,2.8828,-0.019531,0,45
1730,64,-4.6914,0,3.9258,0,29
1730,64,4.582,0,3.5273,0,22
1730,64,2.4023,0,-4.418,0,20
1730,64,1.3242,2.7207,-0.058594,0.33461,33
1730,64,1.4355,2.6914,-0.28516,0.33461,138
1730,64,1.4551,2.7129,-0.38672,0.33461,237
1730,64,1.4727,2.7461,-0.39648,0.33461,295
1730,64,1.5898,2.7129,-0.45898,0.33461,421
1730,64,1.6074,2.7402,-0.49414,0.33461,372
1730,64,1.627,2.8027,-0.28125,0.33461,254
1730,64,1.543,2.9082,0.013672,0.33461,178
1730,64,1.7695,2.8047,0.29492,0.33461,92
1730,64,-4.6914,0,4.1367,0.33461,54
1730,64,4.582,0,3.9121,0.33461,42
1730,64,2.4023,1.5938,-3.8438,0.33461,38
1730,64,4.541,0,-4.582,0.33461,41
1730,64,1.418,2.668,0.16211,0.66921,23
1730,64,1.4355,2.7051,-0.10352,0.66921,95
1730,64,1.4551,2.7324,-0.21875,0.66921,169
1730,64,1.4727,2.7637,-0.23047,0.66921,223
1730,64,1.5898,2.7383,-0.27148,0.66921,309
1730,64,1.6074,2.7715,-0.27734,0.66921,274
1730,64,1.627,2.8164,-0.074219,0.66921,196
1730,64,1.6465,2.8457,0.17773,0.66921,148
1730,64,1.6641,2.8711,0.26758,0.66921,86
1730,64,4.5449,0,4.3574,0.66921,34
1730,64,4.582,0,4.2773,0.66921,25
1730,64,2.252,2.2813,-3.5801,0.66921,29
1730,64,4.541,0,-4.7793,0.66921,35
1730,64,1.3398,2.7559,0.0019531,1.0038,13
1730,64,1.3574,2.7871,-0.11328,1.0038,28
1730,64,1.4727,2.7695,-0.15234,1.0038,43
1730,64,1.5898,2.75,-0.085938,1.0038,54
1730,64,1.6074,2.7832,-0.082031,1.0038,47
1730,64,1.627,2.8145,0.1543,1.0038,38
1730,64,1.543,2.8945,0.27539,1.0038,32
1730,64,1.6133,2.4395,-1.8145,1.0038,36
1730,64,1.7402,2.5098,-1.668,1.0038,41
1730,64,1.5957,2.5957,-1.5195,1.3384,23
1730,64,1.7207,2.5469,-1.5508,1.3384,52
1730,64,1.7402,2.623,-1.4863,1.3384,53
1730,64,1.6133,2.707,-1.3867,1.673,25
1730,64,1.6309,2.7754,-1.3242,1.673,25
1730,64,1.4551,2.6387,-0.74023,-0.33461,18
1730,64,1.5703,2.5918,-0.82617,-0.33461,22
1730,64,1.5898,2.6348,-0.79492,-0.33461,30
1730,64,1.6074,2.6602,-0.82422,-0.33461,27
1730,64,1.627,2.7246,-0.72266,-0.33461,22
1730,64,1.6465,2.7227,-0.8457,-0.33461,23
1730,64,1.5605,2.7539,-1.0313,-0.33461,17
1730,64,2.7852,2.5566,-2.7773,0,25
1730,64,2.5117,0,-4.0293,0,21
1730,64,4.5039,0,-4.2578,0,17
1730,64,2.7852,2.9258,-2.3867,0.33461,46
1730,64,2.5117,1.4648,-3.7285,0.33461,40
1731,42,1.4551,2.6992,-0.46875,0,15
1731,42,1.5703,2.6582,-0.57813,0,26
1731,42,1.3906,2.6309,-1.1172,0,25
1731,42,1.5078,2.7148,-0.83594,0,61
1731,42,1.5254,2.8027,-0.63477,0,78
1731,42,1.543,2.8613,-0.51953,0,53
1731,42,1.5605,2.8613,-0.67773,0,43
1731,42,1.6836,2.8359,-0.67578,0,42
1731,42,-4.6172,0,4.0117,0,26
1731,42,5.5879,2.041,-1.6211,0,22
1731,42,1.4551,2.7207,-0.33398,0.33461,29
1731,42,1.5703,2.6934,-0.36914,0.33461,47
1731,42,1.1914,2.6484,-1.2891,0.33461,46
1731,42,1.5078,2.7578,-0.68164,0.33461,127
1731,42,1.5254,2.8418,-0.43164,0.33461,165
1731,42,1.543,2.8926,-0.30078,0.33461,108
1731,42,1.5605,2.9121,-0.41602,0.33461,90
1731,42,1.4727,3.0039,-0.375,0.33461,86
1731,42,-4.7676,0,4.3105,0.33461,50
1731,42,4.6914,0,4.2676,0.33461,33
1731,42,5.3965,2.707,-1.2578,0.33461,41
1731,42,1.4551,2.7363,-0.13477,0.66921,20
1731,42,1.5703,2.7129,-0.17578,0.66921,29
1731,42,1.0918,2.6836,-1.3027,0.66921,36
1731,42,1.4063,2.8594,-0.42773,0.66921,107
1731,42,1.5254,2.8633,-0.25195,0.66921,134
1731,42,1.543,2.9063,-0.10938,0.66921,78
1731,42,1.5605,2.9395,-0.091797,0.66921,63
1731,42,1.4727,3.0273,-0.089844,0.66921,61
1731,42,-4.7676,0,4.6543,0.66921,44
1731,42,-4.8047,0,-4.3203,0.66921,28
1731,42,4.6914,0,4.541,0.66921,25
1731,42,5.3965,2.8145,-0.99609,0.66921,25
1731,42,1.5078,2.8379,-0.10352,1.0038,29
1731,42,1.5254,2.875,0.013672,1.0038,33
1731,42,1.4395,2.957,0.14648,1.0038,16
1731,42,3.1289,2.877,-2.1602,0,17
1731,42,3.1289,3.0723,-1.8711,0.33461,32
1731,42,2.7246,3.3535,-2.1895,0.33461,30
1731,42,2.8301,3.1094,-2.248,0.66921,27
1731,42,2.5527,3.0332,-2.7148,0.66921,22
1731,42,2.875,3.6309,-1.4141,0.66921,20
213,21,0.1875,1.9512,-0.42188,0,12
213,21,0.19141,2.0156,-0.27539,0,10
213,21,0.18164,1.8301,-0.58008,0.33461,13
213,21,0.060547,1.9199,-0.42773,0.33461,31
213,21,0.0625,1.957,-0.42773,0.33461,42
213,21,0.064453,1.9746,-0.52344,0.33461,34
