Frame #,# Obj,X,Y,Z,Doppler,Intensity
104,28,-0.13672,4.2793,-0.77539,0,13
104,28,-0.13672,4.3633,-0.45898,0,30
104,28,-0.13867,4.4063,-0.39648,0,36
104,28,-0.2793,4.4277,-0.49414,0,27
104,28,-0.42188,4.4473,-0.56445,0,19
104,28,0,4.293,-0.41016,0.33461,11
104,28,0,4.3496,-0.10352,0.33461,19
104,28,0,4.3887,0.068359,0.33461,34
104,28,0,4.4258,0.0078125,0.33461,37
104,28,0,4.4609,-0.16797,0.33461,21
104,28,0,4.166,-1.252,-0.66921,16
104,28,0,4.2617,-1.0508,-0.66921,28
104,28,0,4.332,-0.91016,-0.66921,34
104,28,0,4.375,-0.89453,-0.66921,27
104,28,-0.28125,4.3867,-0.97852,-0.66921,20
104,28,0,4.2598,-0.88477,-0.33461,39
104,28,-0.13672,4.334,-0.67773,-0.33461,81
104,28,0,4.3809,-0.64063,-0.33461,93
104,28,0,4.4102,-0.69336,-0.33461,65
104,28,-0.28125,4.4277,-0.76563,-0.33461,40
104,28,-0.42578,4.4082,-1,-0.33461,27
104,28,0,4.6309,-0.45508,-0.33461,23
104,28,-5.2773,0.72656,-1.1387,-0.33461,17
104,28,-5.4863,0,-1.2969,-0.33461,14
104,28,6.0645,1.2422,-1.877,-0.33461,19
104,28,-3.4043,1.5645,3.9551,-0.33461,14
104,28,-3.4277,1.6992,3.9316,-0.33461,12
104,28,-1.0117,6.1641,-1.6816,-0.33461,10
105,23,-0.13672,4.334,-0.34961,0,29
105,23,0,4.3633,-0.46484,0,46
105,23,0,4.3945,-0.5293,0,34
105,23,0,4.4414,-0.45703,0,13
105,23,0,4.3125,-0.029297,0.33461,21
105,23,-0.13672,4.3496,0.029297,0.33461,22
105,23,-0.13281,4.1309,-1.0938,-1.673,26
105,23,0,4.1582,-1.1445,-1.673,26
105,23,-0.13281,4.1445,-0.87109,-1.3384,17
105,23,-0.13281,4.1699,-0.9375,-1.3384,42
105,23,0,4.207,-0.94922,-1.3384,43
105,23,0,4.2324,-1.0117,-1.3384,17
105,23,-0.26758,4.2266,-0.58789,-1.0038,25
105,23,0,4.2734,-0.57617,-1.0038,29
105,23,-0.27148,4.2988,-0.60742,-1.0038,20
105,23,0,4.2598,-1.0547,-0.66921,29
105,23,0,4.2949,-1.0703,-0.66921,27
105,23,0,4.334,-1.0723,-0.66921,20
105,23,0,4.2012,-0.97656,-0.33461,19
105,23,0,4.3047,-0.63477,-0.33461,56
105,23,0,4.3398,-0.64844,-0.33461,85
105,23,0,4.373,-0.67969,-0.33461,65
105,23,0,4.3887,-0.82031,-0.33461,31
106,45,0,4.3047,-0.2832,0,27
106,45,0,4.3281,-0.44531,0,38
106,45,0,4.3516,-0.57617,0,35
106,45,0,4.3574,-0.77539,0,30
106,45,0,4.3613,-0.95508,0,21
106,45,0,4.2695,-0.20898,0.33461,26
106,45,0,4.3125,-0.10352,0.33461,70
106,45,0,4.3477,-0.15625,0.33461,86
106,45,0,4.3789,-0.28516,0.33461,61
106,45,0,4.3926,-0.54102,0.33461,42
106,45,0,4.4102,-0.68945,0.33461,34
106,45,0,4.3926,-0.98242,0.33461,18
106,45,0,4.3125,0.11133,0.66921,26
106,45,0,4.3496,0.10742,0.66921,33
106,45,0,4.3887,-0.089844,0.66921,26
106,45,0,4.418,-0.26758,0.66921,22
106,45,0,4.4531,-0.32813,0.66921,18
106,45,-0.63281,2.7871,2.8672,2.3422,18
106,45,-0.63867,2.8555,2.8535,2.3422,33
106,45,-0.64453,2.9512,2.8066,2.3422,28
106,45,0,3.8984,-1.0938,-2.6769,35
106,45,0,3.9395,-1.082,-2.6769,57
106,45,0,3.9922,-1.0371,-2.6769,44
106,45,0,4.0273,-1.0488,-2.6769,15
106,45,-0.12695,3.9375,-0.93555,-2.3422,27
106,45,0,3.9824,-0.91406,-2.3422,40
106,45,0,4.0117,-0.95703,-2.3422,27
106,45,0,4,-0.83008,-2.0076,20
106,45,-0.12891,4.0137,-0.93945,-2.0076,16
106,45,-5.1836,0,-1.2949,-2.0076,12
106,45,-5.2207,0,-1.5586,-2.0076,19
106,45,-5.2598,0,-1.7578,-2.0076,14
106,45,-5.0586,0.54688,-1.1738,-1.673,23
106,45,-5.2598,0,-1.4922,-1.673,19
106,45,5.0938,0.73828,-1.0762,-1.3384,12
106,45,0,4.2754,-0.56836,-0.66921,22
106,45,-0.27148,4.2715,-0.78125,-0.66921,21
106,45,0,4.2793,-0.5332,-0.33461,31
106,45,0,4.2988,-0.67383,-0.33461,31
106,45,-3.0781,1.8203,3.752,-2.0076,10
106,45,-3.0996,2.1055,3.6348,-2.0076,16
106,45,-3.2871,2.293,3.4063,-2.0076,11
