Frame #,# Obj,X,Y,Z,Doppler,Intensity
301,6,0.14453,4.6016,-0.33984,0.33461,16
301,6,0,4.6055,-0.66992,0.33461,15
301,6,0.28906,4.5547,-0.6875,-0.33461,15
301,6,0.14453,4.4922,-1.2031,-0.33461,18
301,6,0.29297,4.4668,-1.4023,-0.33461,15
301,6,0.44336,4.4707,-1.4785,-0.33461,14
302,12,0.14258,4.5586,-0.38867,0.33461,38
302,12,0.14453,4.5742,-0.60352,0.33461,60
302,12,0.14453,4.5977,-0.70898,0.33461,46
302,12,0.14648,4.6035,-0.89063,0.33461,18
302,12,0,4.6055,-0.31055,0.66921,20
302,12,0,4.6191,-0.56641,0.66921,15
302,12,0.14453,4.291,-1.6973,-0.66921,21
302,12,0.14453,4.3398,-1.6738,-0.66921,19
302,12,0.28516,4.4297,-1.1191,-0.33461,35
302,12,0.43359,4.4199,-1.2598,-0.33461,62
302,12,0.29102,4.457,-1.3027,-0.33461,57
302,12,0.29297,4.4805,-1.3574,-0.33461,30
303,19,0,4.5137,-0.49023,0,11
303,19,0,4.543,-0.56445,0,10
303,19,0.28906,4.4902,-1.0273,0,10
303,19,0,4.4648,-1.3145,0,11
303,19,0.14258,4.5508,-0.46875,0.33461,20
303,19,0.28906,4.4883,-1.0371,0.33461,29
303,19,0.29102,4.5391,-0.98242,0.33461,27
303,19,0.29297,4.6074,-0.83008,0.33461,20
303,19,0.14258,4.4453,-1.0859,-0.66921,14
303,19,0,4.4766,-0.47656,-0.33461,14
303,19,0.14258,4.5059,-0.54492,-0.33461,30
303,19,0.14258,4.4824,-0.91992,-0.33461,35
303,19,0.28906,4.4023,-1.3574,-0.33461,28
303,19,0.58203,4.1738,-1.9727,-0.33461,15
303,19,3.8184,0.56445,5.1445,-0.33461,15
303,19,-0.60742,6.2715,-1.4668,-0.33461,24
303,19,-0.60938,6.3164,-1.4434,-0.33461,26
303,19,-0.60352,6.2051,-1.5801,-0.33461,15
303,19,3.8418,0.87109,5.1328,-0.33461,17
304,16,0,4.502,0.0078125,0,18
304,16,0,4.5391,-0.037109,0,16
304,16,0.14258,4.5488,-0.49219,0.33461,25
304,16,0.14453,4.5586,-0.70703,0.33461,48
304,16,0.29102,4.5586,-0.89063,0.33461,45
304,16,0.29297,4.5938,-0.9082,0.33461,20
304,16,0.14453,4.5977,-0.38086,0.66921,16
304,16,0.14453,4.6035,-0.66797,0.66921,16
304,16,0,4.4805,-0.44922,-0.66921,24
304,16,0,4.5195,-0.42773,-0.66921,24
304,16,0,4.4609,0.15234,-0.33461,15
304,16,0,4.5,-0.16211,-0.33461,34
304,16,0,4.5391,-0.125,-0.33461,29
304,16,0.14453,4.4199,-1.3242,-0.33461,40
304,16,0.29102,4.457,-1.3086,-0.33461,42
304,16,0.14648,4.5371,-1.1875,-0.33461,31
305,9,0.14258,4.5723,-0.19141,0.33461,17
305,9,0.14453,4.6074,-0.22656,0.33461,21
305,9,0.14453,4.6426,-0.28516,0.33461,15
305,9,0.29297,4.6797,-0.14844,0.33461,14
305,9,0.14844,4.7227,-0.20508,0.33461,20
305,9,0.14844,4.75,-0.37891,0.33461,21
305,9,0.14258,4.4766,-0.94336,-0.33461,15
305,9,0.28906,4.4961,-1.002,-0.33461,23
305,9,0.14453,4.5449,-0.99219,-0.33461,21
306,12,0.14258,4.5742,0.076172,0.33461,27
306,12,0.14453,4.6133,-0.072266,0.33461,26
306,12,0,4.252,-0.4375,-1.673,21
306,12,0,4.2949,-0.38672,-1.673,31
306,12,0,4.3223,-0.50391,-1.673,28
306,12,0,4.2715,-0.15625,-1.3384,24
306,12,0,4.3125,-0.091797,-1.3384,38
306,12,0,4.3477,-0.16211,-1.3384,33
306,12,0,4.3789,-0.30469,-1.3384,18
306,12,0.14453,4.5879,-0.49023,-0.33461,21
306,12,0.14453,4.6309,-0.44141,-0.33461,22
306,12,0.14648,4.6602,-0.52539,-0.33461,17
307,18,0,4.5625,-0.37891,0,16
307,18,0,4.5859,-0.51563,0,15
307,18,0.14258,4.5684,0.25977,0.33461,22
307,18,0.14453,4.6113,-0.12891,0.33461,20
307,18,0,6.2363,0.28516,0.33461,13
307,18,0,6.2773,0.19531,0.33461,16
307,18,0,4.1172,-0.24414,-2.0076,17
307,18,0.13086,4.1523,-0.25,-2.0076,26
307,18,0,4.1875,-0.33008,-2.0076,19
307,18,0,4.1621,-0.048828,-1.673,24
307,18,0,4.1973,-0.1582,-1.673,23
307,18,-6.2051,0,-0.54883,-1.0038,14
307,18,0.14258,4.5293,-0.65625,-0.66921,19
307,18,0.28906,4.5273,-0.84766,-0.66921,17
307,18,0.14258,4.5176,-0.43359,-0.33461,23
307,18,0.14258,4.5352,-0.60156,-0.33461,48
307,18,0.28906,4.5586,-0.6582,-0.33461,45
307,18,-0.77539,6.0879,-0.91602,-1.0038,13
308,2,0,4.5039,-1.0117,-0.33461,27
308,2,0.14453,4.3887,-1.5391,-0.33461,17
309,7,0.14258,4.5508,-0.48438,0.33461,21
309,7,0.14453,4.5801,-0.54883,0.33461,30
309,7,0,4.5977,-0.72266,0.33461,21
309,7,0.14453,4.418,-1.3262,-0.66921,15
309,7,0.28516,4.4355,-1.0977,-0.33461,33
309,7,0.28906,4.4473,-1.2031,-0.33461,45
309,7,0.14453,4.4668,-1.2949,-0.33461,33
310,5,0.14453,4.5957,-0.4043,0.33461,27
310,5,0.14453,4.6133,-0.5957,0.33461,18
310,5,0.14258,4.5586,-0.40039,-0.33461,16
310,5,0.14453,4.5449,-0.78711,-0.33461,31
310,5,0.29102,4.5293,-1.0234,-0.33461,26
311,6,0.14258,4.5645,-0.31445,0.33461,23
311,6,0.14453,4.5977,-0.38672,0.33461,28
311,6,0.14453,4.6426,-0.29492,0.33461,18
311,6,0.28516,4.4863,-0.86133,-0.33461,29
311,6,0.28906,4.4961,-1.0039,-0.33461,37
311,6,0.14453,4.541,-1.002,-0.33461,24
332,4,0,4.5645,-0.34766,0.33461,22
332,4,0.14453,4.5781,-0.57031,0.33461,16
332,4,0.28516,4.4531,-1.0215,-0.33461,19
332,4,0.14453,4.4258,-1.3008,-0.33461,15
333,14,0,4.5,0.12695,0,21
333,14,0,4.5391,0.015625,0,33
333,14,0,4.5781,-0.015625,0,28
333,14,0,4.6152,-0.076172,0,12
333,14,0.29492,4.707,-0.35742,0.33461,22
333,14,0.29883,4.7266,-0.55078,0.33461,20
333,14,0,4.4863,-0.38281,-0.66921,36
333,14,0,4.5156,-0.47852,-0.66921,62
333,14,0,4.5371,-0.60352,-0.66921,53
333,14,0,4.5762,-0.59961,-0.66921,23
333,14,0,4.5,-0.12305,-0.33461,45
333,14,0,4.5352,-0.20703,-0.33461,78
333,14,0,4.5664,-0.33203,-0.33461,65
333,14,0,4.5957,-0.42969,-0.33461,26
334,24,0.14258,4.5566,-0.41406,0,20
334,24,0.14453,4.5801,-0.55469,0,20
334,24,0,4.6094,-0.64063,0,13
334,24,0,4.6875,-0.19727,0,13
334,24,0,4.9512,-0.21484,0,15
334,24,0,4.9609,-0.57227,0,12
334,24,0.14258,4.5371,-0.048828,0.33461,26
334,24,0.14258,4.5742,-0.11133,0.33461,57
334,24,0.14453,4.5977,-0.39258,0.33461,63
334,24,0.14453,4.6211,-0.52148,0.33461,46
334,24,0,4.6777,-0.35742,0.33461,24
334,24,0,4.5781,0.029297,0.66921,21
334,24,0,4.6133,-0.15625,0.66921,23
334,24,0,4.6367,-0.40625,0.66921,15
334,24,0,4.4102,-0.38086,-1.3384,22
334,24,0,4.4395,-0.46484,-1.3384,25
334,24,0,4.4238,-0.14258,-1.0038,31
334,24,0,4.4629,-0.14258,-1.0038,36
334,24,0,4.4941,-0.25977,-1.0038,17
334,24,0.28516,4.5176,-0.67773,-0.33461,24
334,24,0.14453,4.5039,-0.99609,-0.33461,28
334,24,0.14453,4.5059,-1.1563,-0.33461,23
334,24,0,4.9316,-0.49609,-0.33461,29
334,24,0,4.9473,-0.68164,-0.33461,25
335,12,0.14258,4.5273,-0.31445,0.33461,19
335,12,0.14258,4.5684,-0.24219,0.33461,44
335,12,0.14453,4.6016,-0.32422,0.33461,55
335,12,0.14453,4.6426,-0.29688,0.33461,40
335,12,0,4.6152,0.11328,0.66921,19
335,12,0,4.3105,-0.14844,-1.3384,24
335,12,0,4.3457,-0.19336,-1.3384,24
335,12,0,4.3516,0.017578,-1.0038,16
335,12,0.14258,4.498,-0.8418,-0.33461,27
335,12,0.14453,4.5156,-0.94141,-0.33461,35
335,12,0.14453,4.5723,-0.85352,-0.33461,27
335,12,0.14648,4.6523,-0.58398,-0.33461,14
336,16,0,4.6133,0.16211,0.33461,27
336,16,0.14453,4.6504,-0.12695,0.33461,25
336,16,0.14648,4.6836,-0.21289,0.33461,16
336,16,0,4.1602,-0.12891,-1.673,19
336,16,0,4.1934,-0.23047,-1.673,24
336,16,0,4.1602,0.10547,-1.3384,28
336,16,0,4.1973,0.10547,-1.3384,27
336,16,0,4.2344,-0.15625,-1.3384,17
