Frame #,# Obj,X,Y,Z,Doppler,Intensity
918,1,-0.98633,6.2305,-0.36914,-0.33461,14
116,9,0.13867,4.4277,-0.55078,0,11
116,9,0.13867,4.4219,-0.14063,0.33461,16
116,9,0,4.4531,-0.31641,0.33461,23
116,9,-0.66016,6.9512,-0.86719,0.33461,23
116,9,-0.66406,6.9941,-0.83398,0.33461,22
116,9,0.29883,4.5664,-1.334,-0.66921,18
116,9,0.30078,4.6113,-1.3164,-0.66921,26
116,9,0.29883,4.6406,-1.0488,-0.33461,51
116,9,0.30078,4.6641,-1.1191,-0.33461,72
117,32,0.14063,4.4199,-0.84375,0,11
117,32,0.14258,4.457,-0.85156,0,9
117,32,0,4.5098,-0.78711,0,11
117,32,0.14453,4.5723,-0.61719,0,23
117,32,0.14453,4.6035,-0.67188,0,30
117,32,0.14648,4.6348,-0.70898,0,24
117,32,0.13867,4.4512,-0.31445,0.33461,15
117,32,0.14063,4.4688,-0.53125,0.33461,28
117,32,0.14258,4.4883,-0.66602,0.33461,26
117,32,0.14258,4.5586,-0.39844,0.33461,24
117,32,0,4.5977,-0.40234,0.33461,40
117,32,0,4.6289,-0.47266,0.33461,54
117,32,0.14648,4.6543,-0.57031,0.33461,46
117,32,0,4.4648,0.048828,0.66921,17
117,32,0.14063,4.4941,-0.23242,0.66921,33
117,32,0.14258,4.5176,-0.43359,0.66921,30
117,32,0.14258,4.5645,-0.32617,0.66921,15
117,32,0,4.6152,-0.11133,0.66921,20
117,32,0,4.6465,-0.26953,0.66921,24
117,32,0.14063,4.5,0.080078,1.0038,19
117,32,0.14258,4.5352,-0.17773,1.0038,21
117,32,0,4.5762,-0.12109,1.0038,12
117,32,0.14453,4.4316,-1.4121,-0.66921,20
117,32,0.29297,4.4883,-1.334,-0.66921,22
117,32,0,4.4297,-1.2988,-0.33461,23
117,32,0.14453,4.5137,-1.1211,-0.33461,52
117,32,0.29297,4.5547,-1.0859,-0.33461,56
117,32,0,4.5215,-1.3867,-0.33461,14
117,32,0.44727,4.5488,-1.3555,-0.33461,35
117,32,0.45117,4.6191,-1.2402,-0.33461,30
117,32,2.5176,4.5879,-1.2129,-0.33461,40
117,32,-0.83984,5.1074,-1.4355,-0.33461,21
118,24,0.2832,4.5,-0.5293,0,18
118,24,0.14258,4.5391,-0.58203,0,21
118,24,0.28906,4.5273,-0.84766,0,12
118,24,0.43555,4.3145,-1.6855,0,18
118,24,0.44727,4.5176,-1.457,0,25
118,24,0,4.498,-0.17773,0.33461,15
118,24,0.14258,4.5313,-0.25586,0.33461,34
118,24,0.14258,4.5527,-0.46289,0.33461,36
118,24,0.28906,4.5547,-0.68945,0.33461,24
118,24,0.14453,4.5742,-0.8418,0.33461,16
118,24,0,4.5391,0.080078,0.66921,19
118,24,0.14258,4.5723,-0.16602,0.66921,16
118,24,0.14453,4.6094,-0.21094,0.66921,16
118,24,0.14453,4.6465,-0.22852,0.66921,14
118,24,0.43555,4.1602,-2.0391,-0.66921,15
118,24,0.44336,4.2559,-2.0137,-0.66921,13
118,24,0.29883,4.375,-1.8672,-0.66921,21
118,24,0.30078,4.3848,-1.9414,-0.66921,17
118,24,0.28906,4.252,-1.7734,-0.33461,15
118,24,0.43555,4.334,-1.6367,-0.33461,39
118,24,0.43945,4.3066,-1.8066,-0.33461,31
118,24,0.5918,4.2305,-2.0313,-0.33461,26
118,24,0.44727,4.4551,-1.6367,-0.33461,51
118,24,0.45117,4.5391,-1.5117,-0.33461,40
119,24,0,4.4902,-0.66992,0,11
119,24,0,4.5,-0.83789,0,29
119,24,0.14453,4.5137,-0.95703,0,42
119,24,0.29102,4.543,-0.96875,0,51
119,24,0.14648,4.584,-0.98633,0,45
119,24,0.14844,4.5703,-1.2031,0,28
119,24,0.14258,4.5684,-0.24219,0.33461,38
119,24,0.28906,4.5898,-0.38281,0.33461,57
119,24,0.29102,4.6152,-0.51953,0.33461,45
119,24,0.29297,4.6563,-0.48828,0.33461,35
119,24,0.29492,4.6953,-0.48438,0.33461,23
119,24,0.14258,4.5742,0.10156,0.66921,19
119,24,0.14453,4.6133,-0.083984,0.66921,29
119,24,0.14453,4.6426,-0.28906,0.66921,25
119,24,0.14648,4.6758,-0.34766,0.66921,17
119,24,0.28906,4.2422,-1.7969,-0.66921,20
119,24,0.29102,4.3301,-1.6797,-0.66921,27
119,24,0.14648,4.3711,-1.6973,-0.66921,25
119,24,0.14844,4.3398,-1.873,-0.66921,22
119,24,0,4.2832,-1.6172,-0.33461,20
119,24,0.28906,4.3672,-1.4648,-0.33461,47
119,24,0.29102,4.4336,-1.3809,-0.33461,59
119,24,0.14648,4.4707,-1.4121,-0.33461,54
119,24,0.29492,4.502,-1.4199,-0.33461,48
120,25,0.14258,4.5723,-0.18359,0,11
120,25,0.14453,4.5957,-0.40039,0,24
120,25,0.14453,4.6289,-0.45508,0,18
120,25,0,4.6875,-0.16602,0,9
120,25,0,4.6504,-0.85547,0,15
120,25,0.14844,4.6797,-0.89453,0,12
120,25,0.14258,4.5703,-0.20898,0.33461,33
120,25,0.14453,4.6035,-0.29492,0.33461,70
120,25,0.14453,4.6348,-0.38086,0.33461,70
120,25,0.14648,4.6621,-0.49609,0.33461,39
120,25,0.14844,4.7109,-0.39648,0.33461,22
120,25,0,4.5781,-0.052734,0.66921,13
120,25,0,4.6152,0.033203,0.66921,30
120,25,0.14453,4.6504,-0.023438,0.66921,30
120,25,0,4.6895,-0.11719,0.66921,17
120,25,0.28906,4.2148,-1.8574,-0.66921,22
120,25,0.43555,4.0957,-2.166,-0.66921,20
120,25,0.29297,4.291,-1.873,-0.66921,13
