Frame #,# Obj,X,Y,Z,Doppler,Intensity
247,5,0.25,3.9277,-0.76758,0.33461,15
247,5,0.375,3.8555,-1.0352,-0.33461,21
247,5,0.37891,3.8535,-1.1797,-0.33461,17
247,5,0.51563,3.877,-1.3105,-0.33461,22
247,5,0.51953,3.9258,-1.2793,-0.33461,26
248,8,0.51172,3.8867,-1.1563,0,10
248,8,0.38672,3.8887,-1.3164,0,8
248,8,0.25,3.9727,-0.48438,0.33461,24
248,8,0.25391,4.0156,-0.44727,0.33461,20
248,8,0.375,3.8398,-1.0938,-0.33461,31
248,8,0.37891,3.877,-1.1035,-0.33461,31
248,8,0.51172,3.8125,-1.3809,-0.33461,26
248,8,0.51563,3.7461,-1.6445,-0.33461,20
249,9,0.51172,3.9277,-1.0039,0,12
249,9,0.51563,3.9941,-0.88477,0,13
249,9,0.51172,3.9766,-0.78711,0.33461,19
249,9,0.38672,4.0488,-0.68555,0.33461,20
249,9,0.51563,3.8359,-1.4219,-0.66921,14
249,9,0.50586,3.7695,-1.3867,-0.33461,18
249,9,0.63867,3.8262,-1.2813,-0.33461,37
249,9,0.64453,3.8887,-1.2129,-0.33461,41
249,9,0.65039,3.9297,-1.2031,-0.33461,24
250,7,0.125,3.8828,-0.82813,0.33461,18
250,7,0.25,3.9258,-0.78516,0.33461,23
250,7,0.37891,3.9395,-0.84961,0.33461,14
250,7,0.25,3.5762,-1.7988,-0.66921,11
250,7,0.24805,3.7012,-1.4199,-0.33461,27
250,7,0.375,3.75,-1.3691,-0.33461,33
250,7,0.37891,3.748,-1.4805,-0.33461,21
251,1,0.11328,3.5293,-0.67383,-0.33461,14
252,2,0,3.5469,-0.24805,0.33461,12
252,2,0,3.5859,-0.25,0.33461,14
253,13,0.11328,3.541,-0.61133,0,21
253,13,0.11328,3.5586,-0.71875,0,23
253,13,0.11523,3.5488,-0.92383,0,10
253,13,2.2559,0.88281,3.1973,0,13
253,13,2.2773,0.22266,3.3398,0,16
253,13,0.11133,3.5527,-0.12695,0.33461,13
253,13,0.22461,3.5742,-0.30469,0.33461,38
253,13,0.22656,3.6035,-0.40234,0.33461,42
253,13,0.11523,3.5957,-0.72266,0.33461,18
253,13,0,3.5938,-0.087891,0.66921,22
253,13,0.11328,3.627,-0.1582,0.66921,25
253,13,0.25,1.5508,3.6895,0,11
253,13,0.25391,2.5586,3.127,0,15
254,15,0.11328,3.5488,-0.56055,0,21
254,15,0.11328,3.5762,-0.62305,0,44
254,15,0.22852,3.582,-0.76758,0,41
254,15,0.11523,3.5781,-0.96289,0,14
254,15,0,3.5801,-0.3125,0.33461,41
254,15,0.11328,3.6055,-0.42578,0.33461,86
254,15,0.11523,3.6289,-0.5293,0.33461,78
254,15,0.11523,3.623,-0.77539,0.33461,27
254,15,0.11328,3.5918,-0.046875,0.66921,30
254,15,0.11328,3.625,-0.18945,0.66921,65
254,15,0.11523,3.6543,-0.31445,0.66921,58
254,15,0.11523,3.666,-0.53906,0.66921,20
254,15,0.37305,3.8965,-0.68164,-0.33461,21
254,15,0.375,3.9355,-0.67773,-0.33461,31
254,15,0.37891,3.9746,-0.66797,-0.33461,20
255,23,0.11523,3.5938,-0.73047,0,22
255,23,0.11523,3.6172,-0.80664,0,31
255,23,0.23438,3.6367,-0.86328,0,22
255,23,0.11914,3.6191,-1.0977,0,9
255,23,2.3203,1.4609,3.0801,0,20
255,23,0.22656,3.5977,-0.44922,0.33461,17
255,23,0.22852,3.6289,-0.49609,0.33461,51
255,23,0.23242,3.6582,-0.55469,0.33461,69
255,23,0.11719,3.6777,-0.69531,0.33461,42
255,23,0.11914,3.6895,-0.83008,0.33461,14
255,23,0.11328,3.627,-0.14063,0.66921,19
255,23,0.11523,3.6602,-0.23828,0.66921,53
255,23,0.11523,3.6934,-0.30664,0.66921,66
255,23,0.11719,3.7188,-0.42578,0.66921,36
255,23,2.2988,0,3.6797,0.66921,29
255,23,2.4492,0,3.5195,0.66921,39
255,23,0.11523,3.668,-0.0625,1.0038,20
255,23,0.11523,3.7031,-0.125,1.0038,23
255,23,0.375,3.9785,-0.34375,-0.33461,20
255,23,0.25391,3.9922,-0.62305,-0.33461,17
255,23,0.12891,1.7266,3.7422,0,16
255,23,0,1.8203,-3.6582,0.66921,18
255,23,0.12891,0.28906,4.1113,0.66921,27
256,22,0.11523,3.6426,-0.43359,0,13
256,22,0.11523,3.6602,-0.58203,0,47
256,22,0.11719,3.6758,-0.71484,0,67
256,22,0.23633,3.6875,-0.81641,0,41
256,22,0.11523,3.6641,-0.17578,0.33461,29
256,22,0.11523,3.6875,-0.37305,0.33461,106
256,22,0.11719,3.7109,-0.49609,0.33461,155
256,22,0.11914,3.7305,-0.62109,0.33461,95
256,22,0.11914,3.75,-0.72461,0.33461,18
256,22,0,3.668,0.085938,0.66921,26
256,22,0.11523,3.7031,-0.14258,0.66921,97
256,22,0,3.7363,-0.27148,0.66921,139
256,22,0.11914,3.7637,-0.37305,0.66921,89
256,22,0.11914,3.7754,-0.57813,0.66921,19
256,22,0,3.707,0.03125,1.0038,25
