Frame #,# Obj,X,Y,Z,Doppler,Intensity
113,16,0.25,3.9336,-0.73438,0,11
113,16,0.25391,3.9668,-0.77148,0,14
113,16,0.25586,3.9805,-0.88867,0,8
113,16,0.37305,3.9258,-0.47656,0.33461,20
113,16,0.25,3.9512,-0.63477,0.33461,58
113,16,0.37891,3.9805,-0.63086,0.33461,77
113,16,0.25586,4.0195,-0.69141,0.33461,52
113,16,0.38672,3.9941,-0.95117,0.33461,24
113,16,0.25,3.9824,-0.4082,0.66921,20
113,16,0.25391,4.0293,-0.28906,0.66921,26
113,16,0.25586,4.0527,-0.45898,0.66921,17
113,16,0.37891,3.7109,-1.5703,-0.66921,18
113,16,0.375,3.8242,-1.1504,-0.33461,39
113,16,0.37891,3.8418,-1.2207,-0.33461,53
113,16,0.38281,3.8496,-1.3164,-0.33461,42
113,16,0.38672,3.832,-1.4766,-0.33461,24
114,4,0.25586,4.0703,-0.25,0.33461,13
114,4,0.25781,4.1074,-0.25586,0.33461,13
114,4,0.25,3.627,-1.6914,-0.33461,17
114,4,0.12695,3.6523,-1.7402,-0.33461,14
115,1,0.39063,3.916,-1.3555,-0.33461,13
116,9,0.25,3.9473,-0.66406,0.33461,14
116,9,0.37891,3.9609,-0.74609,0.33461,18
116,9,0.25586,4.0176,-0.69531,0.33461,14
116,9,0.25781,4.0625,-0.6582,0.33461,14
116,9,0.25,3.8359,-1.1445,-0.33461,16
116,9,0.37891,3.8555,-1.1738,-0.33461,21
116,9,0.38281,3.8379,-1.3457,-0.33461,19
116,9,0.38672,3.8906,-1.3125,-0.33461,21
116,9,0.39063,3.8906,-1.4258,-0.33461,19
117,3,0.37891,3.9473,-0.81641,-0.33461,12
117,3,0.38281,3.9297,-1.0547,-0.33461,14
117,3,0.25781,3.9082,-1.291,-0.33461,15
118,4,0.25,3.9824,-0.39844,0.33461,13
118,4,0.25391,4.0137,-0.46289,0.33461,13
118,4,0.25,3.8379,-1.1387,-0.33461,13
118,4,0.25391,3.9453,-0.87109,-0.33461,14
119,23,0,3.9414,-0.92578,0,17
119,23,0.12695,3.9746,-0.94141,0,24
119,23,0.25781,3.998,-0.97656,0,17
119,23,2.3711,1.957,3.2363,0,19
119,23,2.3926,2.1484,3.1523,0,16
119,23,0.125,3.8125,-1.2383,-0.66921,14
119,23,0.12695,3.8086,-1.3652,-0.66921,37
119,23,0.12695,3.8379,-1.3984,-0.66921,44
119,23,0.25781,3.832,-1.502,-0.66921,26
119,23,2.3711,2.6074,2.7402,-0.66921,27
119,23,2.5332,2.6406,2.623,-0.66921,23
119,23,0.125,3.873,-1.0313,-0.33461,16
119,23,0.12695,3.873,-1.1738,-0.33461,41
119,23,0.12695,3.9121,-1.1699,-0.33461,53
119,23,0.12891,3.9668,-1.1172,-0.33461,34
119,23,2.3711,2.3633,2.9531,-0.33461,41
119,23,2.5332,2.3535,2.8848,-0.33461,35
119,23,0.13867,2.2559,3.8496,0,16
119,23,0,2.1641,3.9473,0,13
119,23,0.2793,3.373,2.9102,-0.66921,22
119,23,0.14063,3.0762,3.2852,-0.66921,15
119,23,0.2793,3.1289,3.1719,-0.33461,32
119,23,0.14063,2.8672,3.4688,-0.33461,26
120,14,0.12695,3.998,-0.62695,0,15
120,14,0.12695,4.0156,-0.74805,0,33
120,14,0.12891,4.0664,-0.67773,0,36
120,14,0.13086,4.0898,-0.75586,0,17
120,14,0.25,3.9883,-0.3418,0.33461,12
120,14,0.37891,4.0234,-0.23047,0.33461,15
120,14,0.125,3.7344,-1.3477,-1.3384,18
120,14,0.125,3.8027,-1.2695,-1.3384,17
120,14,0.125,3.8535,-0.95703,-1.0038,15
120,14,0.25781,3.8574,-1.4355,-0.66921,24
120,14,0.25,3.916,-0.83203,-0.33461,14
120,14,0.12695,3.9375,-1.084,-0.33461,46
120,14,0.12891,3.9844,-1.0586,-0.33461,61
120,14,0.25977,4.0254,-1.0273,-0.33461,32
121,19,0.12695,3.998,-0.62695,0,9
121,19,0.125,3.9375,-0.51758,0.33461,10
121,19,0.25,3.9531,-0.625,0.33461,32
121,19,0.25391,3.9863,-0.65234,0.33461,43
121,19,0.25586,3.998,-0.80859,0.33461,32
121,19,0.12891,3.9707,-1.1035,0.33461,18
121,19,0.125,3.9863,-0.41797,0.66921,10
121,19,0.12695,4.0234,-0.42188,0.66921,14
121,19,0.12695,4.0547,-0.48242,0.66921,11
121,19,0,3.6055,-1.373,-1.3384,15
121,19,0,3.6465,-1.373,-1.3384,17
121,19,0.12305,3.7188,-1.2793,-1.3384,13
121,19,0,3.7305,-1.1289,-1.0038,16
121,19,0.12305,3.7773,-1.0938,-1.0038,18
121,19,0.125,3.8301,-1.0449,-1.0038,17
121,19,0.50195,3.7695,-1.2773,-0.33461,19
121,19,0.37891,3.7891,-1.373,-0.33461,25
121,19,0.38281,3.7227,-1.6387,-0.33461,21
121,19,0.12891,3.8574,-1.4551,-0.33461,16
123,8,0,3.6855,-0.40625,0,10
123,8,0,3.7168,-0.4707,0,16
123,8,0,3.752,-0.49219,0,12
123,8,0.11719,3.5996,-1.0293,-0.66921,18
123,8,0.11914,3.6191,-1.0977,-0.66921,15
123,8,0.11523,3.6621,-0.57422,-0.33461,18
123,8,0.11719,3.668,-0.75195,-0.33461,29
123,8,0,3.6953,-0.81055,-0.33461,22
124,13,0.22656,3.5879,-0.51758,0,12
124,13,0,3.6387,-0.47852,0,14
124,13,0,3.6426,-0.69336,0,8
124,13,0,3.6172,-0.32227,0.33461,22
124,13,0.11523,3.6484,-0.37109,0.33461,27
124,13,0,3.6836,-0.42383,0.33461,15
124,13,0.25391,3.959,-0.80859,0.33461,38
124,13,0.25586,4.0078,-0.74805,0.33461,34
124,13,0,3.6309,-0.078125,0.66921,15
124,13,0,3.668,-0.11914,0.66921,17
