Frame #,# Obj,X,Y,Z,Doppler,Intensity
131,4,0,4.6445,0.29297,0.33461,15
131,4,0,4.6914,0.087891,0.33461,15
131,4,0,4.6055,-0.66016,-0.33461,16
131,4,0,4.6211,-0.8125,-0.33461,18
132,20,0,4.6152,-0.59961,0,13
132,20,0,4.6914,-0.048828,0,12
132,20,-0.17188,5.5137,-0.2793,0,18
132,20,0,5.5527,-0.32031,0,19
132,20,0.14258,4.5566,-0.41992,0.33461,15
132,20,0.14453,4.5918,-0.43945,0.33461,22
132,20,0.14453,4.6387,-0.34961,0.33461,24
132,20,0,4.668,-0.45898,0.33461,20
132,20,0,4.5684,-0.88281,-0.66921,13
132,20,0,4.6094,-0.87891,-0.66921,13
132,20,0,5.4746,-0.98047,-0.66921,17
132,20,0.14453,4.5527,-0.75,-0.33461,18
132,20,0.14453,4.6016,-0.67969,-0.33461,34
132,20,0.14648,4.6328,-0.72852,-0.33461,35
132,20,0,4.6797,-0.6875,-0.33461,20
132,20,0,5.502,-0.49805,-0.33461,36
132,20,-0.17383,5.5254,-0.61523,-0.33461,41
132,20,-0.17578,5.5254,-0.89453,-0.33461,23
132,20,3.5586,0,7.3418,-0.33461,16
132,20,-1.2715,2.4395,7.6543,-0.33461,16
133,4,-0.3457,5.5117,0.099609,0.33461,26
133,4,-0.34766,5.5508,-0.041016,0.33461,21
133,4,0,4.6484,0.20117,-0.33461,14
133,4,0,4.6836,-0.26563,-0.33461,15
134,5,0,4.5918,-0.47266,0,8
134,5,0,4.5742,-0.20117,0.33461,14
134,5,0.14453,4.6016,-0.31836,0.33461,25
134,5,0.14453,4.6445,-0.26563,0.33461,25
134,5,0,4.6797,-0.32031,0.33461,17
135,13,0,4.6113,-0.18359,0,8
135,13,0,4.6465,-0.24805,0,11
135,13,0,4.6895,-0.11523,0,9
135,13,0,4.6445,-0.27734,0.33461,17
135,13,0,4.6836,-0.2793,0.33461,15
135,13,0,4.6484,-0.23242,0.66921,13
135,13,0,4.6836,-0.26172,0.66921,15
135,13,0,4.502,-0.087891,-2.0076,13
135,13,0,4.5391,-0.11914,-2.0076,12
135,13,0,4.502,0,-1.673,12
135,13,0,4.541,0,-1.673,12
135,13,0,4.6191,-0.56445,-0.33461,16
135,13,0,4.6426,-0.67969,-0.33461,18
136,1,0,4.6719,-0.43164,0.33461,20
137,2,0,5.4961,-0.55273,-0.33461,15
137,2,0,5.5352,-0.53516,-0.33461,18
138,2,0.14844,4.7051,-0.45117,0.33461,12
138,2,0,4.6191,-0.55859,-0.66921,12
139,2,0,4.6445,0.27539,0.33461,12
139,2,0,4.6914,0.087891,0.33461,13
140,7,0.14453,4.6055,-0.28516,0.33461,13
140,7,0,4.6289,-0.47656,0.33461,18
140,7,0.14453,4.6211,-0.53125,0.66921,16
140,7,0.28906,4.5645,-0.62305,-0.33461,13
140,7,0.14453,4.6152,-0.58398,-0.33461,14
140,7,0,5.5176,-0.27539,-0.33461,23
140,7,0,5.5469,-0.39258,-0.33461,19
141,13,0,4.6719,-0.43164,0,13
141,13,0,4.6836,-0.65039,0,15
141,13,0,7.9316,-0.90039,0,14
141,13,0.14648,4.6875,-0.15039,0.33461,27
141,13,0,4.7168,-0.34375,0.33461,31
141,13,0,4.7559,-0.31836,0.33461,20
141,13,0,7.9355,0.40625,0.33461,16
141,13,0.25,7.9785,-0.056641,0.33461,27
141,13,0,8.0078,-0.46094,0.33461,19
141,13,0,4.6914,-0.085938,0.66921,13
141,13,0,4.7285,-0.046875,0.66921,16
141,13,0,7.9688,0.4668,0.66921,17
141,13,0.29492,4.668,-0.70313,0,15
