Frame #,# Obj,X,Y,Z,Doppler,Intensity
86,3,0,3.9102,-0.44141,0.33461,12
86,3,0.125,3.9434,-0.45898,0.33461,10
86,3,-1.2422,0.81445,3.6855,0.33461,6
87,5,0,3.8828,-0.3418,0.33461,23
87,5,0,3.9102,-0.44531,0.33461,24
87,5,0,3.9141,-0.68359,0.33461,12
87,5,0,3.7891,-0.91406,-0.33461,19
87,5,0,3.7813,-1.0879,-0.33461,20
88,7,0,3.8457,-0.625,0.33461,18
88,7,0,3.8926,-0.58008,0.33461,20
88,7,0,3.9258,-0.60938,0.33461,16
88,7,0,3.9688,-0.58008,0.33461,14
88,7,0,3.7773,-0.95898,-0.33461,16
88,7,0,3.8164,-0.95898,-0.33461,18
88,7,0,3.7949,-1.1719,-0.33461,13
90,27,-0.37305,3.9551,-0.074219,0,18
90,27,-0.25,3.9219,-0.79883,0,16
90,27,0,3.8457,-0.31641,0.33461,14
90,27,-0.12109,3.8691,-0.45313,0.33461,28
90,27,0,3.8965,-0.54297,0.33461,25
90,27,-0.125,3.9023,-0.73047,0.33461,39
90,27,0,3.9277,-0.81055,0.33461,55
90,27,-0.12695,3.9492,-0.88281,0.33461,38
90,27,0,3.9297,-0.57813,0.66921,19
90,27,0,3.9473,-0.70703,0.66921,30
90,27,-0.12695,3.9707,-0.77734,0.66921,24
90,27,-0.12109,3.5977,-1.3906,-2.0076,20
90,27,-0.12109,3.6523,-1.3555,-2.0076,29
90,27,0,3.7129,-1.3008,-2.0076,18
90,27,-0.12109,3.6992,-1.0898,-1.673,25
90,27,-0.24414,3.7305,-1.0977,-1.673,38
90,27,-0.24609,3.752,-1.1582,-1.673,26
90,27,-0.24414,3.7852,-0.89453,-1.3384,16
90,27,0,3.8438,-0.8457,-0.66921,17
90,27,0,3.873,-0.88086,-0.66921,33
90,27,-0.25,3.8867,-0.95703,-0.66921,36
90,27,-0.12695,3.9043,-1.0645,-0.66921,21
90,27,0,3.8242,-0.74414,-0.33461,21
90,27,-0.24609,3.8574,-0.73047,-0.33461,37
90,27,-0.125,3.9219,-0.62695,-0.33461,60
90,27,-0.125,3.9473,-0.69531,-0.33461,60
90,27,-0.25391,3.9648,-0.78125,-0.33461,29
91,6,-0.125,3.9414,-0.73047,0,12
91,6,0,3.9844,-0.71875,0,13
91,6,0,3.8652,-0.73633,-0.33461,12
91,6,-0.24805,3.9512,-0.33984,-0.33461,11
91,6,0,3.9844,-0.45703,-0.33461,19
91,6,0,3.9824,-0.7207,-0.33461,24
92,14,0,4.002,-0.26563,0,11
92,14,0,4.0293,-0.38477,0,14
92,14,-0.11523,3.6426,-0.43555,1.3384,19
92,14,0,3.6758,-0.48633,1.3384,19
92,14,-0.22852,3.6484,-0.33008,1.673,29
92,14,-0.11523,3.6797,-0.44336,1.673,34
92,14,-0.11719,3.7012,-0.56445,1.673,18
92,14,-0.22852,3.6543,-0.23438,2.0076,27
92,14,-0.11523,3.6934,-0.30078,2.0076,34
92,14,0,3.7324,-0.31641,2.0076,19
92,14,0,3.7031,-0.19531,2.3422,14
92,14,-0.24414,3.8477,-0.56836,-0.33461,15
92,14,-0.25,3.9648,-0.54688,-0.33461,24
92,14,-0.25391,3.9922,-0.62109,-0.33461,26
93,15,0,3.7969,-0.69336,0,10
93,15,0,3.8047,-0.8457,0,10
93,15,-0.23828,3.8008,-0.30469,0.33461,18
93,15,-0.12109,3.832,-0.43945,0.33461,24
93,15,0,3.752,-1.0547,0.33461,14
93,15,0,3.8203,-0.060547,0.66921,20
93,15,-0.12109,3.8477,-0.27344,0.66921,33
93,15,-0.12109,3.8711,-0.4375,0.66921,24
93,15,5.6758,2.0898,-0.26172,0.66921,15
93,15,-0.23828,3.8125,-0.044922,1.0038,13
93,15,-0.12109,3.8535,-0.15234,1.0038,23
93,15,-0.24414,3.8809,-0.24219,1.0038,18
93,15,-0.23828,3.793,-0.40234,-0.33461,15
93,15,0,3.8301,-0.47461,-0.33461,14
93,15,-0.24805,3.832,-1.0176,-0.33461,16
94,19,0,3.7832,-0.070313,0,10
94,19,-0.23828,3.8027,-0.29297,0,20
94,19,-0.24023,3.8164,-0.51953,0,21
94,19,-0.23828,3.7871,-0.44727,0.33461,17
94,19,-0.24023,3.8066,-0.58789,0.33461,25
94,19,0,3.7734,-0.97461,0.33461,12
94,19,0,3.9434,-0.48828,0.33461,17
94,19,-0.24023,3.8281,-0.42383,0.66921,15
94,19,0,3.7363,-0.25195,-2.0076,23
94,19,-0.11914,3.7637,-0.36133,-2.0076,30
94,19,0,3.7773,-0.57813,-2.0076,16
94,19,-0.23438,3.7363,-0.10938,-1.673,21
94,19,-0.11914,3.7754,-0.22852,-1.673,29
94,19,-0.23828,3.7813,-0.49414,-1.673,17
94,19,-0.11914,3.7676,-0.31836,-1.3384,16
94,19,-0.23828,3.7402,-0.74414,-1.3384,14
94,19,-0.23633,3.7559,-0.39844,-1.0038,17
94,19,-0.11914,3.7813,-0.53711,-1.0038,21
94,19,0,3.7852,-0.51953,-0.33461,17
95,14,0,3.8652,-0.49219,0,12
95,14,0,3.8867,-0.61719,0,15
95,14,0,3.9199,-0.65039,0,12
95,14,0,3.8574,-0.13672,0.33461,14
95,14,0,3.8906,-0.20703,0.33461,38
95,14,0,3.9297,-0.19531,0.33461,50
95,14,-0.125,3.9629,-0.24023,0.33461,35
95,14,-0.25,3.9688,-0.51367,0.33461,14
95,14,0,3.8965,0.064453,0.66921,13
95,14,0,3.9355,0.013672,0.66921,18
95,14,0,3.9727,0.044922,0.66921,13
95,14,0,3.8555,-0.56641,-0.33461,23
95,14,0,3.8965,-0.54297,-0.33461,30
95,14,0,3.918,-0.65625,-0.33461,18
96,7,0,3.9551,-0.86523,0,16
96,7,0,3.957,-1.0215,0,11
96,7,-0.12305,3.9316,-0.12305,0.33461,15
96,7,0,3.9258,-0.82227,0.33461,14
96,7,0,3.9883,-0.69727,0.33461,30
96,7,-0.12695,4.0059,-0.79883,0.33461,20
96,7,0,3.9316,-0.16797,-0.33461,17
