Frame #,# Obj,X,Y,Z,Doppler,Intensity
116,1,0.12305,1.916,-0.42578,0.33461,12
117,6,0,1.8262,-0.49414,0.33461,18
117,6,0,1.8691,-0.48242,0.33461,18
117,6,0.060547,1.916,-0.44531,0.33461,12
117,6,0.058594,1.7188,-0.78516,-0.33461,20
117,6,0.060547,1.7969,-0.69922,-0.33461,18
117,6,0.12305,1.8379,-0.68945,-0.33461,13
118,8,0,1.8105,-0.39648,0.33461,12
118,8,0.058594,1.8555,-0.35938,0.33461,25
118,8,0,1.9063,-0.29883,0.33461,26
118,8,0,1.9551,-0.22461,0.33461,16
118,8,0.11523,1.7422,-0.62109,-0.33461,12
118,8,0.11914,1.7852,-0.61328,-0.33461,25
118,8,0.060547,1.8477,-0.55469,-0.33461,26
118,8,0.060547,1.9063,-0.48047,-0.33461,16
119,4,0,1.8223,-0.50586,0.33461,12
119,4,0,1.8535,-0.5332,0.33461,11
119,4,0.058594,1.7266,-0.76953,-0.33461,16
119,4,0.060547,1.7656,-0.77539,-0.33461,13
120,35,-0.24609,1.8203,-0.70508,0,17
120,35,-0.1875,1.8711,-0.69727,0,36
120,35,-0.19141,1.9063,-0.70703,0,28
120,35,0,1.9238,-0.79297,0,11
120,35,0.058594,1.8477,-0.14648,0.33461,21
120,35,0.11914,1.875,-0.22461,0.33461,23
120,35,-0.30078,1.875,-0.3457,0.33461,19
120,35,-0.18359,1.9141,-0.41602,0.33461,40
120,35,-0.125,1.9434,-0.47852,0.33461,42
120,35,-0.19141,1.9668,-0.51563,0.33461,19
120,35,-0.49609,2.5527,-0.5,0.33461,33
120,35,-0.50391,2.5664,-0.61523,0.33461,42
120,35,-0.51172,2.5645,-0.76758,0.33461,40
120,35,-0.24609,1.9141,-0.38477,0.66921,15
120,35,-0.1875,1.9688,-0.33008,0.66921,15
120,35,-0.13086,1.9883,-0.59961,0.66921,20
120,35,-0.50391,2.6016,-0.43945,0.66921,18
120,35,-0.18164,1.7148,-0.86719,-1.3384,15
120,35,-0.12305,1.7109,-0.96484,-1.3384,26
120,35,-0.1875,1.7031,-1.041,-1.3384,20
120,35,-0.12109,1.7539,-0.79492,-1.0038,35
120,35,-0.12305,1.752,-0.88477,-1.0038,61
120,35,-0.125,1.7676,-0.93945,-1.0038,52
120,35,-0.19141,1.7344,-1.0645,-1.0038,21
120,35,-0.18164,1.7734,-0.74023,-0.66921,20
120,35,-0.18359,1.7715,-0.83398,-0.66921,51
120,35,-0.125,1.7852,-0.9043,-0.66921,60
120,35,-0.19141,1.7637,-1.0137,-0.66921,33
120,35,0.058594,1.8086,-0.4043,-0.33461,22
120,35,0.17773,1.8477,-0.36328,-0.33461,21
120,35,-0.24023,1.7949,-0.66602,-0.33461,19
120,35,-0.25,1.7246,-0.99219,-0.33461,36
120,35,-0.19141,1.8086,-0.93164,-0.33461,34
120,35,-0.41406,2.5254,-0.68359,-0.33461,53
120,35,-0.47266,1.4297,1.1445,-0.33461,15
121,42,-0.11914,1.7754,-0.64258,0,14
121,42,-0.12109,1.8516,-0.5293,0,38
121,42,-0.12305,1.8867,-0.54688,0,44
121,42,-0.125,1.8848,-0.67578,0,29
121,42,-0.12695,1.918,-0.69141,0,18
121,42,-0.49023,2.5449,-0.31055,0,56
121,42,-0.41406,2.5801,-0.42578,0,51
121,42,-0.11914,1.8789,-0.18359,0.33461,31
121,42,-0.12109,1.877,-0.42773,0.33461,77
121,42,-0.12305,1.8984,-0.49805,0.33461,90
121,42,-0.125,1.9023,-0.62109,0.33461,50
121,42,0,1.9199,-0.69922,0.33461,17
121,42,-0.17773,1.8789,-0.12891,0.66921,13
121,42,-0.12109,1.9023,-0.29688,0.66921,33
121,42,-0.12305,1.9219,-0.39844,0.66921,40
121,42,-0.125,1.9258,-0.54297,0.66921,24
121,42,-0.11133,1.6504,-0.6543,-1.3384,14
121,42,-0.16992,1.6582,-0.7207,-1.3384,21
121,42,-0.17383,1.707,-0.70117,-1.3384,16
121,42,-0.125,1.8945,-0.64453,-1.3384,19
121,42,-0.12695,1.9258,-0.67188,-1.3384,32
121,42,-0.13086,1.9727,-0.64844,-1.3384,26
121,42,-0.22656,1.6992,-0.59766,-1.0038,13
